Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,43,5
3/14/2020,295,73,48,5
3/15/2020,363,68,53,5
3/16/2020,513,150,56,3
3/17/2020,762,249,64,8
3/18/2020,1021,259,70,6
3/19/2020,1299,278,76,6
3/20/2020,1687,388,86,10
3/21/2020,2008,321,96,10
3/22/2020,2294,286,100,4
3/23/2020,2903,609,112,12
3/24/2020,3622,719,122,10
3/25/2020,4368,746,133,11
3/26/2020,5304,936,137,4
3/27/2020,6247,943,142,5
3/28/2020,6902,655,150,8
3/29/2020,7426,524,155,5
3/30/2020,8664,1238,157,2
3/31/2020,9929,1265,161,4
4/1/2020,11267,1338,168,7
4/2/2020,12546,1279,174,6
4/3/2020,14027,1481,181,7
4/4/2020,15189,1162,187,6
4/5/2020,16165,976,194,7
4/6/2020,18097,1932,199,5
4/7/2020,20121,2024,208,9
4/8/2020,21988,1867,214,6
4/9/2020,23971,1983,223,9
4/10/2020,26026,2055,231,8
4/11/2020,27323,1297,238,7
4/12/2020,28253,930,249,11
4/13/2020,30257,2004,256,7
4/14/2020,33132,2875,262,6
4/15/2020,35733,2601,275,13
4/16/2020,38122,2389,282,7
4/17/2020,41131,3009,300,18
4/18/2020,42613,1482,306,6
4/19/2020,43704,1091,308,2
4/20/2020,46403,2699,320,12
4/21/2020,48603,2200,342,22
4/22/2020,51319,2716,372,30
4/23/2020,53736,2417,399,27
4/24/2020,56017,2281,463,64
4/25/2020,57515,1498,485,22
4/26/2020,58363,848,515,30
4/27/2020,60491,2128,583,68
4/28/2020,62599,2108,644,61
4/29/2020,64785,2186,728,84
4/30/2020,66833,2048,826,98
5/1/2020,68917,2084,921,95
5/2/2020,69954,1037,982,61
5/3/2020,70688,734,1016,34
5/4/2020,72576,1888,1152,136
5/5/2020,74318,1742,1279,127
5/6/2020,76029,1711,1420,141
5/7/2020,77722,1693,1541,121
5/8/2020,79186,1464,1636,95
5/9/2020,79872,686,1669,33
5/10/2020,80259,387,1731,62
5/11/2020,81577,1318,1842,111
5/12/2020,83035,1458,1959,117
5/13/2020,84366,1331,2090,131
5/14/2020,85688,1322,2219,129
5/15/2020,86799,1111,2315,96
5/16/2020,87453,654,2354,39
5/17/2020,87825,372,2399,45
5/18/2020,89150,1325,2499,100
5/19/2020,90244,1094,2621,122
5/20/2020,91276,1032,2725,104
5/21/2020,92269,993,2862,137
5/22/2020,93143,874,2970,108
5/23/2020,93536,393,3006,36
5/24/2020,93840,304,3045,39
5/25/2020,94040,200,3103,58
5/26/2020,94926,886,3203,100
5/27/2020,95640,714,3313,110
5/28/2020,96298,658,3432,119
5/29/2020,96833,535,3524,92
5/30/2020,97108,275,3558,34
5/31/2020,97275,167,3592,34
6/1/2020,97791,516,3657,65
6/2/2020,98246,455,3709,52
6/3/2020,98725,479,3786,77
6/4/2020,99121,396,3840,54
6/5/2020,99466,345,3937,97
6/6/2020,99616,150,3966,29
6/7/2020,99768,152,3986,20
6/8/2020,100136,368,4058,72
6/9/2020,100492,356,4137,79
6/10/2020,100748,256,4233,96
6/11/2020,100985,237,4313,80
6/12/2020,101237,252,4362,49
6/13/2020,101332,95,4380,18
6/14/2020,101407,75,4403,23
6/15/2020,101589,182,4456,53
6/16/2020,101653,64,4497,41
6/17/2020,101654,1,4497,0
