Date,Category,Response,Deaths
4/7/2020,Sex,Male,194
4/7/2020,Sex,Female,162
4/7/2020,Hosp,Yes,244
4/7/2020,Hosp,No,28
4/7/2020,Hosp,Unknown,84
4/7/2020,Preexist,Yes,174
4/7/2020,Preexist,No,4
4/7/2020,Preexist,Unknown,177
4/8/2020,Sex,Male,229
4/8/2020,Sex,Female,204
4/8/2020,Hosp,Yes,285
4/8/2020,Hosp,No,35
4/8/2020,Hosp,Unknown,113
4/8/2020,Preexist,Yes,201
4/8/2020,Preexist,No,5
4/8/2020,Preexist,Unknown,227
4/9/2020,Sex,Male,262
4/9/2020,Sex,Female,241
4/9/2020,Hosp,Yes,321
4/9/2020,Hosp,No,44
4/9/2020,Hosp,Unknown,138
4/9/2020,Preexist,Yes,226
4/9/2020,Preexist,No,6
4/9/2020,Preexist,Unknown,271
4/10/2020,Sex,Male,305
4/10/2020,Sex,Female,294
4/10/2020,Hosp,Yes,375
4/10/2020,Hosp,No,52
4/10/2020,Hosp,Unknown,172
4/10/2020,Preexist,Yes,258
4/10/2020,Preexist,No,8
4/10/2020,Preexist,Unknown,333
4/11/2020,Sex,Male,348
4/11/2020,Sex,Female,338
4/11/2020,Hosp,Yes,426
4/11/2020,Hosp,No,62
4/11/2020,Hosp,Unknown,198
4/11/2020,Preexist,Yes,286
4/11/2020,Preexist,No,8
4/11/2020,Preexist,Unknown,392
4/12/2020,Sex,Male,383
4/12/2020,Sex,Female,373
4/12/2020,Hosp,Yes,472
4/12/2020,Hosp,No,67
4/12/2020,Hosp,Unknown,217
4/12/2020,Preexist,Yes,317
4/12/2020,Preexist,No,8
4/12/2020,Preexist,Unknown,431
4/13/2020,Sex,Male,429
4/13/2020,Sex,Female,415
4/13/2020,Hosp,Yes,525
4/13/2020,Hosp,No,75
4/13/2020,Hosp,Unknown,244
4/13/2020,Preexist,Yes,341
4/13/2020,Preexist,No,10
4/13/2020,Preexist,Unknown,493
4/14/2020,Sex,Male,483
4/14/2020,Sex,Female,474
4/14/2020,Hosp,Yes,582
4/14/2020,Hosp,No,89
4/14/2020,Hosp,Unknown,286
4/14/2020,Preexist,Yes,373
4/14/2020,Preexist,No,11
4/14/2020,Preexist,Unknown,573
4/15/2020,Sex,Male,560
4/15/2020,Sex,Female,545
4/15/2020,Hosp,Yes,705
4/15/2020,Hosp,No,119
4/15/2020,Hosp,Unknown,284
4/15/2020,Preexist,Yes,507
4/15/2020,Preexist,No,13
4/15/2020,Preexist,Unknown,588
4/16/2020,Sex,Male,625
4/16/2020,Sex,Female,620
4/16/2020,Hosp,Yes,786
4/16/2020,Hosp,No,141
4/16/2020,Hosp,Unknown,318
4/16/2020,Preexist,Yes,550
4/16/2020,Preexist,No,13
4/16/2020,Preexist,Unknown,683
4/17/2020,Sex,Male,712
4/17/2020,Sex,Female,692
4/17/2020,Hosp,Yes,870
4/17/2020,Hosp,No,165
4/17/2020,Hosp,Unknown,369
4/17/2020,Preexist,Yes,599
4/17/2020,Preexist,No,17
4/17/2020,Preexist,Unknown,788
4/18/2020,Sex,Male,790
4/18/2020,Sex,Female,770
4/18/2020,Hosp,Yes,946
4/18/2020,Hosp,No,185
4/18/2020,Hosp,Unknown,424
4/18/2020,Preexist,Yes,681
4/18/2020,Preexist,No,18
4/18/2020,Preexist,Unknown,861
