USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
AK,2013,1419964,Aleutians East Borough,18091501984,20800021676,6985.168000000001,8030.934,55.24504399999999,-161.997477,0,0
AK,2016,1419965,Aleutians West Census Area,11381568820,25179951971,4394.448,9722.034,51.948964000000004,179.621188,0,0
AK,2020,1416061,Anchorage Municipality,4420591351,614471690,1706.8,237.24900000000002,61.17425,-149.284329,0,0
AK,2050,1419966,Bethel Census Area,105232821617,12764641092,40630.621,4928.456,60.929141,-160.152625,0,0
AK,2060,1419967,Bristol Bay Borough,1248324004,949767442,481.981,366.707,58.741647,-156.96690900000002,0,0
AK,2068,1419988,Denali Borough,32729577049,66105677,12636.961000000001,25.524,63.682039,-150.027016,0,0
AK,2070,1419968,Dillingham Census Area,47478730849,5949974282,18331.641,2297.298,59.543326,-158.267123,0,0
AK,2090,1419969,Fairbanks North Star Borough,18983544936,272866589,7329.588000000001,105.354,64.67604399999999,-146.548159,0,0
AK,2100,1419970,Haines Borough,6072297430,1038275846,2344.527,400.881,59.098404,-135.57579099999998,0,0
AK,2105,2371430,Hoonah-Angoon Census Area,16981186974,7801738685,6556.473000000001,3012.268,58.253462,-136.320731,0,0
AK,2110,1419971,Juneau City and Borough,7003264582,1426373039,2703.9759999999997,550.726,58.37291,-134.17844499999998,0,0
AK,2122,1419972,Kenai Peninsula Borough,41499872077,22525650886,16023.191,8697.203000000001,60.360766000000005,-152.05264,0,0
AK,2130,1419973,Ketchikan Gateway Borough,12579378509,4651615675,4856.925,1795.999,55.449938,-131.106685,0,0
AK,2150,1419974,Kodiak Island Borough,17133712542,14166830862,6615.3640000000005,5469.844,57.7044,-153.918372,0,0
AK,2158,1419985,Kusilvak Census Area,44222017663,6693558019,17074.217,2584.397,62.283588,-163.190171,0,0
AK,2164,1419975,Lake and Peninsula Borough,61912947833,25973300388,23904.724,10028.348,58.108506999999996,-156.413413,0,0
AK,2170,1419976,Matanuska-Susitna Borough,64009263421,1456029488,24714.116,562.1759999999999,62.27909399999999,-149.619094,0,0
AK,2180,1419977,Nome Census Area,59492073779,13779318627,22970.019,5320.225,64.783686,-164.18891200000002,0,0
AK,2185,1419978,North Slope Borough,230054247231,15548935657,88824.445,6003.478,69.449343,-153.47283000000002,0,0
AK,2188,1419979,Northwest Arctic Borough,92369226065,12835515419,35663.959,4955.82,67.005066,-160.021086,0,0
AK,2195,2516404,Petersburg Borough,7512659027,2385853100,2900.6540000000005,921.183,57.112458,-133.008598,0,0
AK,2198,1419980,Prince of Wales-Hyder Census Area,13633096724,14622411293,5263.768,5645.745,55.682773,-133.162389,0,0
AK,2220,1419981,Sitka City and Borough,7433305220,5037858058,2870.015,1945.128,57.193204,-135.36739599999999,0,0
AK,2230,2339479,Skagway Municipality,1123881121,28784118,433.93300000000005,11.114,59.560379000000005,-135.338279,0,0
AK,2240,1419983,Southeast Fairbanks Census Area,64290716362,751936140,24822.785,290.324,63.864996999999995,-143.218628,0,0
AK,2261,1419984,Valdez-Cordova Census Area,88634209842,15756652761,34221.861000000004,6083.678000000001,61.34984300000001,-145.023109,0,0
AK,2275,2516402,Wrangell City and Borough,6619997018,2384375227,2555.995,920.612,56.317416,-132.343978,0,0
AK,2282,1419986,Yakutat City and Borough,19744199352,3986129000,7623.278,1539.0529999999999,60.017453,-140.416942,0,0
AK,2290,1419987,Yukon-Koyukuk Census Area,377038836685,5945279912,145575.515,2295.486,65.375727,-151.57785,0,0
