County,Cases,Deaths
Autauga,2103,31
Baldwin,6743,69
Barbour,1045,9
Bibb,856,15
Blount,1988,25
Bullock,650,17
Butler,1015,41
Calhoun,4689,62
Chambers,1370,47
Cherokee,761,14
Chilton,1909,32
Choctaw,394,12
Clarke,1380,17
Clay,758,12
Cleburne,577,9
Coffee,1826,11
Colbert,2082,32
Conecuh,565,13
Coosa,214,3
Covington,1767,29
Crenshaw,611,30
Cullman,2600,25
Dale,1808,52
Dallas,1881,27
DeKalb,3512,29
Elmore,3265,58
Escambia,1753,31
Etowah,4365,52
Fayette,594,13
Franklin,2077,32
Geneva,935,7
Greene,346,16
Hale,780,30
Henry,728,6
Houston,4212,34
Jackson,2219,17
Jefferson,23769,383
Lamar,516,5
Lauderdale,2371,43
Lawrence,877,33
Lee,6624,65
Limestone,2951,31
Lowndes,717,28
Macon,541,20
Madison,9467,98
Marengo,1035,22
Marion,1103,31
Marshall,4452,51
Mobile,17039,318
Monroe,660,10
Montgomery,10435,199
Morgan,4263,35
Perry,596,6
Pickens,874,18
Pike,1355,14
Randolph,843,16
Russell,1976,3
St. Clair,3070,42
Shelby,7563,65
Sumter,477,21
Talladega,2739,37
Tallapoosa,1353,87
Tuscaloosa,10539,141
Walker,2855,93
Washington,754,12
Wilcox,571,12
Winston,943,13
Total,187706,2911
