USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
AL,1001,161526,Autauga,1539602137,25706961,594.444,9.926,32.532237,-86.64644,0,0
AL,1003,161527,Baldwin,4117621645,1132980868,1589.8229999999999,437.44599999999997,30.659218,-87.74606700000001,0,0
AL,1005,161528,Barbour,2292160139,50523213,885.008,19.507,31.870253,-85.40510400000001,0,0
AL,1007,161529,Bibb,1612167476,9602089,622.461,3.707,33.015893,-87.12714799999999,0,0
AL,1009,161530,Blount,1670103866,15015467,644.831,5.797999999999999,33.977358,-86.56644,0,0
AL,1011,161531,Bullock,1613076054,6038093,622.812,2.331,32.101759,-85.717261,0,0
AL,1013,161532,Butler,2012002531,2701198,776.8389999999999,1.043,31.751666999999998,-86.681969,0,0
AL,1015,161533,Calhoun,1569195268,16587192,605.87,6.404,33.770516,-85.82790899999999,0,0
AL,1017,161534,Chambers,1545085607,16971700,596.561,6.553,32.915504,-85.394032,0,0
AL,1019,161535,Cherokee,1433623319,120308342,553.525,46.451,34.069515,-85.65424200000001,0,0
AL,1021,161536,Chilton,1794477075,20592142,692.852,7.9510000000000005,32.854051,-86.726607,0,0
AL,1023,161537,Choctaw,2365869841,19144469,913.467,7.392,31.990954,-88.248889,0,0
AL,1025,161538,Clarke,3207494106,36657891,1238.42,14.154000000000002,31.685521,-87.818624,0,0
AL,1027,161539,Clay,1564251834,5285207,603.961,2.041,33.2704,-85.863525,0,0
AL,1029,161540,Cleburne,1450663786,2354896,560.104,0.909,33.671964,-85.516126,0,0
AL,1031,161541,Coffee,1758565919,3907189,678.9860000000001,1.5090000000000001,31.402258000000003,-85.989602,0,0
AL,1033,161542,Colbert,1535202321,79700278,592.745,30.772,34.703112,-87.801457,0,0
AL,1035,161543,Conecuh,2202007855,6632046,850.2,2.5610000000000004,31.430926,-86.988722,0,0
AL,1037,161544,Coosa,1685850815,39987271,650.911,15.439,32.931445000000004,-86.243482,0,0
AL,1039,161545,Covington,2669134207,34226200,1030.559,13.215,31.243987,-86.44872099999999,0,0
AL,1041,161546,Crenshaw,1576952799,5388562,608.865,2.081,31.732826,-86.319222,0,0
AL,1043,161547,Cullman,1902970816,52525039,734.7410000000001,20.28,34.131923,-86.86926700000001,0,0
AL,1045,161548,Dale,1453244559,4082940,561.101,1.5759999999999998,31.430653999999997,-85.609476,0,0
AL,1047,161549,Dallas,2534919607,39124778,978.738,15.106,32.33354,-87.114356,0,0
AL,1049,161550,DeKalb,2012676480,4121543,777.0989999999999,1.591,34.460929,-85.80399200000001,0,0
AL,1051,161551,Elmore,1601768864,99957936,618.446,38.594,32.597229,-86.142735,0,0
AL,1053,161552,Escambia,2448115116,20504948,945.2230000000001,7.917000000000001,31.122287,-87.16841,0,0
AL,1055,161553,Etowah,1385871922,35067763,535.0880000000001,13.54,34.047641,-86.034263,0,0
AL,1057,161554,Fayette,1625693288,4330881,627.684,1.672,33.716157,-87.764292,0,0
AL,1059,161555,Franklin,1641841404,32643981,633.919,12.604000000000001,34.441989,-87.842814,0,0
AL,1061,161556,Geneva,1487897665,11578163,574.481,4.47,31.092382,-85.821022,0,0
AL,1063,161557,Greene,1675782059,33416141,647.023,12.902000000000001,32.844497,-87.9642,0,0
AL,1065,161558,Hale,1667917734,32412739,643.987,12.515,32.752796000000004,-87.62306099999999,0,0
AL,1067,161559,Henry,1454926622,16986823,561.75,6.559,31.516978,-85.239971,0,0
AL,1069,161560,Houston,1501819549,4718092,579.856,1.8219999999999998,31.158183,-85.29641099999999,0,0
AL,1071,161561,Jackson,2791974032,126334709,1077.987,48.778,34.764114,-85.980056,0,0
AL,1073,161562,Jefferson,2878552100,32849845,1111.415,12.683,33.553444,-86.896536,0,0
AL,1075,161563,Lamar,1566544637,1600679,604.846,0.618,33.787085,-88.08743100000001,0,0
AL,1077,161564,Lauderdale,1730146078,133608951,668.013,51.586999999999996,34.904121999999994,-87.650997,0,0
AL,1079,161565,Lawrence,1788864251,68682382,690.684,26.518,34.529776,-87.321865,0,0
AL,1081,161566,Lee,1573514768,21526461,607.5369999999999,8.311,32.604064,-85.353048,0,0
AL,1083,161567,Limestone,1450277886,122329712,559.955,47.232,34.810239,-86.981399,0,0
AL,1085,161568,Lowndes,1854201377,23721835,715.9110000000001,9.158999999999999,32.147888,-86.650586,0,0
AL,1087,161569,Macon,1576855716,11345392,608.827,4.38,32.387027,-85.692887,0,0
AL,1089,161570,Madison,2076111961,28810665,801.591,11.124,34.764238,-86.55108,0,0
AL,1091,161572,Marengo,2530140237,14966620,976.893,5.779,32.247591,-87.79109100000001,0,0
AL,1093,161573,Marion,1922657342,3183332,742.342,1.229,34.138219,-87.881551,0,0
AL,1095,161574,Marshall,1465531863,148495459,565.845,57.333999999999996,34.309564,-86.321668,0,0
AL,1097,161575,Mobile,3184158350,1073926668,1229.41,414.645,30.684571999999996,-88.196568,0,0
AL,1099,161576,Monroe,2656469660,22609681,1025.6689999999999,8.73,31.580332000000002,-87.383266,0,0
AL,1101,161577,Montgomery,2034017780,37744718,785.3389999999999,14.573,32.202881,-86.204461,0,0
AL,1103,161578,Morgan,1501156832,50377239,579.6,19.451,34.454484,-86.846402,0,0
AL,1105,161579,Perry,1863900621,10937769,719.6560000000001,4.223,32.639005,-87.29382700000001,0,0
AL,1107,161580,Pickens,2282674053,22740989,881.345,8.78,33.296793,-88.096863,0,0
AL,1109,161581,Pike,1740647520,2336975,672.068,0.902,31.798651,-85.941604,0,0
AL,1111,161582,Randolph,1503615937,9285420,580.549,3.585,33.296475,-85.46406800000001,0,0
AL,1113,161583,Russell,1660622936,15596319,641.17,6.022,32.289811,-85.18698,0,0
AL,1117,161584,Shelby,2034134905,62515663,785.3839999999999,24.136999999999997,33.263042999999996,-86.678089,0,0
AL,1115,164997,St. Clair,1635786810,56407166,631.581,21.779,33.712963,-86.315663,0,0
AL,1119,161585,Sumter,2340898915,24634883,903.826,9.512,32.597481,-88.200057,0,0
AL,1121,161586,Talladega,1908293036,60927931,736.796,23.524,33.369314,-86.17593000000001,0,0
AL,1123,161587,Tallapoosa,1855782851,128806123,716.5219999999999,49.732,32.863308,-85.79961800000001,0,0
AL,1125,161588,Tuscaloosa,3421010003,78714550,1320.859,30.392,33.29022,-87.52278299999999,0,0
AL,1127,161589,Walker,2048686078,36754696,791.002,14.190999999999999,33.791558,-87.30109399999999,0,0
AL,1129,161590,Washington,2797720322,21652733,1080.2060000000001,8.36,31.405216999999997,-88.197564,0,0
AL,1131,161591,Wilcox,2301075085,49057525,888.45,18.941,31.990082,-87.304935,0,0
AL,1133,161592,Winston,1587614057,48917203,612.981,18.887,34.154565999999996,-87.365346,0,0
