County,Cases,Deaths
Arkansas,146,1
Ashley,142,4
Baxter,48,0
Benton,3985,29
Boone,83,1
Bradley,104,2
Calhoun,8,0
Carroll,294,6
Chicot,266,3
Clark,107,0
Clay,94,4
Cleburne,160,5
Cleveland,49,0
Columbia,147,5
Conway,117,3
Craighead,828,8
Crawford,379,3
Crittenden,994,15
Cross,124,1
Dallas,22,0
Desha,117,1
Drew,117,2
Faulkner,970,4
Franklin,60,1
Fulton,21,0
Garland,549,5
Grant,94,0
Greene,191,0
Hempstead,145,2
Hot Spring,1367,2
Howard,209,1
Independence,126,0
Izard,29,1
Jackson,47,1
Jefferson,1069,32
Johnson,515,0
Lafayette,41,2
Lawrence,148,9
Lee,867,6
Lincoln,1132,11
Little River,72,1
Logan,112,0
Lonoke,276,2
Madison,238,1
Marion,17,0
Miller,368,2
Mississippi,489,7
Monroe,36,0
Montgomery,16,0
Nevada,117,8
Newton,18,0
Ouachita,55,1
Perry,39,0
Phillips,219,6
Pike,43,0
Poinsett,109,3
Polk,106,0
Pope,937,5
Prairie,52,0
Pulaski,3923,69
Randolph,115,2
Saline,637,3
Scott,21,0
Searcy,20,0
Sebastian,1214,11
Sevier,880,9
Sharp,83,5
St. Francis,968,3
Stone,37,1
Union,335,14
Van Buren,40,2
Washington,5350,39
White,182,2
Woodruff,17,0
Yell,928,14
Total,33980,380
