County Name,Total Number of COVID-19 Positive Cases,Total Number of Deaths
Arkansas,246,2
Ashley,352,5
Baxter,81,0
Benton,4900,43
Boone,225,2
Bradley,218,4
Calhoun,16,0
Carroll,383,7
Chicot,919,9
Clark,186,2
Clay,145,4
Cleburne,220,5
Cleveland,117,2
Columbia,241,12
Conway,162,3
Craighead,1473,13
Crawford,711,5
Crittenden,1460,24
Cross,222,4
Dallas,68,2
Desha,210,2
Drew,254,3
Faulkner,1375,6
Franklin,139,2
Fulton,47,0
Garland,1169,17
Grant,148,0
Greene,531,3
Hempstead,265,2
Hot Spring,1621,13
Howard,367,4
Independence,604,2
Izard,62,1
Jackson,124,1
Jefferson,1670,41
Johnson,687,2
Lafayette,59,2
Lawrence,229,9
Lee,901,8
Lincoln,1290,12
Little River,215,3
Logan,334,1
Lonoke,564,2
Madison,277,2
Marion,33,0
Miller,536,5
Mississippi,1133,14
Monroe,73,0
Montgomery,42,1
Nevada,147,9
Newton,107,11
Ouachita,113,3
Perry,55,0
Phillips,346,9
Pike,138,1
Poinsett,336,4
Polk,159,1
Pope,1426,12
Prairie,108,0
Pulaski,6000,88
Randolph,255,11
Saline,1239,8
Scott,77,0
Searcy,34,0
Sebastian,2401,22
Sevier,1053,11
Sharp,127,5
St. Francis,1236,3
Stone,84,1
Union,553,20
Van Buren,54,2
Washington,6400,53
White,389,3
Woodruff,24,0
Yell,1085,17
Total,51250,600
