USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
AR,5001,63755,Arkansas,2561013146,116378934,988.813,44.934,34.28957,-91.376547,0,0
AR,5003,63756,Ashley,2396668938,39291076,925.3589999999999,15.17,33.190835,-91.772267,0,0
AR,5005,69895,Baxter,1435504137,84171720,554.251,32.499,36.280268,-92.329949,0,0
AR,5007,69896,Benton,2196053836,94223432,847.9010000000001,36.38,36.337819,-94.256298,0,0
AR,5009,69897,Boone,1528080514,31092205,589.995,12.005,36.304299,-93.079236,0,0
AR,5011,63757,Bradley,1681512201,9535200,649.236,3.682,33.466549,-92.169156,0,0
AR,5013,63758,Calhoun,1627975429,9926146,628.565,3.833,33.56046,-92.513879,0,0
AR,5015,66975,Carroll,1631823636,22397554,630.0509999999999,8.648,36.33737,-93.540972,0,0
AR,5017,69160,Chicot,1669835058,119303631,644.727,46.063,33.267139,-91.297158,0,0
AR,5019,66845,Clark,2243130283,43387661,866.077,16.752,34.053315999999995,-93.176208,0,0
AR,5021,63759,Clay,1656214474,5097734,639.4680000000001,1.9680000000000002,36.367302,-90.418704,0,0
AR,5023,66983,Cleburne,1434077953,98890719,553.701,38.181999999999995,35.566315,-92.05995,0,0
AR,5025,63760,Cleveland,1548239710,2500196,597.779,0.965,33.893201,-92.188714,0,0
AR,5027,63761,Columbia,1983887989,1990757,765.9830000000001,0.769,33.223038,-93.232843,0,0
AR,5029,66846,Conway,1430388148,37328675,552.276,14.413,35.265702000000005,-92.68924799999999,0,0
AR,5031,66847,Craighead,1831907088,14029461,707.303,5.417000000000001,35.827729,-90.631421,0,0
AR,5033,69161,Crawford,1537849721,28387848,593.7669999999999,10.960999999999999,35.583011,-94.23621899999999,0,0
AR,5035,69162,Crittenden,1580882918,67433862,610.382,26.035999999999998,35.211878999999996,-90.315332,0,0
AR,5037,66848,Cross,1596421810,15344835,616.382,5.925,35.285692,-90.763984,0,0
AR,5039,66849,Dallas,1728522507,1864048,667.3860000000001,0.72,33.967822999999996,-92.653999,0,0
AR,5041,66850,Desha,1989461618,133085432,768.135,51.385,33.828752,-91.24410300000001,0,0
AR,5043,66851,Drew,2145488990,18914023,828.378,7.303,33.587241999999996,-91.722778,0,0
AR,5045,66852,Faulkner,1678199700,41766665,647.957,16.125999999999998,35.146547999999996,-92.336928,0,0
AR,5047,66853,Franklin,1576909749,27950884,608.8480000000001,10.792,35.508558,-93.887665,0,0
AR,5049,66854,Fulton,1601099815,5526928,618.188,2.134,36.383619,-91.819664,0,0
AR,5051,66855,Garland,1755025617,147393195,677.6189999999999,56.909,34.578852000000005,-93.14693199999999,0,0
AR,5053,66856,Grant,1636384327,2896901,631.812,1.1179999999999999,34.285568,-92.422979,0,0
AR,5055,66857,Greene,1496205800,4789610,577.688,1.849,36.120607,-90.566346,0,0
AR,5057,66858,Hempstead,1884271055,35369289,727.5210000000001,13.655999999999999,33.735953,-93.664355,0,0
AR,5059,66859,Hot Spring,1593594553,18034772,615.29,6.962999999999999,34.315177,-92.944147,0,0
AR,5061,66872,Howard,1524380362,17475613,588.567,6.747000000000001,34.083064,-93.990931,0,0
AR,5063,69163,Independence,1978814985,19593589,764.025,7.565,35.737499,-91.559942,0,0
AR,5065,66860,Izard,1503735021,8913817,580.595,3.4419999999999997,36.094879,-91.913625,0,0
AR,5067,66861,Jackson,1641629489,19623387,633.837,7.577000000000001,35.596467,-91.22320500000001,0,0
AR,5069,66862,Jefferson,2253424970,113261151,870.052,43.73,34.277239,-91.929673,0,0
AR,5071,66863,Johnson,1708980734,58598404,659.841,22.625,35.573359,-93.46632199999999,0,0
AR,5073,66864,Lafayette,1368278171,43469432,528.295,16.784000000000002,33.240629,-93.611514,0,0
AR,5075,66865,Lawrence,1521913730,12286149,587.614,4.744,36.041098,-91.101153,0,0
