USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
AZ,4001,25441,Apache,29002035366,54153162,11197.749,20.909000000000002,35.385084,-109.490172,0,0
AZ,4003,25442,Cochise,16083174724,17667961,6209.749,6.822,31.840128999999997,-109.77516299999999,0,0
AZ,4005,25443,Coconino,48217246133,116631412,18616.784,45.032,35.829692,-111.773728,0,0
AZ,4007,40471,Gila,12323152721,97113523,4757.996,37.496,33.789618,-110.81187,0,0
AZ,4009,25444,Graham,11970605964,47476264,4621.877,18.331,32.931828,-109.87831000000001,0,0
AZ,4011,42807,Greenlee,4771123868,13750620,1842.141,5.309,33.238872,-109.242323,0,0
AZ,4012,43540,La Paz,11645512187,36551630,4496.358,14.113,33.72761,-114.03880600000001,0,0
AZ,4013,37026,Maricopa,23829622328,63347750,9200.669,24.459,33.345176,-112.49893,0,0
AZ,4015,25445,Mohave,34529358909,333447540,13331.861,128.745,35.717705,-113.74968899999999,0,0
AZ,4017,42808,Navajo,25770517979,24125805,9950.053,9.315,35.390785,-110.321025,0,0
AZ,4019,25446,Pima,23798597214,5112470,9188.69,1.974,32.128043,-111.783657,0,0
AZ,4021,25447,Pinal,13897997152,22344370,5366.047,8.627,32.918521000000005,-111.36634,0,0
AZ,4023,40472,Santa Cruz,3201833002,3088479,1236.235,1.192,31.525733000000002,-110.845228,0,0
AZ,4025,42809,Yavapai,21038727465,11501576,8123.098000000001,4.441,34.631071,-112.577225,0,0
AZ,4027,23901,Yuma,14280777606,13248642,5513.839,5.115,32.773942,-113.910905,0,0
