County,Website,Name,Mainpage
Alameda,https://www.alamedaca.gov/ALERTS-COVID-19/Coronavirus-COVID-19-Cases,Alameda,acgov.org
Alpine,http://alpinecountyca.gov/alertcenter.aspx,Alpine,co.alpine.ca.us
Amador,https://www.amadorgov.org/Home/Components/News/News/818/16,Amador,co.amador.ca.us
Butte,http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw,Butte,buttecounty.net
Calveras,https://covid19.calaverasgov.us/,Calaveras,co.calaveras.ca.us
Colusa,http://www.countyofcolusa.org/99/Public-Health,Colusa,colusacountyclerk.com
Contra Costa,https://www.contracosta.ca.gov/CivicAlerts.aspx?AID=2180,Contra Costa,co.contra-costa.ca.us
Del Norte,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,Del Norte,co.del-norte.ca.us
El Dorado,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx,El Dorado,co.el-dorado.ca.us
Fresno,https://www.co.fresno.ca.us/departments/public-health/covid-19,Fresno,co.fresno.ca.us
Glenn,https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19,Glenn,countyofglenn.net
Humboldt,https://humboldtgov.org/CivicAlerts.aspx?AID=2664,Humboldt,co.humboldt.ca.us
Imperial,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19,Imperial,co.imperial.ca.us
Inyo,https://www.inyocounty.us/covid-19,Inyo,inyocounty.us
Kern,https://kernpublichealth.com/2019-novel-coronavirus/,Kern,co.kern.ca.us
Kings,https://www.kingcounty.gov/depts/health/communicable-diseases/disease-control/novel-coronavirus/data-dashboard.aspx,Kings,countyofkings.com
Lake,http://health.co.lake.ca.us/Coronavirus.htm,Lake,co.lake.ca.us
Lassen,http://www.lassencounty.org/government/news/public-health,Lassen,co.lassen.ca.us
Los Angeles,http://publichealth.lacounty.gov/media/Coronavirus/,Los Angeles,lacounty.info
Madera,https://www.maderacounty.com/government/public-health/health-updates/corona-virus,Madera,madera-county.com
Marin,https://coronavirus.marinhhs.org/,Marin,co.marin.ca.us
Mariposa,https://www.mariposacounty.org/1592/COVID-19-Information,Mariposa,mariposacounty.org
Mendocino,https://www.mendocinocounty.org/community/novel-coronavirus,Mendocino,co.mendocino.ca.us
Merced,https://www.co.merced.ca.us/3362/Updates-Press-Releases,Merced,co.merced.ca.us
Modoc,https://www.modocsheriff.us/modoc-covid-19-incident-updates,Modoc,modoccounty.us
Mono,https://coronavirus.monocounty.ca.gov/,Mono,monocounty.ca.gov
Monterey,https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data,Monterey,co.monterey.ca.us
Napa,https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/,Napa,co.napa.ca.us
Nevada,https://www.mynevadacounty.com/2924/Coronavirus,Nevada,mynevadacounty.com
Orange,https://occovid19.ochealthinfo.com/,Orange,oc.ca.gov
Placer,https://www.placer.ca.gov/6448/Cases-in-Placer,Placer,placer.ca.gov
Plumas,https://www.plumascounty.us/2669/Novel-Coronavirus-2019-COVID-19,Plumas,countyofplumas.com
Riverside,https://rivcoph.org/coronavirus,Riverside,co.riverside.ca.us
Sacramento,https://www.saccounty.net/COVID-19/Pages/default.aspx,Sacramento,saccounty.net
San Benito,https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/,San Benito,san-benito.ca.us
San Bernardino,http://wp.sbcounty.gov/dph/coronavirus/,San Bernardino,co.san-bernardino.ca.us
San Diego,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html,San Diego,co.san-diego.ca.us
San Fransisco,https://www.sfdph.org/dph/alerts/coronavirus.asp,San Francisco,ci.sf.ca.us
San Joaquin,https://www.sjgov.org/covid19/,San Joaquin,sjgov.org
San Luis Obisbo,https://www.emergencyslo.org/en/positive-case-details.aspx,San Luis Obispo,co.slo.ca.us
San Mateo,https://www.smchealth.org/post/san-mateo-county-covid-19-data-0,San Mateo,co.sanmateo.ca.us
Santa Barbara,https://www.countyofsb.org/phd/dcp/novel-corona-virus.sbc,Santa Barbara,countyofsb.org
Santa Clara,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx,Santa Clara,sccgov.org
Santa Cruz,http://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/CoronavirusHome.aspx,Santa Cruz,co.santa-cruz.ca.us
Shasta,https://www.co.shasta.ca.us/covid-19/news,Shasta,co.shasta.ca.us
Sierra,http://sierracounty.ca.gov/582/Coronavirus-COVID-19,Sierra,sierracounty.ws
Siskiyou,https://www.co.siskiyou.ca.us/publichealth/page/coronavirus-covid-19-what-siskiyou-county-residents-need-know,Siskiyou,co.siskiyou.ca.us
Solano,https://doitgis.maps.arcgis.com/apps/opsdashboard/index.html#/6c83d8b0a564467a829bfa875e7437d8,Solano,co.solano.ca.us
Sonoma,https://socoemergency.org/emergency/novel-coronavirus/coronavirus-cases/,Sonoma,sonoma-county.org
Stanislaus,http://www.schsa.org/publichealth/pages/corona-virus/,Stanislaus,co.stanislaus.ca.us
Sutter,https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus,Sutter,co.sutter.ca.us
Tehama,https://www.tehamacohealthservices.net/services/communicable-diseases/,Tehama,tehamacountyadmin.org
Trinity,https://www.trinitycounty.org/,Trinity,trinitycounty.org
