County,Cases,Deaths
Alameda,2,0
Alpine,1,0
Amador,4,0
Butte,22,0
Calaveras,11,0
Colusa,2,0
Contra Costa,4,0
Del Norte,1,0
El Dorado,13,0
Fresno,1,0
Glenn,1377,30
Humboldt,8,0
Imperial,4,0
Inyo,110,5
Kern,2,0
Kings,1,1
Lake,5,0
Lassen,2,0
Los Angeles,7,0
Madera,1,0
Marin,32,0
Mariposa,2,0
Mendocino,1,0
Merced,4,0
Modoc,20,0
Mono,15,0
Monterey,4,0
Napa,53,1
Nevada,4,0
Orange,1,0
Placer,11,0
Plumas,41,2
Riverside,534,17
Sacramento,1,0
San Benito,1,0
San Bernardino,1,1
San Diego,8,0
San Francisco,1,1
San Joaquin,34,0
San Luis Obispo,3,0
San Mateo,7,2
Santa Barbara,1,0
Santa Clara,1018,31
Santa Cruz,1,0
Shasta,1,0
Sierra,1,0
Siskiyou,14,0
Solano,23,0
Sonoma,1,0
Stanislaus,19,0
Sutter,2,0
Tehama,2,0
Trinity,16,0
Tulare,4,1
Tuolumne,4,0
Ventura,185,3
Yolo,939,16
Yuba,1,0
Total,4588,111
