USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
CA,6001,1675839,Alameda,1909614756,216907015,737.306,83.748,37.647139,-121.912488,0,0
CA,6003,1675840,Alpine,1912292608,12557304,738.34,4.848,38.621783,-119.798352,0,0
CA,6005,1675841,Amador,1539933596,29470567,594.572,11.379,38.44355,-120.653856,45,0
CA,6007,1675842,Butte,4238488156,105261063,1636.489,40.642,39.665959,-121.601919,0,0
CA,6009,1675885,Calaveras,2641784992,43841871,1019.999,16.927,38.1839,-120.561441,0,0
CA,6011,1675902,Colusa,2980332742,14608887,1150.713,5.641,39.177739,-122.237563,0,0
CA,6013,1675903,Contra Costa,1857229826,225285866,717.08,86.983,37.919479,-121.951543,0,0
CA,6015,1682074,Del Norte,2606117982,578742642,1006.228,223.454,41.763958,-124.003614,0,0
CA,6017,277273,El Dorado,4423299441,203342316,1707.846,78.511,38.785612,-120.534225,0,0
CA,6019,277274,Fresno,15432139300,136609898,5958.383,52.745,36.761006,-119.655019,0,0
CA,6021,277275,Glenn,3403160291,33693350,1313.968,13.009,39.602546,-122.4017,0,0
CA,6023,1681908,Humboldt,9241426488,1253864712,3568.135,484.12,40.706655,-123.926176,0,0
CA,6025,277277,Imperial,10814594615,790217372,4175.539,305.105,33.040814,-115.3554,0,0
CA,6027,1804637,Inyo,26410680788,76915743,10197.221,29.697,36.561977,-117.403927,0,0
CA,6029,2054176,Kern,21062540828,78680980,8132.293,30.379,35.346629,-118.729506,0,0
CA,6031,277280,Kings,3600883803,3162664,1390.309,1.221,36.072478,-119.81553,0,0
CA,6033,277281,Lake,3254349190,188851723,1256.511,72.916,39.094802,-122.746757,0,0
CA,6035,1693324,Lassen,11761615584,463426056,4541.185,178.93,40.721086,-120.629952,0,0
CA,6037,277283,Los Angeles,10511861492,1793485467,4058.653,692.469,34.196398,-118.261862,90,0
CA,6039,277284,Madera,5534617472,42245931,2136.928,16.311,37.209821,-119.749802,0,0
CA,6041,277285,Marin,1347950152,797055812,520.446,307.745,38.051817,-122.745974,0,0
CA,6043,277286,Mariposa,3752472150,36225644,1448.838,13.987,37.57003,-119.912861,0,0
CA,6045,277287,Mendocino,9081426663,962946206,3506.359,371.796,39.432388,-123.442881,0,0
CA,6047,277288,Merced,5014506620,110178168,1936.112,42.54,37.194806,-120.722802,0,0
CA,6049,277289,Modoc,10225096402,661284408,3947.932,255.323,41.592918,-120.71837,0,0
CA,6051,277290,Mono,7896838483,214695677,3048.987,82.894,37.915836,-118.875167,0,0
