Cnty_cod,County,DateUpdated,ConfirmedCases,CaseRates,HospitalizedCases,Deaths
3,Litchfield,03/24/2020,22,,3,0
2,Hartford,03/24/2020,88,,17,2
7,Tolland,03/24/2020,19,,4,3
8,Windham,03/24/2020,2,,0,0
6,New London,03/24/2020,6,,1,0
1,Fairfield,03/24/2020,384,,23,7
4,Middlesex,03/24/2020,8,,4,0
5,New Haven,03/24/2020,89,,19,0
1,Fairfield,03/25/2020,546,,47,12
2,Hartford,03/25/2020,116,,24,2
3,Litchfield,03/25/2020,33,,3,0
4,Middlesex,03/25/2020,15,,4,0
5,New Haven,03/25/2020,127,,28,2
6,New London,03/25/2020,9,,2,0
7,Tolland,03/25/2020,27,,5,3
8,Windham,03/25/2020,2,,0,0
1,Fairfield,03/26/2020,607,,49,13
2,Hartford,03/26/2020,138,,27,2
3,Litchfield,03/26/2020,44,,3,0
4,Middlesex,03/26/2020,18,,5,1
5,New Haven,03/26/2020,156,,34,2
6,New London,03/26/2020,13,,2,0
7,Tolland,03/26/2020,33,,5,3
8,Windham,03/26/2020,3,,0,0
1,Fairfield,03/27/2020,752,,68,15
2,Hartford,03/27/2020,189,,36,2
3,Litchfield,03/27/2020,52,,9,0
4,Middlesex,03/27/2020,25,,5,1
5,New Haven,03/27/2020,222,,46,6
6,New London,03/27/2020,15,,2,0
7,Tolland,03/27/2020,33,,7,3
8,Windham,03/27/2020,3,,0,0
1,Fairfield,03/28/2020,908,,88,20
2,Hartford,03/28/2020,228,,41,2
3,Litchfield,03/28/2020,65,,12,0
4,Middlesex,03/28/2020,28,,5,1
5,New Haven,03/28/2020,236,,50,6
6,New London,03/28/2020,19,,2,0
7,Tolland,03/28/2020,37,,7,4
8,Windham,03/28/2020,3,,0,0
1,Fairfield,03/29/2020,1245,,189,21
2,Hartford,03/29/2020,276,,67,2
3,Litchfield,03/29/2020,87,,5,0
4,Middlesex,03/29/2020,38,,1,1
5,New Haven,03/29/2020,280,,137,6
6,New London,03/29/2020,20,,4,0
7,Tolland,03/29/2020,40,,0,4
8,Windham,03/29/2020,7,,1,0
1,Fairfield,03/30/2020,1445,,101,21
2,Hartford,03/30/2020,330,,59,3
3,Litchfield,03/30/2020,113,,18,1
4,Middlesex,03/30/2020,50,,6,1
5,New Haven,03/30/2020,373,,55,6
6,New London,03/30/2020,24,,4,0
7,Tolland,03/30/2020,50,,7,4
8,Windham,03/30/2020,10,,0,0
1,Fairfield,03/31/2020,1870,,275,38
2,Hartford,03/31/2020,393,,110,7
3,Litchfield,03/31/2020,121,,7,1
4,Middlesex,03/31/2020,56,,5,1
5,New Haven,03/31/2020,517,,202,12
6,New London,03/31/2020,27,,8,1
7,Tolland,03/31/2020,56,,1,7
8,Windham,03/31/2020,11,,0,0
1,Fairfield,04/01/2020,1986,,359,46
2,Hartford,04/01/2020,469,,126,11
3,Litchfield,04/01/2020,131,,11,1
4,Middlesex,04/01/2020,66,,8,2
5,New Haven,04/01/2020,611,,251,15
6,New London,04/01/2020,29,,10,1
7,Tolland,04/01/2020,61,,1,7
8,Windham,04/01/2020,19,,0,0
1,Fairfield,04/02/2020,2132,,381,65
2,Hartford,04/02/2020,539,,136,13
3,Litchfield,04/02/2020,141,,11,2
4,Middlesex,04/02/2020,74,,11,3
5,New Haven,04/02/2020,647,,274,17
6,New London,04/02/2020,29,,9,1
7,Tolland,04/02/2020,67,,2,10
8,Windham,04/02/2020,21,,3,0
1,Fairfield,04/03/2020,2716,,409,75
2,Hartford,04/03/2020,679,,166,18
3,Litchfield,04/03/2020,173,,14,4
4,Middlesex,04/03/2020,91,,12,2
5,New Haven,04/03/2020,891,,293,18
6,New London,04/03/2020,40,,9,3
7,Tolland,04/03/2020,79,,3,10
8,Windham,04/03/2020,27,,3,0
1,Fairfield,04/04/2020,2824,,475,86
2,Hartford,04/04/2020,726,,184,26
3,Litchfield,04/04/2020,182,,15,5
4,Middlesex,04/04/2020,100,,19,4
5,New Haven,04/04/2020,1024,,324,29
6,New London,04/04/2020,57,,10,3
7,Tolland,04/04/2020,91,,3,10
8,Windham,04/04/2020,31,,3,1
1,Fairfield,04/05/2020,3050,,531,96
2,Hartford,04/05/2020,751,,189,29
3,Litchfield,04/05/2020,197,,15,6
4,Middlesex,04/05/2020,110,,19,5
5,New Haven,04/05/2020,1162,,372,36
6,New London,04/05/2020,57,,10,4
7,Tolland,04/05/2020,94,,3,11
8,Windham,04/05/2020,32,,3,1
1,Fairfield,04/06/2020,3719,,572,101
2,Hartford,04/06/2020,882,,213,31
3,Litchfield,04/06/2020,230,,15,8
4,Middlesex,04/06/2020,135,,22,7
5,New Haven,04/06/2020,1468,,384,41
6,New London,04/06/2020,65,,10,4
7,Tolland,04/06/2020,103,,3,13
8,Windham,04/06/2020,40,,2,1
1,Fairfield,04/07/2020,4136,,613,132
2,Hartford,04/07/2020,1045,,243,48
3,Litchfield,04/07/2020,255,,17,9
4,Middlesex,04/07/2020,150,,26,7
5,New Haven,04/07/2020,1664,,390,60
6,New London,04/07/2020,85,,12,4
7,Tolland,04/07/2020,111,,4,13
8,Windham,04/07/2020,43,,3,1
1,Fairfield,04/08/2020,4417,,665,155
2,Hartford,04/08/2020,1290,,251,68
3,Litchfield,04/08/2020,292,,20,12
4,Middlesex,04/08/2020,174,,28,9
5,New Haven,04/08/2020,1945,,428,70
6,New London,04/08/2020,120,,16,5
7,Tolland,04/08/2020,128,,7,13
8,Windham,04/08/2020,49,,3,1
1,Fairfield,04/09/2020,4882,,664,178
2,Hartford,04/09/2020,1471,,276,75
3,Litchfield,04/09/2020,315,,25,13
4,Middlesex,04/09/2020,205,,26,14
5,New Haven,04/09/2020,2183,,447,78
6,New London,04/09/2020,139,,15,6
7,Tolland,04/09/2020,145,,7,13
8,Windham,04/09/2020,52,,4,1
1,Fairfield,04/10/2020,5180,,685,203
2,Hartford,04/10/2020,1615,,296,88
3,Litchfield,04/10/2020,346,,32,16
4,Middlesex,04/10/2020,240,,28,17
5,New Haven,04/10/2020,2383,,493,98
6,New London,04/10/2020,156,,17,7
7,Tolland,04/10/2020,152,,6,14
8,Windham,04/10/2020,59,,5,1
1,Fairfield,04/11/2020,5407,,676,220
2,Hartford,04/11/2020,1832,,311,101
3,Litchfield,04/11/2020,388,,38,20
4,Middlesex,04/11/2020,290,,27,18
5,New Haven,04/11/2020,2715,,514,107
6,New London,04/11/2020,185,,16,7
7,Tolland,04/11/2020,171,,7,15
8,Windham,04/11/2020,66,,4,1
1,Fairfield,04/12/2020,5534,,688,248
2,Hartford,04/12/2020,1914,,333,116
3,Litchfield,04/12/2020,403,,39,24
4,Middlesex,04/12/2020,299,,32,18
5,New Haven,04/12/2020,2946,,535,119
6,New London,04/12/2020,190,,16,7
7,Tolland,04/12/2020,182,,7,17
8,Windham,04/12/2020,66,,4,1
1,Fairfield,04/13/2020,6004,,710,262
2,Hartford,04/13/2020,2243,,361,133
3,Litchfield,04/13/2020,446,,37,24
4,Middlesex,04/13/2020,339,,35,19
5,New Haven,04/13/2020,3358,,580,135
6,New London,04/13/2020,222,,20,7
7,Tolland,04/13/2020,195,,13,17
8,Windham,04/13/2020,83,,4,1
1,Fairfield,04/14/2020,6213,,731,287
2,Hartford,04/14/2020,2370,,369,153
3,Litchfield,04/14/2020,460,,35,29
4,Middlesex,04/14/2020,355,,38,21
5,New Haven,04/14/2020,3543,,572,151
6,New London,04/14/2020,227,,17,7
7,Tolland,04/14/2020,201,,12,18
8,Windham,04/14/2020,87,,5,1
1,Fairfield,04/15/2020,6480,,784,365
2,Hartford,04/15/2020,2570,,402,213
3,Litchfield,04/15/2020,490,,32,35
4,Middlesex,04/15/2020,379,,40,28
5,New Haven,04/15/2020,3758,,612,195
6,New London,04/15/2020,236,,21,7
7,Tolland,04/15/2020,216,,11,22
8,Windham,04/15/2020,89,,6,1
1,Fairfield,04/16/2020,6816,,787,406
2,Hartford,04/16/2020,2859,,420,243
3,Litchfield,04/16/2020,535,,27,44
4,Middlesex,04/16/2020,394,,39,30
5,New Haven,04/16/2020,4163,,613,214
6,New London,04/16/2020,255,,23,9
7,Tolland,04/16/2020,241,,11,22
8,Windham,04/16/2020,87,,6,1
1,Fairfield,04/17/2020,7146,,797,425
2,Hartford,04/17/2020,3015,,410,266
3,Litchfield,04/17/2020,569,,28,46
4,Middlesex,04/17/2020,422,,37,32
5,New Haven,04/17/2020,4520,,633,229
6,New London,04/17/2020,292,,22,10
7,Tolland,04/17/2020,258,,12,24
8,Windham,04/17/2020,92,,7,2
1,Fairfield,04/18/2020,7363,,776,432
2,Hartford,04/18/2020,3196,,417,289
3,Litchfield,04/18/2020,593,,30,48
4,Middlesex,04/18/2020,448,,36,37
5,New Haven,04/18/2020,4743,,638,241
6,New London,04/18/2020,315,,23,10
7,Tolland,04/18/2020,270,,14,24
8,Windham,04/18/2020,97,,4,2
1,Fairfield,04/19/2020,7434,,746,447
2,Hartford,04/19/2020,3351,,420,295
3,Litchfield,04/19/2020,600,,27,48
4,Middlesex,04/19/2020,462,,33,40
5,New Haven,04/19/2020,4871,,633,257
6,New London,04/19/2020,339,,26,10
7,Tolland,04/19/2020,276,,12,24
8,Windham,04/19/2020,100,,4,2
1,Fairfield,04/20/2020,8320,,733,512
2,Hartford,04/20/2020,3823,,455,369
3,Litchfield,04/20/2020,639,,23,58
4,Middlesex,04/20/2020,484,,36,45
5,New Haven,04/20/2020,5272,,626,301
6,New London,04/20/2020,356,,29,13
7,Tolland,04/20/2020,299,,13,27
8,Windham,04/20/2020,108,,4,2
1,Fairfield,04/21/2020,8472,,735,544
2,Hartford,04/21/2020,3951,,473,402
3,Litchfield,04/21/2020,643,,23,59
4,Middlesex,04/21/2020,512,,40,47
5,New Haven,04/21/2020,5493,,625,322
6,New London,04/21/2020,369,,35,13
7,Tolland,04/21/2020,305,,13,30
8,Windham,04/21/2020,112,,5,2
