County,Cases,Deaths
Albany,0,0
Albany,1900,0
Allegany,48,0
Bronx,45466,0
Broome,578,0
Cattaraugus,89,0
Cayuga,93,0
Chautauqua,86,0
Chemung,137,0
Chenango,133,0
Clinton,97,0
Columbia,391,0
Cortland,41,0
Delaware,82,0
Dutchess,3936,0
Erie,6173,0
Essex,38,0
Franklin,23,0
Fulton,212,0
Genesee,202,0
Greene,241,0
Hamilton,5,0
Herkimer,111,0
Jefferson,74,0
Kings,56242,0
Lewis,20,0
Livingston,119,0
Madison,317,0
Monroe,2989,0
Montgomery,93,0
Nassau,40572,0
New York,26814,0
Niagara,1048,0
Oneida,1049,0
Onondaga,2228,0
Ontario,209,0
Orange,10449,0
Orleans,241,0
Oswego,110,0
Otsego,73,0
Putnam,1262,0
Queens,62293,0
Rensselaer,493,0
Richmond,13562,0
Rockland,13223,0
Saratoga,484,0
Schenectady,696,0
Schoharie,51,0
Schuyler,12,0
Seneca,59,0
St. Lawrence,205,0
Steuben,242,0
Suffolk,39980,0
Sullivan,1392,0
Tioga,131,0
Tompkins,164,0
Ulster,1696,0
Warren,255,0
Washington,237,0
Wayne,116,0
Westchester,33633,0
Wyoming,86,0
Yates,39,0
Total,373040,0
