OBJECTID,CNTY,CNTYNAME,map_county,Label,CNTYGEOID,Pop2018ACS,C_Total,D_Total,C_New,C_10k,date,Shape_STArea__,Shape_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
640,19,ORLEANS,Orleans County,Orleans County,50019,26911,14,0,0,5.203107,2020/06/25 04:00:00+00,,,1,3718834479.34375,295593.472508701
637,13,GRAND ISLE,Grand Isle County,Grand Isle County,50013,6965,10,0,0,14.10437236,2020/06/25 04:00:00+00,,,2,994742546.714844,183916.419338521
634,7,CHITTENDEN,Chittenden County,Chittenden County,50007,162052,601,39,2,36.51897042,2020/06/25 04:00:00+00,,,3,3159550132.08594,282739.064313507
645,27,WINDSOR,Windsor County,Windsor County,50027,55427,58,2,2,10.49090186,2020/06/25 04:00:00+00,,,4,4822870629.82422,430506.510047154
644,25,WINDHAM,Windham County,Windham County,50025,43150,93,3,0,21.75133315,2020/06/25 04:00:00+00,,,5,3867349312.01563,307420.079076111
632,3,BENNINGTON,Bennington County,Bennington County,50003,35920,71,1,1,19.92646852,2020/06/25 04:00:00+00,,,6,3283375284.75391,295063.57477349
636,11,FRANKLIN,Franklin County,Franklin County,50011,49025,103,6,0,20.84134275,2020/06/25 04:00:00+00,,,7,3552233834.72266,265891.718600648
635,9,ESSEX,Essex County,Essex County,50009,6208,3,0,0,4.8,2020/06/25 04:00:00+00,,,8,3449218534.42578,388299.737639158
638,15,LAMOILLE,Lamoille County,Lamoille County,50015,25268,30,1,0,11.85770751,2020/06/25 04:00:00+00,,,9,2382508472.09375,233466.421530466
633,5,CALEDONIA,Caledonia County,Caledonia County,50005,30425,19,0,0,6.27021319,2020/06/25 04:00:00+00,,,10,3345160777.32031,357624.693515915
639,17,ORANGE,Orange County,Orange County,50017,28937,9,0,0,3.1035553,2020/06/25 04:00:00+00,,,11,3462403460.89063,290091.271208177
643,23,WASHINGTON,Washington County,Washington County,50023,58477,41,1,0,7.05194358,2020/06/25 04:00:00+00,,,12,3512850087.26563,297608.259426323
642,21,RUTLAND,Rutland County,Rutland County,50021,59273,73,1,2,12.44205072,2020/06/25 04:00:00+00,,,13,4665818904.91797,370512.703865359
631,1,ADDISON,Addison County,Addison County,50001,36939,68,2,0,18.39179942,2020/06/25 04:00:00+00,,,14,4047773398.11719,316780.537680639
641,0,PENDING,Pending Validation,Pending Validation,99999,0,5,0,0,0,2020/06/25 04:00:00+00,,,15,,
