County,Cases,Deaths
Allegan,1,0
Antrim,1,0
Arenac,1,0
Barry,1,0
Berrien,3,1
Branch,2,0
Cass,0,1
Chippewa,1,0
Clinton,5,0
Detroit City,279,23
Eaton,6,0
Emmet,1,0
Genesee,35,0
Gogebic,1,0
Hillsdale,2,0
Ingham,18,0
Isabella,1,0
Jackson,10,0
Kalkaska,2,1
Kent,12,0
Lapeer,2,0
Lenawee,3,0
Livingston,16,0
Macomb,125,11
Marquette,1,0
Mecosta,1,0
Midland,1,0
Monroe,4,0
Montcalm,1,0
Oakland,226,22
Oscoda,2,0
Otsego,2,0
Ottawa,3,0
Saginaw,15,0
Sanilac,2,0
Schoolcraft,1,0
St. Clair,7,0
St. Joseph,1,0
Tuscola,4,1
Van Buren,3,0
Washtenaw,39,1
Wayne,261,14
Other*,15,0
Out of State,3,0
Total,1120,75
