Allegan,6,0
Antrim,4,0
Arenac,2,0
Barry,5,0
Bay,18,0
Berrien,52,1.0
Branch,6,0
Calhoun,31,1.0
Cass,6,1.0
Charlevoix,5,0
Cheboygan,6,0
Chippewa,1,0
Clare,2,0
Clinton,49,1.0
Crawford,1,0
Delta,5,0
Detroit City,3550,117.0
Dickinson,1,1.0
Eaton,47,2.0
Emmet,6,2.0
Genesee,422,11.0
Gladwin,2,0
Gogebic,3,1.0
Grand Traverse,11,2.0
Gratiot,5,0
Hillsdale,26,2.0
Houghton,1,0
Huron,4,0
Ingham,152,1.0
Ionia,6,0
Iosco,1,0
Isabella,9,2.0
Jackson,69,3.0
Kalamazoo,40,1.0
Kalkaska,8,1.0
Kent,136,2.0
Lapeer,22,0
Leelanau,1,0
Lenawee,24,0
Livingston,121,2.0
Luce,1,0
Mackinac,2,0
Macomb,1560,65.0
Manistee,1,0
Marquette,7,0
Mecosta,4,1.0
Midland,16,0
Missaukee,1,1.0
Monroe,95,0
Montcalm,12,0
Muskegon,30,2.0
Newaygo,2,0
Oakland,2540,136.0
Oceana,3,0
Ogemaw,2,0
Osceola,3,0
Oscoda,2,0
Otsego,20,0
Ottawa,37,0
Presque Isle,1,0
Roscommon,2,0
Saginaw,90,0
Sanilac,10,1.0
Shiawassee,18,0
St Clair,66,0
St Joseph,10,0
Tuscola,15,2.0
Van Buren,12,1.0
Washtenaw,477,8.0
Wayne,2546,106.0
Wexford,4,0
Other*,187,1.0
Unknown,28,0
Out of State,74,1.0
Totals,12744,479.0
