County,Cases,Deaths
Alachua,262,2
Baker,20,3
Bay,70,3
Bradford,46,2
Brevard,270,8
Broward,4898,182
Calhoun,8,0
Charlotte,223,18
Citrus,97,11
Clay,272,15
Collier,581,17
Columbia,57,2
Desoto,28,4
Dixie,6,0
Duval,1007,20
Escambia,496,11
Flagler,133,2
Franklin,2,0
Gadsden,94,0
Gilchrist,4,0
Glades,6,1
Gulf,1,0
Hamilton,6,0
Hardee,16,0
Hendry,80,3
Hernando,89,4
Highlands,81,7
Hillsborough,1105,23
Holmes,9,0
Indian River,90,7
Jackson,14,0
Jefferson,28,2
Lafayette,1,0
Lake,227,11
Lee,1003,41
Leon,214,3
Levy,18,0
Liberty,3,0
Madison,49,2
Manatee,567,49
Marion,165,4
Martin,186,5
Miami-Dade,11927,338
Monroe,78,3
Nassau,56,0
Okaloosa,153,3
Okeechobee,10,0
Orange,1371,33
Osceola,479,7
Palm Beach,2911,178
Pasco,241,6
Pinellas,718,34
Polk,468,22
Putnam,103,1
Santa Rosa,153,7
Sarasota,338,42
Seminole,373,8
St. Johns,207,4
St. Lucie,239,22
Sumter,176,13
Suwannee,129,14
Taylor,3,0
Union,4,0
Unknown,7,0
Volusia,448,20
Wakulla,22,1
Walton,35,0
Washington,12,0
Total,33193,1218
