USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
FL,12001,308548,Alachua,2267634813,241567998,875.539,93.27,29.67574,-82.357221,0,0
FL,12003,306920,Baker,1515738968,9686120,585.23,3.74,30.324441999999998,-82.302284,0,0
FL,12005,295738,Bay,1964743641,711110042,758.592,274.561,30.238218,-85.63168,0,0
FL,12007,303634,Bradford,761362115,16905201,293.964,6.527,29.952385999999997,-82.166679,0,0
FL,12009,295749,Brevard,2628793422,1403880653,1014.9830000000001,542.0409999999999,28.298310999999998,-80.700333,0,0
FL,12011,295753,Broward,3115289087,310801098,1202.82,120.001,26.193535,-80.476683,0,0
FL,12013,306919,Calhoun,1469394565,18070425,567.336,6.977,30.388801,-85.19791500000001,0,0
FL,12015,295742,Charlotte,1764058559,458736680,681.107,177.11900000000003,26.868973999999998,-81.941278,0,0
FL,12017,295752,Citrus,1507142302,495547944,581.911,191.332,28.84364,-82.52481,0,0
FL,12019,295726,Clay,1565946418,100824283,604.615,38.928000000000004,29.986584000000004,-81.865036,0,0
FL,12021,295754,Collier,5172045734,797817705,1996.9379999999999,308.039,26.118786,-81.40095500000001,0,0
FL,12023,306909,Columbia,2065648366,9755972,797.551,3.767,30.221651,-82.62337099999999,0,0
FL,12027,294452,DeSoto,1649027549,6243548,636.693,2.411,27.190580999999998,-81.806253,0,0
FL,12029,295725,Dixie,1826222177,410621177,705.1080000000001,158.542,29.580899,-83.195666,0,0
FL,12031,293656,Duval,1975200913,403608266,762.6289999999999,155.834,30.335245,-81.648113,0,0
FL,12033,295737,Escambia,1701552902,563919214,656.9730000000001,217.73,30.611638,-87.3389,0,0
FL,12035,308547,Flagler,1256519820,221918896,485.145,85.68299999999999,29.474890999999996,-81.286253,0,0
FL,12037,306911,Franklin,1411908392,1275539662,545.141,492.48900000000003,29.810176000000002,-84.799174,0,0
FL,12039,306918,Gadsden,1337233845,31646697,516.309,12.219000000000001,30.578687,-84.612607,0,0
FL,12041,303633,Gilchrist,905705573,14362143,349.695,5.545,29.723456,-82.795801,0,0
FL,12043,295743,Glades,2089001842,466834350,806.568,180.24599999999998,26.95481,-81.19082,0,0
FL,12045,306917,Gulf,1433401108,494650564,553.439,190.986,29.907257,-85.256537,0,0
