county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,103,10,16,554.93
Atkinson,20,2,5,240.1
Bacon,54,2,5,473.52
Baker,33,2,11,1059.05
Baldwin,282,12,57,634.73
Banks,41,0,9,205.18
Barrow,257,7,62,297.51
Bartow,383,35,128,345.76
Ben Hill,45,1,6,270.35
Berrien,20,0,1,103.76
Bibb,384,16,109,252.38
Bleckley,32,0,1,249.26
Brantley,30,2,4,156.23
Brooks,64,8,6,406.94
Bryan,61,4,18,155.86
Bulloch,45,2,9,56.63
Burke,112,3,23,501.3
Butts,196,17,21,778.58
Calhoun,122,7,15,1931.3
Camden,44,1,6,81.6
Candler,10,0,2,92.28
Carroll,403,20,88,335.5
Catoosa,70,0,7,101.79
Charlton,21,1,6,158.48
Chatham,351,14,90,120.13
Chattahoochee,18,0,6,167.46
Chattooga,15,2,3,60.57
Cherokee,693,22,113,259.92
Clarke,193,13,32,148.71
Clay,28,3,5,980.74
Clayton,996,36,153,326.73
Clinch,40,0,4,600.96
Cobb,2371,131,557,299.9
Coffee,192,11,56,446.08
Colquitt,243,11,18,535.32
Columbia,198,6,30,124.82
Cook,32,2,7,183.52
Coweta,281,4,47,184.87
Crawford,19,0,4,155.38
Crisp,193,7,36,865.9
Dade,19,1,3,117.56
Dawson,84,1,13,310.87
DeKalb,2717,75,491,342.56
Decatur,116,3,12,440.7
Dodge,38,2,7,186.41
Dooly,154,12,34,1149.25
Dougherty,1645,132,339,1829.71
Douglas,430,15,109,283.07
Early,233,28,17,2296.47
Echols,13,0,0,327.54
Effingham,38,1,11,59.35
Elbert,46,0,5,242.81
Emanuel,25,1,6,110.31
Evans,4,0,0,37.43
Fannin,36,1,5,136.78
Fayette,205,11,35,174.4
Floyd,170,12,41,170.14
Forsyth,396,11,49,156.83
Franklin,31,1,6,132.88
Fulton,3641,159,685,331.25
Gilmer,106,0,15,337.4
Glascock,1,0,0,33.06
Glynn,75,1,10,87.16
Gordon,125,15,30,215.34
Grady,89,4,24,362.67
Greene,57,5,18,304.54
Gwinnett,2572,101,463,264.84
Habersham,408,16,63,890.83
Hall,2134,40,268,1034.17
Hancock,146,4,21,1782.01
Haralson,34,2,8,110.67
Harris,75,3,14,216.06
Hart,19,0,0,72.78
Heard,17,1,5,137.43
Henry,625,18,81,260.56
Houston,311,16,86,198.04
Irwin,22,1,3,233.22
Jackson,126,3,23,168.67
Jasper,26,0,4,183.11
Jeff Davis,24,1,4,158.44
Jefferson,22,1,4,143.67
Jenkins,16,1,4,186.57
Johnson,70,2,11,724.56
Jones,30,0,4,104.93
Lamar,41,1,6,211.92
Lanier,11,2,5,106.27
Laurens,86,1,16,181.83
Lee,344,23,54,1147.78
Liberty,44,0,11,71.08
Lincoln,12,0,5,147.69
Long,5,0,2,25.11
Lowndes,200,4,33,169.67
Lumpkin,82,1,16,242.59
Macon,89,5,32,685.25
Madison,29,1,5,96.1
Marion,39,1,8,470.28
McDuffie,53,4,16,245.4
McIntosh,9,0,2,61.78
Meriwether,73,1,10,347.29
Miller,38,0,2,659.26
Mitchell,387,32,74,1754.62
Monroe,46,4,8,165.9
Montgomery,6,0,1,65.05
Morgan,33,0,4,172.43
Murray,58,1,7,144.06
Muscogee,418,15,81,218.13
Newton,263,8,45,234.08
Non-Georgia Resident,1578,23,83,0
Oconee,80,2,11,191.68
Oglethorpe,55,4,10,360.89
Paulding,237,10,57,137.36
Peach,71,2,17,259.36
Pickens,35,3,10,104.38
Pierce,69,4,17,353.03
Pike,44,2,8,233.3
Polk,72,0,11,165.59
Pulaski,36,1,6,330.49
Putnam,62,6,13,283.3
Quitman,7,1,4,305.14
Rabun,14,1,5,82.42
Randolph,169,21,28,2502.22
Richmond,481,17,125,237.84
Rockdale,250,7,61,263.27
Schley,15,1,7,284.36
Screven,18,1,9,129.5
Seminole,38,2,8,466.83
Spalding,238,12,40,344.38
Stephens,95,1,22,360.83
Stewart,37,0,12,603.69
Sumter,412,38,112,1401.41
Talbot,28,1,11,454.69
Taliaferro,1,0,0,61.27
Tattnall,11,0,2,43.29
Taylor,22,2,8,276.45
Telfair,29,1,4,185.37
Terrell,199,24,36,2350.3
Thomas,281,29,55,632.44
Tift,175,10,43,428.61
Toombs,43,4,9,159.36
Towns,21,1,7,174.51
Treutlen,7,0,0,102.5
Troup,195,5,53,276.93
Turner,81,12,15,1002.97
Twiggs,9,0,3,111.3
Union,36,1,10,142.1
Unknown,1806,0,34,0
Upson,255,27,29,970.43
Walker,74,0,1,106.31
Walton,158,7,26,164.9
Ware,169,12,42,471.37
Warren,16,0,5,307.1
Washington,63,1,6,310.31
Wayne,14,0,2,46.71
Webster,11,1,4,431.37
Wheeler,7,0,0,88.51
White,88,2,19,277.1
Whitfield,176,6,19,168.14
Wilcox,98,12,15,1114.9
Wilkes,28,1,6,279.61
Wilkinson,41,3,13,459.69
Worth,194,17,35,963.16
