USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
GA,13001,349113,Appling,1316423275,10328007,508.274,3.988,31.739712,-82.290103,0,0
GA,13003,345784,Atkinson,887636792,4701677,342.718,1.815,31.296806,-82.878151,0,0
GA,13005,344784,Bacon,735776603,4499926,284.085,1.737,31.55021,-82.451433,0,0
GA,13007,342832,Baker,885665383,18598654,341.957,7.181,31.31958,-84.454881,0,0
GA,13009,345255,Baldwin,670027542,24802965,258.699,9.576,33.05949,-83.255457,0,0
GA,13011,349230,Banks,601022383,4593262,232.056,1.773,34.351922,-83.498441,0,0
GA,13013,356976,Barrow,417082276,4909657,161.036,1.896,33.992009,-83.712303,-30,0
GA,13015,351604,Bartow,1188568909,27370203,458.909,10.568,34.240917,-84.838188,0,0
GA,13017,351606,Ben Hill,647812569,9803929,250.122,3.785,31.740772,-83.147197,0,0
GA,13019,326638,Berrien,1174237672,11673014,453.376,4.507,31.288652,-83.22787,0,0
GA,13021,1672039,Bibb,645938978,14264344,249.398,5.507,32.808845,-83.694194,0,0
GA,13023,347451,Bleckley,559106469,8441079,215.872,3.259,32.435403,-83.331717,0,0
GA,13025,351605,Brantley,1147949245,10297607,443.226,3.976,31.197334,-81.982978,0,0
GA,13027,345518,Brooks,1277341272,11955761,493.184,4.616,30.822934,-83.581905,0,0
GA,13029,350496,Bryan,1133242924,43792586,437.548,16.908,32.017969,-81.438543,0,0
GA,13031,350302,Bulloch,1750705245,32857751,675.951,12.686,32.391711,-81.744021,0,0
GA,13033,347944,Burke,2142010451,20584267,827.035,7.948,33.060181,-82.000164,90,0
GA,13035,352295,Butts,475754783,11269640,183.69,4.351,33.290355,-83.958221,0,0
GA,13037,344074,Calhoun,726191502,8271470,280.384,3.194,31.521279,-84.62629,0,0
GA,13039,1671316,Camden,1632512482,392476019,630.317,151.536,30.913358,-81.642019,0,0
GA,13043,342852,Candler,629520839,15018189,243.059,5.799,32.40395,-82.071266,0,0
GA,13045,326650,Carroll,1292475864,12301430,499.028,4.75,33.582237,-85.080527,0,0
GA,13047,353230,Catoosa,419998844,771159,162.162,0.298,34.900218,-85.139386,0,0
GA,13049,357747,Charlton,2020415647,5963237,780.087,2.302,30.779904,-82.139644,0,0
GA,13051,1694477,Chatham,1121767063,509858591,433.117,196.858,31.980404,-81.085184,0,0
GA,13053,351012,Chattahoochee,644226248,6276670,248.737,2.423,32.347445,-84.788021,45,0
GA,13055,352213,Chattooga,811512394,570806,313.327,0.22,34.474178,-85.345289,0,0
GA,13057,1685718,Cherokee,1090600986,34467305,421.083,13.308,34.244317,-84.475057,0,0
GA,13059,1672699,Clarke,308784925,4688311,119.223,1.81,33.952185,-83.367152,0,0
GA,13061,344805,Clay,506093883,56546975,195.404,21.833,31.619831,-84.992583,0,0
GA,13065,351285,Clinch,2110829176,23303279,814.996,8.997,30.917653,-82.702614,0,0
GA,13067,1686112,Cobb,880052398,12376345,339.79,4.779,33.93993,-84.574112,0,0
GA,13069,347456,Coffee,1533928847,26927255,592.253,10.397,31.549245,-82.84494,0,0
GA,13071,343936,Colquitt,1416818776,24869747,547.037,9.602,31.189707,-83.769773,0,0
GA,13073,348865,Columbia,751293211,45394065,290.076,17.527,33.547631,-82.252296,0,0
GA,13075,343878,Cook,591606618,12386236,228.421,4.782,31.152516,-83.429445,0,0
GA,13077,326666,Coweta,1142012458,12689156,440.933,4.899,33.352897,-84.762138,0,0
GA,13079,342918,Crawford,841521988,3988980,324.913,1.54,32.709428,-83.979187,0,0
GA,13081,351607,Crisp,706236812,21409235,272.68,8.266,31.915148,-83.753531,0,0
GA,13083,347465,Dade,450605307,467844,173.98,0.181,34.852424,-85.506201,0,0
GA,13085,351312,Dawson,546042257,9272655,210.828,3.58,34.442608,-84.173261,-45,0
GA,13089,1687424,DeKalb,693420786,8881087,267.731,3.429,33.770661,-84.226343,45,0
GA,13087,352234,Decatur,1546667779,67329698,597.172,25.996,30.880643,-84.58389,0,0
GA,13091,348116,Dodge,1284521385,18545752,495.957,7.161,32.164369,-83.167866,0,0
GA,13093,351608,Dooly,1016908653,12141885,392.631,4.688,32.151995,-83.807167,0,0
GA,13095,351259,Dougherty,851183463,15352849,328.644,5.928,31.532588,-84.20904,0,0
GA,13097,1686467,Douglas,518355038,2423527,200.138,0.936,33.701242,-84.767314,-45,0
GA,13099,345041,Early,1327626601,9702715,512.6,3.746,31.324191,-84.906723,0,0
GA,13101,348092,Echols,1088849470,809587,420.407,0.313,30.714008,-82.897376,0,0
GA,13103,350219,Effingham,1240134674,10579329,478.819,4.085,32.36168,-81.343372,0,0
GA,13105,347828,Elbert,909338653,59876817,351.098,23.119,34.116413,-82.841909,0,0
GA,13107,347508,Emanuel,1762672232,24896323,680.572,9.613,32.5911,-82.299763,0,0
GA,13109,345923,Evans,473694908,10295112,182.895,3.975,32.153083,-81.890153,0,0
GA,13111,351094,Fannin,1002597261,13473582,387.105,5.202,34.866543,-84.317331,0,0
GA,13113,1687740,Fayette,503436770,12808490,194.378,4.945,33.412717,-84.493941,0,0
GA,13115,353665,Floyd,1320434485,22384089,509.823,8.643,34.263692,-85.213685,0,0
GA,13117,1673358,Forsyth,581585514,58452875,224.551,22.569,34.225143,-84.127408,0,0
GA,13119,349324,Franklin,677441264,12732865,261.562,4.916,34.375266,-83.227532,45,0
GA,13121,1694833,Fulton,1364208323,19715145,526.724,7.612,33.790034,-84.468182,45,0
GA,13123,351260,Gilmer,1103886891,12283371,426.213,4.743,34.690506,-84.454624,0,0
GA,13125,345642,Glascock,372299245,1832723,143.746,0.708,33.227491,-82.606913,0,0
GA,13127,1671513,Glynn,1086632090,429152790,419.551,165.697,31.21271,-81.49645,0,0
GA,13129,356672,Gordon,923182326,5729532,356.443,2.212,34.509667,-84.873862,0,0
GA,13131,351261,Grady,1177153102,14924993,454.501,5.763,30.875908,-84.24508,0,0
GA,13133,348672,Greene,1004043243,48038460,387.663,18.548,33.57674,-83.166613,45,0
GA,13135,1688166,Gwinnett,1115308546,15958551,430.623,6.162,33.959146,-84.023087,0,0
