USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
ID,16001,395066,Ada,2724700350,22164062,1052.013,8.558,43.451477000000004,-116.244376,0,0
ID,16005,395091,Bannock,2881339307,92073211,1112.491,35.55,42.692921000000005,-112.228982,0,0
ID,16007,395090,Bear Lake,2527123158,191364280,975.7280000000001,73.88600000000001,42.285892,-111.32751699999999,0,0
ID,16009,395190,Benewah,2012242918,18803193,776.931,7.26,47.218451,-116.633541,0,0
ID,16011,400593,Bingham,5422897822,68476532,2093.7929999999997,26.439,43.216357,-112.399206,0,0
ID,16013,395696,Blaine,6831708301,44657946,2637.737,17.243,43.394192,-113.955371,0,0
ID,16015,395157,Boise,4919826443,19104286,1899.556,7.376,43.987275,-115.71511000000001,0,0
ID,16017,395158,Bonner,4489055950,478884838,1733.234,184.898,48.316796000000004,-116.61236399999999,0,0
ID,16019,395407,Bonneville,4832872006,88855960,1865.9820000000002,34.306999999999995,43.395171000000005,-111.62187800000001,0,0
ID,16021,395159,Boundary,3285863793,24278857,1268.6789999999999,9.374,48.773131,-116.52466799999999,0,0
ID,16023,401703,Butte,5792473996,5259978,2236.487,2.031,43.685101,-113.177631,0,0
ID,16025,399408,Camas,2782253889,11548054,1074.234,4.459,43.502552,-114.772135,0,0
ID,16027,399406,Canyon,1520445185,43124146,587.047,16.65,43.625796,-116.70905800000001,0,0
ID,16029,395406,Caribou,4569240762,89216879,1764.194,34.446999999999996,42.786072,-111.544273,0,0
ID,16031,395698,Cassia,6644897847,39158605,2565.61,15.119000000000002,42.282313,-113.626328,0,0
ID,16033,399755,Clark,4566524478,2476453,1763.145,0.956,44.290217999999996,-112.35461299999999,0,0
ID,16035,395697,Clearwater,6364412866,79592493,2457.314,30.730999999999998,46.67257,-115.6535,0,0
ID,16037,399758,Custer,12748378763,42527191,4922.177,16.42,44.273351,-114.25226699999999,0,0
ID,16039,400252,Elmore,7964417370,68330393,3075.079,26.383000000000003,43.394698,-115.471205,0,0
ID,16041,395585,Franklin,1717211132,12153472,663.0189999999999,4.692,42.173609,-111.822965,0,0
ID,16043,395408,Fremont,4827633123,83440650,1863.96,32.217,44.218090999999994,-111.484429,0,0
ID,16045,395442,Gem,1449796187,12491929,559.769,4.823,44.061473,-116.398784,0,0
ID,16047,395441,Gooding,1888932880,12472392,729.321,4.816,42.973185,-114.82141999999999,0,0
ID,16049,395699,Idaho,21956620022,67533572,8477.499,26.075,45.849644,-115.46733700000001,0,0
ID,16051,399751,Jefferson,2832617272,31168374,1093.68,12.034,43.796965,-112.31858799999999,0,0
ID,16053,395662,Jerome,1547443957,13094559,597.471,5.056,42.691395,-114.26208600000001,0,0
ID,16055,395661,Kootenai,3205833848,184447574,1237.779,71.21600000000001,47.675965999999995,-116.695922,0,0
ID,16057,395613,Latah,2786483015,2369979,1075.867,0.915,46.81892,-116.730974,0,0
ID,16059,399754,Lemhi,11819910390,14109812,4563.693,5.4479999999999995,44.928506,-113.887042,0,0
ID,16061,395622,Lewis,1240141959,2340247,478.82199999999995,0.904,46.236328,-116.42376000000002,0,0
ID,16063,395624,Lincoln,3111517528,11588562,1201.364,4.474,42.986181,-114.153899,0,0
ID,16065,394803,Madison,1215396310,10500895,469.267,4.053999999999999,43.788614,-111.656993,0,0
ID,16067,394807,Minidoka,1960610400,13928520,756.9960000000001,5.377999999999999,42.857211,-113.63983999999999,0,0
ID,16069,399394,Nez Perce,2197139822,21252906,848.32,8.206,46.333791,-116.76090900000001,0,0
ID,16071,399759,Oneida,3105269253,3995237,1198.951,1.5430000000000001,42.183895,-112.520449,0,0
ID,16073,399760,Owyhee,19860561638,74125617,7668.206,28.62,42.572851,-116.18968999999998,0,0
ID,16075,394896,Payette,1053846155,8875236,406.892,3.427,44.00243,-116.75023799999998,0,0
ID,16077,394951,Power,3635892388,99205466,1403.826,38.303000000000004,42.694126000000004,-112.844407,0,0
ID,16079,1702379,Shoshone,6830898569,13962455,2637.425,5.391,47.347694,-115.88509199999999,0,0
ID,16081,399297,Teton,1163139972,2868473,449.091,1.1079999999999999,43.760994000000004,-111.21176499999999,0,0
ID,16083,399334,Twin Falls,4977200216,18076679,1921.7079999999999,6.979,42.352309000000005,-114.66563899999998,0,0
ID,16085,399756,Valley,9492607317,177116417,3665.116,68.385,44.855959999999996,-115.61806100000001,0,0
ID,16087,399757,Washington,3762870369,53228012,1452.852,20.551,44.448223,-116.79779199999999,0,0
