County,Cases,Deaths
Illinois,133016,6326
Adams,46,1
Alexander,17,0
Bond,12,1
Boone,525,19
Brown,10,0
Bureau,23,1
Calhoun,1,0
Carroll,20,2
Cass,76,0
Champaign,736,9
Chicago,49603,2399
Christian,39,4
Clark,13,0
Clay,2,0
Clinton,213,17
Coles,143,17
Cook,35581,1807
Crawford,17,0
Cumberland,10,0
De Witt,4,0
DeKalb,490,15
Douglas,38,0
DuPage,8465,431
Edgar,2,0
Edwards,2,0
Effingham,8,1
Fayette,22,3
Ford,22,1
Franklin,12,0
Fulton,12,0
Gallatin,2,0
Greene,7,0
Grundy,129,2
Hamilton,2,0
Hancock,18,1
Hardin,1,0
Henderson,8,0
Henry,72,1
Iroquois,138,5
Jackson,317,13
Jasper,46,7
Jefferson,104,16
Jersey,28,1
Jo Daviess,34,1
Johnson,19,0
Kane,7128,229
Kankakee,1071,58
Kendall,881,19
Knox,113,0
Lake,9109,375
LaSalle,181,16
Lawrence,4,0
Lee,89,1
Livingston,37,2
Logan,11,0
Macon,209,21
Macoupin,45,2
Madison,733,65
Marion,55,0
Marshall,5,0
Mason,18,0
Massac,7,0
McDonough,103,15
McHenry,1856,85
McLean,241,13
Menard,23,0
Mercer,19,0
Monroe,112,12
Montgomery,42,1
Morgan,106,2
Moultrie,15,0
Ogle,227,4
Out Of State,114,1
Peoria,395,20
Perry,44,0
Piatt,11,0
Pike,2,0
Pope,1,0
Pulaski,59,0
Putnam,1,0
Randolph,278,7
Richland,4,0
Rock Island,757,28
Saline,7,0
Sangamon,382,31
Schuyler,13,0
Shelby,16,1
St. Clair,1465,112
Stark,3,0
Stephenson,231,5
Tazewell,92,6
Unassigned,45,0
Union,174,17
Vermilion,44,1
Wabash,13,0
Warren,127,0
Washington,19,0
Wayne,9,1
White,3,0
Whiteside,163,15
Will,6158,302
Williamson,86,3
Winnebago,2744,79
Woodford,27,2
Total,266032,12652
