USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
IL,17001,424202,Adams,2214804481,41776031,855.141,16.13,39.986052,-91.194961,0,0
IL,17003,424203,Alexander,609667772,44539209,235.394,17.197,37.183658,-89.349516,45,0
IL,17005,424204,Bond,985073265,6462629,380.339,2.495,38.885924,-89.436592,0,0
IL,17007,424205,Boone,727180620,3363818,280.766,1.299,42.318983,-88.824295,90,0
IL,17009,424206,Brown,791828628,4144346,305.727,1.6,39.962069,-90.750309,0,0
IL,17011,424207,Bureau,2250935503,11472955,869.091,4.43,41.401304,-89.528377,0,0
IL,17013,424208,Calhoun,657422422,77044161,253.832,29.747,39.164262,-90.666295,90,0
IL,17015,424209,Carroll,1153597403,55881824,445.406,21.576,42.0709,-89.924189,0,0
IL,17017,424210,Cass,973198204,20569928,375.754,7.942,39.969202,-90.245704,0,0
IL,17019,424211,Champaign,2579920046,6088510,996.113,2.351,40.138985,-88.196975,0,0
IL,17021,424212,Christian,1837569692,16227345,709.49,6.265,39.545524,-89.279593,0,0
IL,17023,424213,Clark,1298554908,8771353,501.375,3.387,39.332334,-87.791683,0,0
IL,17025,424214,Clay,1212815740,3271820,468.271,1.263,38.746819,-88.482325,0,0
IL,17027,424215,Clinton,1227502416,75634004,473.941,29.202,38.606295,-89.426228,0,0
IL,17029,424216,Coles,1316447134,4621015,508.283,1.784,39.51368,-88.220782,0,0
IL,17031,1784766,Cook,2447357982,1786325586,944.93,689.704,41.894294,-87.645455,0,0
IL,17033,424218,Crawford,1149031255,5744821,443.643,2.218,39.002787,-87.760619,0,0
IL,17035,424219,Cumberland,895989980,2538006,345.944,0.98,39.273121,-88.240619,0,0
IL,17039,426598,De Witt,1029678329,19492326,397.561,7.526,40.181499,-88.901853,0,0
IL,17037,422190,DeKalb,1635154165,8561738,631.337,3.306,41.894612,-88.768991,0,0
IL,17041,424222,Douglas,1079110176,1448702,416.647,0.559,39.766078,-88.222866,0,0
IL,17043,422191,DuPage,848891774,22352081,327.759,8.63,41.852058,-88.086039,0,0
IL,17045,424224,Edgar,1614400675,1565052,623.324,0.604,39.679037,-87.74711,0,0
IL,17047,424225,Edwards,576012469,781202,222.4,0.302,38.417095,-88.047941,90,0
IL,17049,424226,Effingham,1240007567,3172833,478.77,1.225,39.047945,-88.592849,0,0
IL,17051,424227,Fayette,1855567160,22931323,716.439,8.854,39.001125,-89.017923,0,0
IL,17053,424228,Ford,1257690128,1640595,485.597,0.633,40.596539,-88.224588,0,0
IL,17055,424229,Franklin,1059101590,58404682,408.921,22.55,37.991852,-88.926321,0,0
IL,17057,424230,Fulton,2242134871,43972444,865.693,16.978,40.46524,-90.202269,0,0
IL,17059,424231,Gallatin,836540704,13265237,322.99,5.122,37.768677,-88.227964,45,0
IL,17061,424232,Greene,1406464906,8423898,543.039,3.252,39.355439,-90.387682,0,0
IL,17063,424233,Grundy,1082940535,32131734,418.126,12.406,41.29241,-88.401054,0,0
IL,17065,424234,Hamilton,1125731579,3172088,434.647,1.225,38.085227,-88.539009,0,0
IL,17067,424235,Hancock,2055798692,53563370,793.748,20.681,40.401318,-91.168801,0,0
IL,17069,424236,Hardin,459435085,10641306,177.389,4.109,37.517852,-88.266148,0,0
IL,17071,424237,Henderson,981077355,42557372,378.796,16.431,40.814471,-90.941246,90,0
IL,17073,424238,Henry,2131698418,6825690,823.053,2.635,41.350021,-90.130838,0,0
IL,17075,424239,Iroquois,2894039691,4241183,1117.395,1.638,40.748867,-87.833601,0,0
IL,17077,424240,Jackson,1511439610,48312227,583.57,18.653,37.786096,-89.381212,0,0
IL,17079,424241,Jasper,1281043656,9334509,494.614,3.604,39.004874,-88.150763,0,0
IL,17081,424242,Jefferson,1479412106,32628685,571.204,12.598,38.30078,-88.92421,0,0
IL,17083,424243,Jersey,957415147,20333975,369.66,7.851,39.080195,-90.361385,0,0
IL,17085,424244,Jo Daviess,1556385345,45789933,600.924,17.68,42.362391,-90.21147,0,0
IL,17087,424245,Johnson,890268816,12819263,343.735,4.95,37.460709,-88.882131,0,0
IL,17089,424246,Kane,1345136016,12488621,519.36,4.822,41.939594,-88.42804,0,0
IL,17091,424247,Kankakee,1752114613,12445712,676.495,4.805,41.13951,-87.861117,0,0
IL,17093,424248,Kendall,829412768,5136525,320.238,1.983,41.58814,-88.430626,0,0
IL,17095,424249,Knox,1855427715,8837382,716.385,3.412,40.930945,-90.213792,0,0
IL,17099,422247,LaSalle,2940070811,33698037,1135.168,13.011,41.343341,-88.885931,0,0
IL,17097,1784796,Lake,1149695575,2394258736,443.9,924.429,42.326441,-87.435976,0,0
IL,17101,424252,Lawrence,963938131,5076516,372.179,1.96,38.718954,-87.730221,90,0
IL,17103,424253,Lee,1877189067,9732924,724.787,3.758,41.747447,-89.299362,0,0
IL,17105,424254,Livingston,2702983877,5975818,1043.628,2.307,40.894376,-88.552852,0,0
IL,17107,424255,Logan,1600757857,2252736,618.056,0.87,40.129277,-89.365309,0,0
IL,17115,424256,Macon,1503684109,13406663,580.576,5.176,39.860237,-88.961529,0,0
IL,17117,424257,Macoupin,2235091594,12250027,862.974,4.73,39.265914,-89.92633,90,0
IL,17119,424258,Madison,1853152211,63999231,715.506,24.71,38.82712,-89.900227,0,0
IL,17121,424259,Marion,1482865607,9234118,572.538,3.565,38.648236,-88.920362,0,0
IL,17123,424260,Marshall,1001843226,30364348,386.814,11.724,41.031119,-89.342371,0,0
IL,17125,424261,Mason,1396914851,62748513,539.352,24.227,40.236993,-89.913575,0,0
IL,17127,1784730,Massac,614453457,11901753,237.242,4.595,37.216119,-88.705658,0,0
IL,17109,1784729,McDonough,1526339596,2012552,589.323,0.777,40.455808,-90.678954,0,0
IL,17113,1784833,McLean,3064600918,7801224,1183.249,3.012,40.494559,-88.844539,0,0
IL,17129,424266,Menard,814269350,2640418,314.391,1.019,40.022569,-89.794133,0,0
IL,17131,1784750,Mercer,1453604361,19411909,561.24,7.495,41.205605,-90.74177,0,0
IL,17133,1784865,Monroe,997988611,33757480,385.326,13.034,38.277983,-90.179078,0,0
IL,17135,1784866,Montgomery,1822726466,15458338,703.759,5.968,39.228068,-89.478141,0,0
IL,17137,424270,Morgan,1473584099,9065256,568.954,3.5,39.717668,-90.205005,0,0
IL,17139,1784885,Moultrie,870134336,22104308,335.961,8.535,39.636896,-88.625726,0,0
IL,17141,1784894,Ogle,1964903717,12378959,758.654,4.78,42.041884,-89.320176,0,0
IL,17143,1784920,Peoria,1602464183,30659935,618.715,11.838,40.785972,-89.766993,0,0
IL,17145,1784940,Perry,1144367942,13418384,441.843,5.181,38.084381,-89.368525,0,0
IL,17147,424275,Piatt,1137492084,754122,439.188,0.291,40.009033,-88.592355,0,0
IL,17149,1784941,Pike,2153190725,45251516,831.352,17.472,39.625106,-90.889034,0,0
IL,17151,424277,Pope,955326683,14329536,368.854,5.533,37.417169,-88.542374,0,0
IL,17153,1784966,Pulaski,516225217,10490502,199.316,4.05,37.215615,-89.127755,45,0
IL,17155,424279,Putnam,414649309,31195045,160.097,12.044,41.198961,-89.298347,0,0
IL,17157,1784967,Randolph,1490194115,56150225,575.367,21.68,38.056515,-89.82121,0,0
IL,17159,424281,Richland,932484096,4874777,360.034,1.882,38.712187,-88.085452,0,0
IL,17161,424282,Rock Island,1107097990,61745666,427.453,23.84,41.468421,-90.572125,0,0
IL,17165,424283,Saline,984170285,17979016,379.99,6.942,37.751508,-88.545024,0,0
IL,17167,1785010,Sangamon,2248804592,22646083,868.268,8.744,39.756867,-89.662425,0,0
IL,17169,1785037,Schuyler,1132602885,10510632,437.3,4.058,40.156905,-90.613464,0,0
IL,17171,424286,Scott,649542040,4814546,250.79,1.859,39.637002,-90.477771,0,0
IL,17173,1785051,Shelby,1964532713,24746071,758.51,9.555,39.384926,-88.798862,0,0
IL,17163,1784987,St. Clair,1703443126,41955024,657.703,16.199,38.470198,-89.928546,0,0
IL,17175,424288,Stark,746156170,684784,288.093,0.264,41.096908,-89.797411,0,0
IL,17177,1785076,Stephenson,1461392067,1350223,564.247,0.521,42.349726,-89.665994,90,0
IL,17179,1785094,Tazewell,1674335551,29823809,646.465,11.515,40.508074,-89.51626,0,0
IL,17181,1785113,Union,1070730011,22541668,413.411,8.703,37.485652,-89.244639,0,0
IL,17183,1785114,Vermilion,2326634941,7531159,898.319,2.908,40.186754,-87.726778,0,0
IL,17185,424293,Wabash,578403998,10973558,223.323,4.237,38.445821,-87.839167,90,0
IL,17187,1785134,Warren,1404768322,1672625,542.384,0.646,40.850441,-90.620223,0,0
IL,17189,1785150,Washington,1457093517,3412705,562.587,1.318,38.35314,-89.417187,0,0
IL,17191,424296,Wayne,1848810372,4224962,713.83,1.631,38.431857,-88.43243,0,0
IL,17193,424297,White,1281999214,17833682,494.983,6.886,38.087326,-88.178623,0,0
IL,17197,1785190,Will,2164895527,34582450,835.871,13.352,41.448474,-87.978456,0,0
IL,17201,1785216,Winnebago,1329068433,15598347,513.156,6.023,42.337396,-89.161205,0,0
IL,17203,1785231,Woodford,1366821840,38477370,527.733,14.856,40.789787,-89.210587,0,0
