USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
IN,18001,450401,Adams,877815499,2693924,338.926,1.04,40.745733,-84.93613,0,0
IN,18003,450402,Allen,1702451597,7002354,657.32,2.7039999999999997,41.091909,-85.071791,0,0
IN,18005,451683,Bartholomew,1054009620,6674332,406.955,2.577,39.205843,-85.897999,0,0
IN,18007,450403,Benton,1052616465,236033,406.418,0.091,40.600939000000004,-87.314786,0,0
IN,18009,450404,Blackford,427559407,1298757,165.082,0.501,40.472671999999996,-85.32373,0,0
IN,18011,450405,Boone,1095336920,877155,422.912,0.33899999999999997,40.050892,-86.469014,0,0
IN,18013,451684,Brown,808043860,12025993,311.987,4.643,39.195113,-86.230121,0,0
IN,18015,450406,Carroll,964057405,7236323,372.225,2.7939999999999996,40.58498,-86.565141,0,0
IN,18017,450339,Cass,1067476817,6973614,412.155,2.693,40.753799,-86.355168,0,0
IN,18019,450340,Clark,965645927,9224853,372.838,3.562,38.476217,-85.711122,0,0
IN,18021,450341,Clay,926186141,7041856,357.602,2.719,39.393928,-87.115858,0,0
IN,18023,450342,Clinton,1049119213,461117,405.06699999999995,0.17800000000000002,40.305944000000004,-86.47756700000001,0,0
IN,18025,451674,Crawford,791534792,8041751,305.613,3.105,38.289433,-86.440871,0,0
IN,18027,450343,Daviess,1112396613,19102189,429.499,7.375,38.696090000000005,-87.076943,0,0
IN,18033,450346,DeKalb,939731962,2657419,362.833,1.026,41.401189,-85.000185,0,0
IN,18029,450344,Dearborn,790171242,5995931,305.087,2.315,39.14832,-84.97349799999999,0,0
IN,18031,450345,Decatur,964946132,1955432,372.56800000000004,0.755,39.30598,-85.499831,0,0
IN,18035,450347,Delaware,1015536276,9863733,392.101,3.8080000000000003,40.227543,-85.399262,0,0
IN,18037,451675,Dubois,1106611849,20897444,427.265,8.068999999999999,38.373344,-86.873385,0,0
IN,18039,450348,Elkhart,1199603973,12434083,463.17,4.801,41.600693,-85.863986,0,0
IN,18041,450349,Fayette,556901555,366408,215.021,0.141,39.639655,-85.18503199999999,0,0
IN,18043,450350,Floyd,383227470,2706389,147.965,1.045,38.318081,-85.911847,0,0
IN,18045,450351,Fountain,1024774345,5729004,395.668,2.2119999999999997,40.121237,-87.234872,0,0
IN,18047,450352,Franklin,995658324,17155849,384.426,6.624,39.409762,-85.066964,0,0
IN,18049,450353,Fulton,954133353,7439336,368.39300000000003,2.872,41.050384,-86.265006,0,0
IN,18051,450354,Gibson,1262416968,30412007,487.42199999999997,11.742,38.317398,-87.580523,0,0
IN,18053,450355,Grant,1072484468,2101804,414.089,0.812,40.515758,-85.654946,0,0
IN,18055,451676,Greene,1404983917,8919619,542.467,3.444,39.047146999999995,-87.00477099999999,0,0
IN,18057,450356,Hamilton,1021354950,20951834,394.347,8.09,40.053507,-86.021713,0,0
