County,Cases,Deaths
Allen,24,0
Anderson,33,0
Atchison,146,0
Barber,5,0
Barton,218,0
Bourbon,89,0
Brown,68,0
Butler,430,0
Chase,65,0
Chautauqua,8,0
Cherokee,225,0
Cheyenne,6,0
Clark,47,0
Clay,32,0
Cloud,52,0
Coffey,77,0
Comanche,9,0
Cowley,249,0
Crawford,515,0
Decatur,5,0
Dickinson,70,0
Doniphan,62,0
Douglas,1189,0
Edwards,23,0
Elk,1,0
Ellis,343,0
Ellsworth,25,0
Finney,1785,0
Ford,2309,0
Franklin,256,0
Geary,281,0
Gove,10,0
Graham,20,0
Grant,125,0
Gray,87,0
Greeley,5,0
Greenwood,25,0
Hamilton,44,0
Harper,110,0
Harvey,288,0
Haskell,57,0
Hodgeman,14,0
Jackson,196,0
Jefferson,115,0
Jewell,14,0
Johnson,7920,0
Kearny,72,0
Kingman,40,0
Kiowa,9,0
Labette,183,0
Lane,7,0
Leavenworth,1674,0
Lincoln,8,0
Linn,55,0
Logan,3,0
Lyon,814,0
Marion,64,0
Marshall,14,0
McPherson,189,0
Meade,71,0
Miami,194,0
Mitchell,30,0
Montgomery,219,0
Morris,20,0
Morton,10,0
Nemaha,55,0
Neosho,82,0
Ness,22,0
Norton,23,0
Osage,63,0
Osborne,4,0
Ottawa,40,0
Pawnee,210,0
Phillips,50,0
Pottawatomie,143,0
Pratt,40,0
Rawlins,1,0
Reno,713,0
Republic,36,0
Rice,43,0
Riley,656,0
Rooks,25,0
Rush,18,0
Russell,22,0
Saline,441,0
Scott,81,0
Sedgwick,7093,0
Seward,1267,0
Shawnee,2123,0
Sheridan,8,0
Sherman,17,0
Smith,3,0
Stafford,28,0
Stanton,43,0
Stevens,57,0
Sumner,117,0
Thomas,52,0
Trego,11,0
Wabaunsee,54,0
Wallace,1,0
Washington,5,0
Wichita,4,0
Wilson,21,0
Woodson,12,0
Wyandotte,6011,0
Total,41048,0
