USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
KS,20001,484970,Allen,1295764239,13021929,500.29699999999997,5.0280000000000005,37.884228,-95.300945,0,0
KS,20003,484971,Anderson,1501272903,10590765,579.645,4.0889999999999995,38.215114,-95.292046,0,0
KS,20005,484972,Atchison,1116736558,6851102,431.17400000000004,2.645,39.532544,-95.313397,0,0
KS,20007,484973,Barber,2937240786,5411508,1134.075,2.089,37.222906,-98.685052,0,0
KS,20009,484974,Barton,2318705423,13926862,895.257,5.377000000000001,38.481239,-98.767837,0,0
KS,20011,484975,Bourbon,1645861886,9377600,635.471,3.6210000000000004,37.8561,-94.850928,0,0
KS,20013,484976,Brown,1478550075,3196147,570.871,1.234,39.825931,-95.569905,0,0
KS,20015,484977,Butler,3702816817,43671392,1429.6660000000002,16.862000000000002,37.773649,-96.83884,0,0
KS,20017,484978,Chase,2002199320,12090543,773.054,4.668,38.299475,-96.594029,0,0
KS,20019,484979,Chautauqua,1654694136,15243776,638.881,5.886,37.154259,-96.245396,0,0
KS,20021,484980,Cherokee,1521791028,8951464,587.567,3.4560000000000004,37.169391999999995,-94.845698,0,0
KS,20023,484981,Cheyenne,2641501921,2738021,1019.89,1.057,39.789916999999996,-101.727325,0,0
KS,20025,484982,Clark,2524300310,6603384,974.638,2.55,37.233831,-99.813869,0,0
KS,20027,484983,Clay,1671315283,26701335,645.298,10.309000000000001,39.344964000000004,-97.168853,0,0
KS,20029,484984,Cloud,1852726650,6859888,715.342,2.6489999999999996,39.487328999999995,-97.64139,0,0
KS,20031,484985,Coffey,1623623917,70470788,626.885,27.209,38.23645,-95.729137,0,0
KS,20033,484986,Comanche,2041681114,3604155,788.298,1.392,37.181442,-99.251293,0,0
KS,20035,484987,Cowley,2915648165,17322935,1125.738,6.688,37.234507,-96.83724699999999,0,0
KS,20037,484988,Crawford,1527498535,13574348,589.771,5.2410000000000005,37.505821000000005,-94.853897,0,0
KS,20039,484989,Decatur,2314199329,1631670,893.5169999999999,0.63,39.783542,-100.45970799999999,0,0
KS,20041,484990,Dickinson,2193894223,12632458,847.067,4.877,38.867734999999996,-97.157943,0,0
KS,20043,484991,Doniphan,1019105691,12424174,393.47900000000004,4.797,39.788502,-95.147225,0,0
KS,20045,484992,Douglas,1180425074,48878066,455.765,18.872,38.896417,-95.290947,0,0
KS,20047,484993,Edwards,1610699245,206413,621.894,0.08,37.883595,-99.304746,0,0
KS,20049,484994,Elk,1668636737,16061120,644.264,6.2010000000000005,37.456026,-96.244642,0,0
KS,20051,484995,Ellis,2330762299,1197085,899.9119999999999,0.462,38.914597,-99.317313,0,0
KS,20053,484996,Ellsworth,1853331063,19969761,715.575,7.71,38.700845,-98.20535500000001,0,0
KS,20055,485326,Finney,3372157850,1716371,1301.997,0.6629999999999999,38.049808,-100.73996700000001,0,0
KS,20057,484997,Ford,2844508243,2097356,1098.271,0.81,37.688416,-99.884748,0,0
KS,20059,484998,Franklin,1480882184,13893466,571.7719999999999,5.364,38.558019,-95.27896199999999,0,0
KS,20061,484999,Geary,996272768,51602808,384.663,19.924,39.002139,-96.7681,0,0
KS,20063,485000,Gove,2775601943,245369,1071.6660000000002,0.095,38.917239,-100.48736,0,0
KS,20065,481811,Graham,2327173854,599356,898.5269999999999,0.231,39.354972,-99.879894,0,0
KS,20067,485099,Grant,1488745973,871232,574.808,0.336,37.547537,-101.299362,0,0
KS,20069,485001,Gray,2250356170,1113338,868.867,0.43,37.744513,-100.451716,0,0
KS,20071,485002,Greeley,2016057905,0,778.404,0.0,38.480404,-101.80597,0,0
KS,20073,485003,Greenwood,2961143639,24145021,1143.3039999999999,9.322000000000001,37.879346999999996,-96.241732,0,0
KS,20075,485327,Hamilton,2580958328,2893322,996.5139999999999,1.117,37.995244,-101.793689,0,0
KS,20077,485004,Harper,2075290355,3899269,801.2739999999999,1.506,37.188184,-98.06659,0,0
KS,20079,485005,Harvey,1397961184,2503283,539.756,0.9670000000000001,38.050144,-97.436706,0,0
KS,20081,485328,Haskell,1495772610,910409,577.521,0.35200000000000004,37.554978999999996,-100.879952,0,0
KS,20083,485006,Hodgeman,2227369149,826344,859.992,0.319,38.087493,-99.89840699999999,0,0
KS,20085,485007,Jackson,1699600349,4666513,656.2189999999999,1.8019999999999998,39.411145,-95.794485,0,0
KS,20087,485008,Jefferson,1379350886,62436774,532.57,24.107,39.239644,-95.375314,0,0
KS,20089,485009,Jewell,2356813567,11367163,909.971,4.388999999999999,39.777002,-98.22261800000001,0,0
KS,20091,485010,Johnson,1226667300,16331359,473.619,6.306,38.883907,-94.82233000000001,0,0
KS,20093,485011,Kearny,2254696660,1133601,870.543,0.43799999999999994,37.994461,-101.308136,0,0
KS,20095,485012,Kingman,2236245127,8391920,863.419,3.24,37.552951,-98.144529,0,0
KS,20097,485013,Kiowa,1871627782,596764,722.64,0.23,37.561231,-99.286539,0,0
KS,20099,485014,Labette,1671560716,20006201,645.393,7.724,37.191468,-95.297473,0,0
KS,20101,485015,Lane,1858080220,551220,717.409,0.213,38.481286,-100.466185,0,0
KS,20103,485016,Leavenworth,1200213586,14343355,463.405,5.537999999999999,39.189510999999996,-95.038977,0,0
KS,20105,485017,Lincoln,1863226709,2748359,719.3960000000001,1.061,39.04728,-98.21428399999999,0,0
