USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
KY,21001,516847,Adair,1049691067,18403520,405.288,7.106,37.105559,-85.28138,0,0
KY,21003,516848,Allen,891838779,19482100,344.341,7.522,36.75077,-86.192458,0,0
KY,21005,516849,Anderson,523607691,5477488,202.166,2.115,38.005396000000005,-84.986417,0,0
KY,21007,516850,Ballard,639387454,69473325,246.86900000000003,26.824,37.051323,-89.010367,0,0
KY,21009,516851,Barren,1262837133,32156068,487.584,12.415999999999999,36.962804999999996,-85.932108,0,0
KY,21011,516852,Bath,722081430,13486211,278.797,5.207000000000001,38.152249,-83.737641,0,0
KY,21013,516853,Bell,929965649,5321858,359.06199999999995,2.055,36.728928,-83.680718,0,0
KY,21015,516854,Boone,637873437,26481562,246.28400000000002,10.225,38.9589,-84.73637099999999,0,0
KY,21017,516855,Bourbon,750439352,4829777,289.746,1.865,38.202562,-84.20985999999999,0,0
KY,21019,516856,Boyd,414054164,5581073,159.86700000000002,2.155,38.360003999999996,-82.68140600000001,0,0
KY,21021,516857,Boyle,467104121,6450463,180.35,2.491,37.618103999999995,-84.868352,0,0
KY,21023,516858,Bracken,525033515,16140319,202.717,6.232,38.680365,-84.115235,0,0
KY,21025,516859,Breathitt,1275352765,7384543,492.416,2.8510000000000004,37.517807,-83.31715799999999,0,0
KY,21027,516860,Breckinridge,1475790362,40965524,569.806,15.817,37.777988,-86.432919,0,0
KY,21029,516861,Bullitt,769306781,8374789,297.031,3.234,37.969945,-85.702636,0,0
KY,21031,516862,Butler,1103571982,13943050,426.092,5.382999999999999,37.207013,-86.68247099999999,0,0
KY,21033,516863,Caldwell,893002030,8697603,344.79,3.358,37.148641999999995,-87.870509,0,0
KY,21035,516864,Calloway,997224264,66474672,385.03,25.666,36.620978,-88.274086,0,0
KY,21037,516865,Campbell,391968572,20928149,151.34,8.08,38.946981,-84.379583,0,0
KY,21039,516866,Carlisle,490647294,24707972,189.44,9.54,36.85718,-88.976614,0,0
KY,21041,516867,Carroll,332995861,22648384,128.57,8.745,38.668394,-85.124024,0,0
KY,21043,516868,Carter,1060587154,6788532,409.495,2.6210000000000004,38.309549,-83.048796,0,0
KY,21045,516869,Casey,1150572403,3891526,444.23900000000003,1.5030000000000001,37.321962,-84.92822,0,0
KY,21047,516870,Christian,1858341167,16920369,717.51,6.5329999999999995,36.892059,-87.492986,0,0
KY,21049,516871,Clark,653939112,6912639,252.487,2.6689999999999996,37.970314,-84.145115,0,0
KY,21051,516872,Clay,1215472435,4752710,469.29699999999997,1.835,37.164273,-83.715473,0,0
KY,21053,516873,Clinton,510875755,21152699,197.25,8.167,36.727258,-85.136098,0,0
KY,21055,516874,Crittenden,932300421,28949527,359.963,11.177,37.358149,-88.10501,0,0
KY,21057,516875,Cumberland,790453070,14793815,305.19599999999997,5.712000000000001,36.782371999999995,-85.38848399999999,0,0
KY,21059,516876,Daviess,1187227810,47086919,458.39099999999996,18.18,37.731671,-87.08713900000001,0,0
KY,21061,516877,Edmonson,784468358,13258105,302.885,5.119,37.227514,-86.21801500000001,0,0
KY,21063,516878,Elliott,606882499,2601651,234.31900000000002,1.005,38.116883,-83.09611600000001,0,0
KY,21065,516879,Estill,655509951,6516335,253.09400000000002,2.516,37.692448999999996,-83.963983,0,0
KY,21067,516880,Fayette,734616008,4922115,283.637,1.9,38.040675,-84.458274,0,0
KY,21069,516881,Fleming,902727568,7182389,348.545,2.773,38.367847999999995,-83.699205,0,0
KY,21071,516882,Floyd,1018596152,6275622,393.282,2.423,37.552456,-82.739724,0,0
KY,21073,516883,Franklin,538305689,10792957,207.84099999999998,4.167,38.234919,-84.868786,0,0
KY,21075,516884,Fulton,533359371,64083920,205.93099999999998,24.743000000000002,36.552510999999996,-89.187659,0,0
KY,21077,516885,Gallatin,254700873,16517494,98.34100000000001,6.377000000000001,38.760103,-84.862153,0,0
KY,21079,516886,Garrard,595952848,9957764,230.09900000000002,3.845,37.630162,-84.545856,0,0
KY,21081,516887,Grant,668157705,7243449,257.97700000000003,2.7969999999999997,38.649167,-84.625924,0,0
KY,21083,516888,Graves,1429041267,13031630,551.756,5.032,36.723344,-88.649897,0,0
KY,21085,516889,Grayson,1294807622,28747179,499.92800000000005,11.099,37.458577000000005,-86.344011,0,0
KY,21087,516890,Green,740863549,7102448,286.04900000000004,2.742,37.275382,-85.57848299999999,0,0
KY,21091,516892,Hancock,486071470,29042100,187.673,11.213,37.843325,-86.792761,0,0
KY,21093,516893,Hardin,1614589639,17443341,623.3969999999999,6.735,37.695836,-85.963183,0,0
KY,21095,516894,Harlan,1206496124,6011471,465.83099999999996,2.3209999999999997,36.859223,-83.221497,0,0
KY,21097,516895,Harrison,793603854,8981533,306.41200000000003,3.468,38.444578,-84.334131,0,0
KY,21099,516896,Hart,1068530146,13692527,412.56199999999995,5.287000000000001,37.309096999999994,-85.88212299999999,0,0
KY,21101,516897,Henderson,1130509780,76360650,436.49199999999996,29.483,37.792542,-87.572577,0,0
KY,21103,516898,Henry,741500310,12501986,286.295,4.827,38.451383,-85.119647,0,0
KY,21105,516899,Hickman,627487969,27882023,242.274,10.765,36.675896,-88.972084,0,0
KY,21107,516900,Hopkins,1403944044,31984786,542.066,12.349,37.31107,-87.54219599999999,0,0
KY,21109,516901,Jackson,894051380,3407440,345.195,1.3159999999999998,37.403458,-84.020576,0,0
KY,21111,516902,Jefferson,986032282,43964666,380.709,16.975,38.189532,-85.657624,0,0
KY,21113,516903,Jessamine,445905563,6131853,172.165,2.3680000000000003,37.873290999999995,-84.58396,0,0
KY,21115,516904,Johnson,678485015,5623156,261.965,2.171,37.847756,-82.83012099999999,0,0
KY,21117,516905,Kenton,415149811,10377911,160.29,4.007,38.930503,-84.533438,0,0
KY,21119,516906,Knott,910427588,3453304,351.51800000000003,1.3330000000000002,37.354368,-82.952546,0,0
KY,21121,516907,Knox,1000523173,3743716,386.30400000000003,1.445,36.8885,-83.855551,0,0
KY,21123,516908,Larue,677419096,5393445,261.553,2.082,37.544462,-85.696841,0,0
KY,21125,516909,Laurel,1124024367,25135701,433.98800000000006,9.705,37.113268,-84.119395,0,0
KY,21127,516910,Lawrence,1076387827,11582519,415.596,4.4719999999999995,38.074453000000005,-82.73829,0,0
KY,21129,516911,Lee,540942126,6215041,208.859,2.4,37.608115999999995,-83.719248,0,0
KY,21131,516912,Leslie,1038205991,9189721,400.85400000000004,3.548,37.087846,-83.38861700000001,0,0
KY,21133,516913,Letcher,875235599,2856317,337.93,1.103,37.118536,-82.861251,0,0
KY,21135,516914,Lewis,1250548600,32481932,482.84,12.540999999999999,38.535047,-83.370143,0,0
KY,21137,516915,Lincoln,862060145,9192647,332.843,3.549,37.457174,-84.658335,0,0
KY,21139,516916,Livingston,810998697,75642666,313.128,29.206,37.209517,-88.363426,0,0
KY,21141,516917,Logan,1430224005,12479211,552.2130000000001,4.8180000000000005,36.859607000000004,-86.881288,0,0
KY,21143,516918,Lyon,553848612,110565602,213.842,42.69,37.023976,-88.083391,0,0
KY,21151,516919,Madison,1132738966,15297328,437.353,5.906000000000001,37.725511,-84.278362,0,0
