County,Cases,Deaths
Acadia,192,11
Allen,99,10
Ascension,752,49
Assumption,229,11
Avoyelles,89,9
Beauregard,51,4
Bienville,82,20
Bossier,342,23
Caddo,1864,155
Calcasieu,514,40
Caldwell,50,0
Cameron,3,0
Catahoula,104,3
Claiborne,58,10
Concordia,56,4
De Soto,218,15
East Baton Rouge,3009,208
East Carroll,32,0
East Feliciana,176,22
Evangeline,66,1
Franklin,268,8
Grant,20,1
Iberia,353,32
Iberville,524,38
Jackson,68,9
Jefferson,6982,427
Jefferson Davis,69,6
La Salle,37,0
Lafayette,578,23
Lafourche,738,63
Lincoln,119,13
Livingston,344,24
Madison,24,0
Morehouse,85,5
Natchitoches,101,12
Orleans,6781,495
Ouachita,931,31
Out of State,0,0
Parish Under Investigation,72,0
Plaquemines,194,16
Pointe Coupee,163,20
Rapides,437,14
Red River,42,6
Richland,106,1
Sabine,29,0
St. Bernard,511,18
St. Charles,613,41
St. Helena,41,1
St. James,282,23
St. John the Baptist,829,77
St. Landry,230,51
St. Martin,272,22
St. Mary,269,29
St. Tammany,1528,142
Tangipahoa,719,31
Tensas,5,0
Terrebonne,567,43
Union,236,14
Vermilion,44,3
Vernon,20,2
Washington,363,32
Webster,113,5
West Baton Rouge,148,30
West Carroll,12,0
West Feliciana,184,8
Winn,80,2
Total,34117,2413
