LDHH,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,130,9,1734,41,1,,,-10287256.783188,3540974.19340746
5,Allen,90,9,355,32,2,,,-10333543.4274598,3587782.93213322
2,Ascension,576,36,2811,52,3,,,-10120199.6233545,3529750.23944116
3,Assumption,177,3,637,50,4,,,-10137042.2623116,3490821.66457933
6,Avoyelles,71,7,826,51,5,,,-10241549.0002683,3642689.41463407
5,Beauregard,37,3,548,7,6,,,-10390928.6249638,3587216.16991053
7,Bienville,73,13,478,18,7,,,-10358946.5352589,3809003.1148311
7,Bossier,277,14,4891,44,8,,,-10420083.1996025,3852857.00273378
7,Caddo,1497,100,12395,124,9,,,-10450952.0943995,3839827.7988858
5,Calcasieu,377,28,4749,118,10,,,-10392565.0214784,3533072.57572819
8,Caldwell,17,0,249,65,11,,,-10254373.0056077,3775449.62557093
5,Cameron,3,0,69,2,12,,,-10370134.1440836,3493112.75184121
6,Catahoula,25,2,179,5,13,,,-10230428.183138,3715327.44349084
7,Claiborne,53,7,369,26,14,,,-10352233.969964,3871825.72323945
6,Concordia,32,4,208,6,15,,,-10201318.1362956,3690859.39442252
7,De Soto,189,11,1171,20,16,,,-10434576.9973038,3770825.30060835
2,East Baton Rouge,1787,125,7994,479,17,,,-10140715.8055077,3572952.04467599
8,East Carroll,8,0,212,4,18,,,-10156233.7425243,3859896.39485926
2,East Feliciana,118,12,324,154,19,,,-10135138.699019,3612660.39608165
4,Evangeline,46,0,529,81,20,,,-10286577.7342942,3597627.73082642
8,Franklin,121,3,597,32,21,,,-10205069.6031353,3780849.99112215
6,Grant,12,0,264,8,22,,,-10303676.40808,3710901.19122845
4,Iberia,247,18,1837,205,23,,,-10213919.5026534,3499442.34466281
2,Iberville,443,27,969,315,24,,,-10170170.9427716,3531648.97874077
8,Jackson,30,1,319,23,25,,,-10303487.1649457,3803043.45447653
1,Jefferson,6135,340,20092,849,26,,,-10033014.1981652,3468945.98303749
5,Jefferson Davis,61,6,667,105,27,,,-10332018.350436,3538039.02552696
6,La Salle,21,0,367,24,28,,,-10259259.9312535,3720999.21804427
4,Lafayette,446,21,8368,90,29,,,-10248506.4684429,3530168.86511741
3,Lafourche,635,39,2520,350,30,,,-10067322.8652277,3448429.51624533
8,Lincoln,80,5,521,70,31,,,-10315398.3504605,3842561.46001913
9,Livingston,185,13,2134,38,32,,,-10101041.538989,3561580.81485314
8,Madison,7,0,138,11,33,,,-10157391.4652286,3811637.4329805
8,Morehouse,48,4,685,28,34,,,-10219329.6299059,3871499.85631458
7,Natchitoches,77,3,721,42,35,,,-10363432.7107378,3727167.02532669
1,Orleans,6380,410,20395,1783,36,,,-10005685.2631755,3512320.61963375
8,Ouachita,651,16,4955,223,37,,,-10258625.410156,3826287.70422232
,Out of State,0,0,2438,112,38,,,0,0
,Parish Under Investigation,61,0,0,0,39,,,0,0
1,Plaquemines,168,17,820,10,40,,,-10001555.3100671,3456784.8482277
2,Pointe Coupee,98,15,341,94,41,,,-10193113.8898241,3581957.37466676
6,Rapides,255,10,2165,108,42,,,-10300748.7054721,3658620.13818137
7,Red River,23,5,171,14,43,,,-10390550.1386951,3775561.31453115
8,Richland,53,0,639,22,44,,,-10211648.5850412,3824147.52562059
7,Sabine,16,1,314,23,45,,,-10411411.4112697,3707251.33242432
1,St. Bernard,452,18,1762,41,46,,,-9993785.20960969,3485216.39468215
3,St. Charles,554,37,2721,58,47,,,-10059096.3548581,3488646.53874566
9,St. Helena,28,1,107,5,48,,,-10097824.4057051,3609672.11479579
3,St. James,240,19,1332,99,49,`,,-10107397.8819133,3506939.91167603
3,St. John the Baptist,758,66,2355,148,50,,,-10079623.6689604,3513462.89798338
4,St. Landry,170,37,1962,81,51,,,-10242038.8060278,3580798.53743085
4,St. Martin,226,15,1648,27,52,,,-10210980.6680964,3532937.2949286
3,St. Mary,182,20,886,117,53,,,-10180345.5442301,3468099.93129194
9,St. Tammany,1184,104,6813,253,54,,,-10011930.286609,3561118.53521162
9,Tangipahoa,540,21,2731,53,55,,,-10064617.8016015,3586895.27483007
8,Tensas,1,0,46,1,56,,,-10167922.2890576,3763563.97230207
3,Terrebonne,382,31,2112,193,57,,,-10113097.4398419,3431495.99761108
8,Union,108,6,656,27,58,,,-10283126.8300796,3873039.19327773
4,Vermilion,35,1,1286,19,59,,,-10277416.1402019,3483772.46579413
6,Vernon,16,2,542,3,60,,,-10373206.5620295,3646859.66636018
9,Washington,256,18,1011,262,61,,,-10023262.6107717,3613735.31570973
7,Webster,85,4,1403,13,62,,,-10390004.6731902,3857402.16268295
2,West Baton Rouge,94,16,462,18,63,,,-10164894.398908,3563268.66711641
8,West Carroll,4,0,200,22,64,,,-10180913.2736332,3867302.80795978
2,West Feliciana,109,3,50,147,65,,,-10176004.0840892,3616641.56483413
6,Winn,26,2,291,22,66,,,-10312270.2727692,3756026.28063818
