LDH Region,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,x,y
4,Acadia,148,11,2372,53,1,-10287256.783187998,3540974.1934074564
5,Allen,90,9,430,34,2,-10333543.42745984,3587782.93213322
2,Ascension,694,46,4583,64,3,-10120199.62335453,3529750.239441165
3,Assumption,228,11,1015,103,4,-10137042.262311555,3490821.6645793305
6,Avoyelles,74,7,1067,70,5,-10241549.000268279,3642689.4146340676
5,Beauregard,46,4,864,10,6,-10390928.624963773,3587216.1699105264
7,Bienville,77,18,615,20,7,-10358946.535258865,3809003.114831105
7,Bossier,310,20,6516,44,8,-10420083.199602531,3852857.002733777
7,Caddo,1751,133,16228,125,9,-10450952.094399506,3839827.798885799
5,Calcasieu,493,37,7116,164,10,-10392565.021478435,3533072.5757281906
8,Caldwell,48,0,401,117,11,-10254373.005607665,3775449.62557093
5,Cameron,3,0,93,1,12,-10370134.14408359,3493112.751841207
6,Catahoula,85,2,307,11,13,-10230428.183138032,3715327.4434908433
7,Claiborne,59,9,512,31,14,-10352233.969964031,3871825.723239455
6,Concordia,43,4,262,6,15,-10201318.13629559,3690859.394422525
7,De Soto,214,13,1693,20,16,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,2374,182,11987,765,17,-10140715.805507733,3572952.0446759933
8,East Carroll,17,0,366,4,18,-10156233.742524315,3859896.394859259
2,East Feliciana,135,21,518,201,19,-10135138.699018989,3612660.396081652
4,Evangeline,67,1,714,109,20,-10286577.734294157,3597627.73082642
8,Franklin,206,4,894,131,21,-10205069.603135323,3780849.991122153
6,Grant,18,0,378,9,22,-10303676.408080004,3710901.1912284456
4,Iberia,285,26,2502,211,23,-10213919.50265339,3499442.344662809
2,Iberville,499,36,1345,404,24,-10170170.942771632,3531648.978740774
8,Jackson,64,4,447,44,25,-10303487.164945656,3803043.454476528
1,Jefferson,6709,397,29525,859,26,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,67,6,878,160,27,-10332018.350435972,3538039.0255269627
6,La Salle,33,0,498,32,28,-10259259.93125349,3720999.218044266
4,Lafayette,501,22,10647,104,29,-10248506.46844286,3530168.865117412
3,Lafourche,711,59,4095,493,30,-10067322.865227725,3448429.5162453293
8,Lincoln,106,11,825,96,31,-10315398.350460537,3842561.460019133
9,Livingston,278,24,3373,51,32,-10101041.53898901,3561580.8148531397
8,Madison,12,0,202,11,33,-10157391.465228565,3811637.432980501
8,Morehouse,62,5,941,32,34,-10219329.629905943,3871499.85631458
7,Natchitoches,100,9,967,59,35,-10363432.710737834,3727167.025326693
1,Orleans,6682,468,28261,1785,36,-10005685.263175491,3512320.6196337542
8,Ouachita,842,25,6728,284,37,-10258625.410155967,3826287.7042223224
,Out of State,0,0,4238,137,38,0,0
,Parish Under Investigation,64,1,0,0,39,0,0
1,Plaquemines,190,17,1176,10,40,-10001555.310067061,3456784.848227697
2,Pointe Coupee,126,17,546,149,41,-10193113.889824126,3581957.3746667574
6,Rapides,362,13,2918,185,42,-10300748.705472142,3658620.1381813665
7,Red River,36,6,274,15,43,-10390550.138695076,3775561.314531145
8,Richland,100,1,1159,26,44,-10211648.585041204,3824147.525620587
7,Sabine,17,1,457,28,45,-10411411.411269734,3707251.3324243226
1,St. Bernard,513,20,2536,42,46,-9993785.209609691,3485216.3946821494
3,St. Charles,594,43,3777,108,47,-10059096.354858104,3488646.538745664
9,St. Helena,35,1,166,9,48,-10097824.405705085,3609672.114795786
3,St. James,257,20,2120,122,49,-10107397.881913304,3506939.911676027
3,St. John the Baptist,801,76,3298,228,50,-10079623.668960385,3513462.897983378
4,St. Landry,215,50,2663,178,51,-10242038.806027768,3580798.537430845
4,St. Martin,257,21,2195,32,52,-10210980.668096446,3532937.2949286015
3,St. Mary,245,26,1432,185,53,-10180345.544230137,3468099.9312919388
9,St. Tammany,1452,133,10776,315,54,-10011930.286608994,3561118.5352116227
9,Tangipahoa,654,28,4148,60,55,-10064617.80160145,3586895.2748300675
8,Tensas,6,0,95,1,56,-10167922.289057609,3763563.9723020704
3,Terrebonne,523,38,3698,257,57,-10113097.43984192,3431495.9976110803
8,Union,165,9,975,36,58,-10283126.830079567,3873039.19327773
4,Vermilion,41,2,1595,28,59,-10277416.140201872,3483772.465794131
6,Vernon,18,2,706,4,60,-10373206.562029485,3646859.6663601766
9,Washington,337,26,1751,359,61,-10023262.61077175,3613735.3157097343
7,Webster,98,4,1845,13,62,-10390004.673190188,3857402.162682951
2,West Baton Rouge,123,26,705,24,63,-10164894.39890803,3563268.6671164106
8,West Carroll,4,0,330,25,64,-10180913.273633184,3867302.8079597773
2,West Feliciana,184,6,80,320,65,-10176004.0840892,3616641.5648341277
6,Winn,52,2,388,47,66,-10312270.272769246,3756026.2806381825
