Parish,Cumulative Deaths,FID,x,y
Acadia,15,387,-10287256.783187998,3540974.1934074564
Allen,10,388,-10333543.42745984,3587782.93213322
Ascension,54,389,-10120199.62335453,3529750.239441165
Assumption,11,390,-10137042.262311555,3490821.6645793305
Avoyelles,9,391,-10241549.000268279,3642689.4146340676
Beauregard,4,392,-10390928.624963773,3587216.1699105264
Bienville,21,393,-10358946.535258865,3809003.114831105
Bossier,25,394,-10420083.199602531,3852857.002733777
Caddo,171,395,-10450952.094399506,3839827.798885799
Calcasieu,43,396,-10392565.021478435,3533072.5757281906
Caldwell,0,397,-10254373.005607665,3775449.62557093
Cameron,0,398,-10370134.14408359,3493112.751841207
Catahoula,3,399,-10230428.183138032,3715327.4434908433
Claiborne,10,400,-10352233.969964031,3871825.723239455
Concordia,5,401,-10201318.13629559,3690859.394422525
De Soto,16,402,-10434576.997303816,3770825.3006083504
East Baton Rouge,227,403,-10140715.805507733,3572952.0446759933
East Carroll,0,404,-10156233.742524315,3859896.394859259
East Feliciana,27,405,-10135138.699018989,3612660.396081652
Evangeline,1,406,-10286577.734294157,3597627.73082642
Franklin,10,407,-10205069.603135323,3780849.991122153
Grant,1,408,-10303676.408080004,3710901.1912284456
Iberia,36,409,-10213919.50265339,3499442.344662809
Iberville,40,410,-10170170.942771632,3531648.978740774
Jackson,11,411,-10303487.164945656,3803043.454476528
Jefferson,432,412,-10033014.198165242,3468945.9830374937
Jefferson Davis,7,413,-10332018.350435972,3538039.0255269627
La Salle,0,414,-10259259.93125349,3720999.218044266
Lafayette,23,415,-10248506.46844286,3530168.865117412
Lafourche,65,416,-10067322.865227725,3448429.5162453293
Lincoln,14,417,-10315398.350460537,3842561.460019133
Livingston,26,418,-10101041.53898901,3561580.8148531397
Madison,0,419,-10157391.465228565,3811637.432980501
Morehouse,5,420,-10219329.629905943,3871499.85631458
Natchitoches,13,421,-10363432.710737834,3727167.025326693
Orleans,500,422,-10005685.263175491,3512320.6196337542
Ouachita,35,423,-10258625.410155967,3826287.7042223224
Parish Under Investigation,0,425,0,0
Plaquemines,16,426,-10001555.310067061,3456784.848227697
Pointe Coupee,22,427,-10193113.889824126,3581957.3746667574
Rapides,20,428,-10300748.705472142,3658620.1381813665
Red River,6,429,-10390550.138695076,3775561.314531145
Richland,2,430,-10211648.585041204,3824147.525620587
Sabine,0,431,-10411411.411269734,3707251.3324243226
St. Bernard,21,432,-9993785.209609691,3485216.3946821494
St. Charles,43,433,-10059096.354858104,3488646.538745664
St. Helena,1,434,-10097824.405705085,3609672.114795786
St. James,25,435,-10107397.881913304,3506939.911676027
St. John the Baptist,77,436,-10079623.668960385,3513462.897983378
St. Landry,52,437,-10242038.806027768,3580798.537430845
St. Martin,22,438,-10210980.668096446,3532937.2949286015
St. Mary,29,439,-10180345.544230137,3468099.9312919388
St. Tammany,155,440,-10011930.286608994,3561118.5352116227
Tangipahoa,32,441,-10064617.80160145,3586895.2748300675
Tensas,0,442,-10167922.289057609,3763563.9723020704
Terrebonne,48,443,-10113097.43984192,3431495.9976110803
Union,16,444,-10283126.830079567,3873039.19327773
Vermilion,3,445,-10277416.140201872,3483772.465794131
Vernon,3,446,-10373206.562029485,3646859.6663601766
Washington,37,447,-10023262.61077175,3613735.3157097343
Webster,5,448,-10390004.673190188,3857402.162682951
West Baton Rouge,30,449,-10164894.39890803,3563268.6671164106
West Carroll,0,450,-10180913.273633184,3867302.8079597773
West Feliciana,8,451,-10176004.0840892,3616641.5648341277
Winn,2,452,-10312270.272769246,3756026.2806381825
