USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
LA,22001,558389,Acadia ,1696880727,5918557,655.169,2.285,30.291497,-92.411037,0,0
LA,22003,558397,Allen ,1973083805,10634063,761.812,4.106,30.652744,-92.819605,0,0
LA,22005,558403,Ascension ,751259388,32965758,290.063,12.728,30.206444,-90.912502,0,0
LA,22007,558414,Assumption ,877029981,67099711,338.623,25.907,29.898853,-91.052465,0,0
LA,22009,558424,Avoyelles ,2154960193,87260913,832.035,33.692,31.088503,-91.983275,0,0
LA,22011,558436,Beauregard ,2997555223,21945878,1157.363,8.473,30.645018,-93.340253,0,0
LA,22013,558445,Bienville ,2101207369,27945994,811.281,10.79,32.340952,-93.041151,0,0
LA,22015,558453,Bossier ,2176404826,70298996,840.315,27.143,32.698481,-93.626561,0,0
LA,22017,558458,Caddo ,2276773700,148972461,879.067,57.519,32.577195,-93.882423,0,0
LA,22019,558468,Calcasieu ,2756144275,78003935,1064.153,30.117,30.229559,-93.358015,0,0
LA,22021,558477,Caldwell ,1371371987,29109145,529.49,11.239,32.101219,-92.114231,0,0
LA,22023,558488,Cameron ,3327796101,1688162100,1284.869,651.803,29.871812,-93.164948,0,0
LA,22025,558495,Catahoula ,1833782907,81308666,708.028,31.393,31.666517,-91.846703,0,0
LA,22027,558505,Claiborne ,1955125376,32473223,754.878,12.538,32.82716,-92.989728,0,0
LA,22029,558515,Concordia ,1805172274,130329992,696.981,50.321,31.469805,-91.626315,0,0
LA,22031,558521,De Soto ,2269932580,46995296,876.426,18.145,32.059248,-93.740797,0,0
LA,22033,558530,East Baton Rouge ,1179460545,38442235,455.392,14.843,30.54393,-91.093131,0,0
LA,22035,558534,East Carroll ,1089628528,56264652,420.708,21.724,32.73017,-91.234141,0,0
LA,22037,558542,East Feliciana ,1174307281,6151756,453.403,2.375,30.839784,-91.043434,0,0
LA,22039,558551,Evangeline ,1715558149,44659723,662.381,17.243,30.720693,-92.404086,0,0
LA,22041,558557,Franklin ,1617688504,28087065,624.593,10.844,32.139076,-91.672371,0,0
LA,22043,558567,Grant ,1665429793,56013945,643.026,21.627,31.597787,-92.561716,0,0
LA,22045,558576,Iberia ,1486894804,1182161751,574.093,456.435,30.007127,-91.976784,0,0
LA,22047,558582,Iberville ,1602243589,88655994,618.63,34.23,30.270628,-91.365848,0,0
LA,22049,558592,Jackson ,1474183476,28727342,569.185,11.092,32.30429,-92.5617,0,0
LA,22053,558039,Jefferson Davis ,1687025359,18718207,651.364,7.227,30.269529,-92.816221,0,0
LA,22051,558027,Jefferson ,765849559,897018001,295.696,346.341,29.522281,-90.081001,0,0
LA,22059,558049,LaSalle ,1617925445,97664170,624.685,37.708,31.680083,-92.161596,0,0
LA,22055,558059,Lafayette ,696088606,1149882,268.761,0.444,30.206507,-92.06417,0,0
LA,22057,558065,Lafourche ,2767038601,1037509108,1068.36,400.585,29.491992,-90.394849,0,0
LA,22061,558077,Lincoln ,1221806127,1897706,471.742,0.733,32.601823,-92.662303,0,0
LA,22063,558083,Livingston ,1678761759,112107033,648.174,43.285,30.440419,-90.727474,0,0
LA,22065,558088,Madison ,1617200406,68596533,624.405,26.485,32.346878,-91.231932,0,0
LA,22067,558097,Morehouse ,2058860093,28888919,794.93,11.154,32.820008,-91.800399,0,0
LA,22069,558108,Natchitoches ,3243376637,120998331,1252.275,46.718,31.732551,-93.082611,0,0
LA,22071,558113,Orleans ,438830826,467267624,169.434,180.413,30.05342,-89.934502,0,0
LA,22073,558114,Ouachita ,1580933156,55293049,610.402,21.349,32.480932,-92.151581,0,0
LA,22075,558125,Plaquemines ,2020951599,4628120213,780.294,1786.927,29.282447,-89.576068,0,0
LA,22077,559449,Pointe Coupee ,1443191040,86747117,557.219,33.493,30.708319,-91.604621,0,0
LA,22079,559460,Rapides ,3419675969,106999766,1320.344,41.313,31.193204,-92.535953,0,0
LA,22081,559472,Red River ,1007742987,34323733,389.092,13.252,32.101213,-93.34905,0,0
LA,22083,559481,Richland ,1439329200,22784622,555.728,8.797,32.413158,-91.748353,0,0
LA,22085,559489,Sabine ,2244636625,375317817,866.659,144.911,31.560402,-93.559579,0,0
LA,22087,1629542,St. Bernard ,977751170,4604202847,377.512,1777.693,29.91811,-89.263494,0,0
LA,22089,1629449,St. Charles ,719371428,308636642,277.751,119.165,29.905722,-90.357855,0,0
LA,22091,1629457,St. Helena ,1057772649,2796210,408.408,1.08,30.822539,-90.708307,0,0
LA,22093,1629464,St. James ,628956073,38794711,242.841,14.979,30.024777,-90.793956,0,0
LA,22095,1629472,St. John the Baptist ,555086131,506438994,214.32,195.537,30.144068,-90.49096,0,0
LA,22097,1629479,St. Landry ,2392922808,39029116,923.913,15.069,30.583441,-91.989274,0,0
LA,22099,1629486,St. Martin ,1909395777,205311872,737.222,79.271,30.121433,-91.611481,0,0
LA,22101,1629492,St. Mary ,1438956831,1460334138,555.584,563.838,29.629349,-91.463804,0,0
LA,22103,1629503,St. Tammany ,2189053583,648481703,845.198,250.38,30.410022,-89.951962,0,0
LA,22105,559500,Tangipahoa ,2049482871,136678798,791.31,52.772,30.621531,-90.40663,0,0
LA,22107,559509,Tensas ,1561204507,99471077,602.784,38.406,32.001489,-91.342576,0,0
LA,22109,559517,Terrebonne ,3185239627,2207173188,1229.828,852.194,29.33413,-90.843674,0,0
