USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
MA,25001,606927,Barnstable,1021019039,2360316945,394.218,911.324,41.799014,-70.21188000000001,0,0
MA,25003,606928,Berkshire,2400600620,50708156,926.877,19.579,42.371493,-73.217928,0,0
MA,25005,606929,Bristol,1432544616,357465834,553.109,138.018,41.748588,-71.088894,0,0
MA,25007,606930,Dukes,267300554,1004283854,103.205,387.756,41.38097,-70.701499,0,0
MA,25009,606931,Essex,1275609141,870172223,492.515,335.975,42.642708,-70.864909,0,0
MA,25011,606932,Franklin,1810916209,65604206,699.199,25.33,42.584503999999995,-72.591792,0,0
MA,25013,606933,Hampden,1598023769,44390005,617.0,17.139,42.136198,-72.635648,0,0
MA,25015,606934,Hampshire,1365534282,46667009,527.236,18.018,42.339459000000005,-72.66369399999999,0,0
MA,25017,606935,Middlesex,2118225748,75328648,817.852,29.085,42.481718,-71.39491600000001,0,0
MA,25019,606936,Nantucket,119566672,666897066,46.165,257.49,41.305878,-70.14191,0,0
MA,25021,606937,Norfolk,1025912910,124953176,396.10699999999997,48.245,42.171739,-71.181111,0,0
MA,25023,606938,Plymouth,1705716224,1125905214,658.581,434.714,41.987196000000004,-70.74194200000001,0,0
MA,25025,606939,Suffolk,150863059,160514693,58.248999999999995,61.975,42.338551,-71.018253,0,0
MA,25027,606940,Worcester,3912554985,177455990,1510.646,68.516,42.311693,-71.940282,0,0
