County,Cases,Deaths
Allegany  ,450,22
Anne Arundel  ,9713,233
Baltimore City  ,15292,464
Baltimore County  ,17523,596
Calvert  ,914,27
Caroline  ,638,5
Carroll  ,1917,121
Cecil  ,1017,32
Charles  ,2716,97
Dorchester  ,578,10
Frederick  ,3938,123
Garrett  ,72,1
Harford  ,2945,72
Howard  ,4968,116
Kent  ,297,22
Montgomery  ,21933,801
Prince George's  ,28715,795
Queen Anne's  ,640,25
St. Mary's  ,1257,57
Somerset  ,246,4
Talbot  ,543,5
Washington  ,1676,37
Wicomico  ,1914,48
Worcester  ,1010,25
Data not available  ,1010,10
Total,121922,3748
