USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
MD,24001,1713506,Allegany,1093462025,14801442,422.18800000000005,5.715,39.612313,-78.70310400000001,0,0
MD,24003,1710958,Anne Arundel,1074353655,448033072,414.81,172.987,38.991617,-76.56089399999999,0,0
MD,24005,1695314,Baltimore,1549745106,215959023,598.36,83.382,39.443166999999995,-76.616569,0,0
MD,24009,1676636,Calvert,552162128,341577085,213.19099999999997,131.884,38.522719,-76.529762,0,0
MD,24011,595737,Caroline,827350252,16777066,319.442,6.478,38.871531,-75.831662,0,0
MD,24013,1696228,Carroll,1159352918,13112465,447.629,5.063,39.563331,-77.015328,0,0
MD,24015,596115,Cecil,896909987,185283751,346.29900000000004,71.538,39.562354,-75.941585,0,0
MD,24017,1676992,Charles,1185688597,479508078,457.79699999999997,185.139,38.472853,-77.015427,0,0
MD,24019,596495,Dorchester,1400573745,1145353068,540.765,442.223,38.429196000000005,-76.047433,0,0
MD,24021,1711211,Frederick,1710755614,17840723,660.5260000000001,6.888,39.470214,-77.397628,0,0
MD,24023,1711058,Garrett,1681102437,22498420,649.077,8.687000000000001,39.547299,-79.274619,0,0
MD,24025,1698178,Harford,1132148068,231889650,437.125,89.53299999999999,39.537428999999996,-76.299789,0,0
MD,24027,1709077,Howard,649952136,6336142,250.94799999999998,2.4459999999999997,39.252264000000004,-76.924406,0,0
MD,24029,593907,Kent,717516438,353302295,277.035,136.411,39.241279,-76.125987,0,0
MD,24031,1712500,Montgomery,1277027149,35852731,493.06300000000005,13.843,39.137381,-77.203063,0,0
MD,24033,1714670,Prince George's,1250062233,41917744,482.652,16.185,38.829288,-76.84818,0,0
MD,24035,596089,Queen Anne's,962673216,360020725,371.69,139.005,39.040693,-76.08240500000001,0,0
MD,24039,596907,Somerset,828145299,752652868,319.749,290.601,38.07445,-75.853323,0,0
MD,24037,1697853,St. Mary's,929021301,1050381198,358.69699999999995,405.55400000000003,38.220289,-76.530384,0,0
MD,24041,592947,Talbot,695561625,539363462,268.558,208.24900000000002,38.748349,-76.178476,0,0
MD,24043,1714220,Washington,1185611700,24801555,457.767,9.576,39.603621000000004,-77.81467099999999,0,0
MD,24045,1668606,Wicomico,969744608,66787195,374.421,25.787,38.36737,-75.632083,0,0
MD,24047,1668802,Worcester,1213155089,586532498,468.402,226.46099999999998,38.222133,-75.309931,0,0
