PATIENT_COUNTY,DATA_REFRESH_DT,DATA_AS_OF_DT,CASES,DEATHS,RECOVERIES,HOSPITALIZATIONS
Androscoggin,2020-07-24,2020-07-23,527,5,474,38
Aroostook,2020-07-24,2020-07-23,31,1,23,4
Cumberland,2020-07-24,2020-07-23,1990,68,1717,184
Franklin,2020-07-24,2020-07-23,45,1,39,3
Hancock,2020-07-24,2020-07-23,19,1,17,2
Kennebec,2020-07-24,2020-07-23,154,10,130,27
Knox,2020-07-24,2020-07-23,25,1,23,4
Lincoln,2020-07-24,2020-07-23,31,0,23,3
Oxford,2020-07-24,2020-07-23,48,0,44,1
Penobscot,2020-07-24,2020-07-23,136,5,111,22
Piscataquis,2020-07-24,2020-07-23,3,0,3,1
Sagadahoc,2020-07-24,2020-07-23,39,0,32,7
Somerset,2020-07-24,2020-07-23,33,0,30,1
Unknown,2020-07-24,2020-07-23,2,0,0,0
Waldo,2020-07-24,2020-07-23,60,14,46,5
Washington,2020-07-24,2020-07-23,5,0,4,0
York,2020-07-24,2020-07-23,609,12,543,76
