County,Cases,Deaths
Alcona,1,0.0
Allegan,2,0
Antrim,1,0
Arenac,2,0
Barry,4,0
Bay,4,0
Berrien,12,2
Branch,1,0
Calhoun,14,0
Cass,4,0
Clare,1,0
Clinton,2,1
Crawford,1,0
Detroit City,132,48
Eaton,1,0
Genesee,54,3
Gladwin,1,0
Hillsdale,2,0
Huron,1,0
Ingham,7,1
Ionia,1,0
Isabella,1,0
Jackson,12,1
Kalamazoo,9,0
Kalkaska,2,0
Kent,29,2
Lapeer,8,1
Leelanau,1,0
Lenawee,3,0
Livingston,16,1
Macomb,172,37
Marquette,1,0
Midland,3,0
Missaukee,1,0
Monroe,15,1
Muskegon,8,0
Oakland,212,28
Otsego,1,0
Ottawa,7,0
Saginaw,11,2
Sanilac,2,0
Shiawassee,1,1
St Clair,10,1
Tuscola,2,0
Van Buren,4,0
Washtenaw,26,3
Wayne,203,16
MDOC*,43,3
FCI**,13,0
Unknown,-15,1
Out of State,9,0
Total,1058,153
