County,Cases,Deaths
Alpena,1,0
Baraga,1,0.0
Barry,2,0
Bay,3,0
Berrien,10,0
Branch,1,0
Calhoun,15,1
Cass,2,0
Clare,2,0
Clinton,2,1
Crawford,2,0
Delta,1,0
Detroit City,247,71
Eaton,7,0
Genesee,63,10
Gladwin,2,0
Hillsdale,3,0
Huron,1,0
Ingham,8,1
Ionia,2,0
Iosco,2,0
Isabella,2,1
Jackson,14,0
Kalamazoo,15,0
Kalkaska,1,0
Kent,31,1
Lapeer,6,3
Leelanau,1,0
Lenawee,3,0
Livingston,9,2
Macomb,200,24
Manistee,1,0
Mason,1,0
Midland,5,0
Missaukee,1,0
Monroe,6,1
Montmorency,1,0
Muskegon,17,0
Oakland,202,28
Ogemaw,1,0
Osceola,1,0
Otsego,9,0
Ottawa,8,0
Saginaw,36,1
Shiawassee,7,0
St Clair,11,0
St Joseph,1,0
Tuscola,3,1
Washtenaw,28,1
Wayne,211,26
MDOC*,14,0
FCI**,3,0
Total,1226,173
