County,Cases,Deaths
Alcona,46,3
Alger,89,1
Allegan,1195,7
Alpena,142,14
Antrim,117,0
Arenac,92,3
Baraga,87,4
Barry,650,6
Bay,1313,62
Benzie,115,2
Berrien,2525,81
Branch,791,10
Calhoun,2628,69
Cass,934,24
Charlevoix,166,4
Cheboygan,133,2
Chippewa,89,0
Clare,252,11
Clinton,1021,16
Crawford,139,5
Delta,1120,24
Detroit City,15421,1549
Dickinson,639,19
Eaton,1074,11
Emmet,250,4
FCI,192,5
Genesee,5858,312
Gladwin,184,2
Gogebic,290,3
Grand Traverse,731,13
Gratiot,464,17
Hillsdale,476,27
Houghton,783,8
Huron,234,5
Ingham,4591,65
Ionia,691,8
Iosco,245,15
Iron,411,22
Isabella,949,15
Jackson,1828,65
Kalamazoo,3995,103
Kalkaska,113,4
Kent,13848,182
Keweenaw,20,0
Lake,60,1
Lapeer,788,37
Leelanau,139,2
Lenawee,1105,20
Livingston,1852,32
Luce,47,0
MDOC,6685,75
Mackinac,127,0
Macomb,17817,1039
Manistee,130,3
Marquette,934,15
Mason,228,1
Mecosta,516,4
Menominee,648,5
Midland,901,14
Missaukee,73,1
Monroe,1822,37
Montcalm,600,13
Montmorency,26,0
Muskegon,2152,82
Newaygo,628,3
Oakland,20743,1186
Oceana,605,6
Ogemaw,97,5
Ontonagon,91,0
Osceola,160,1
Oscoda,37,2
Otsego,232,11
Ottawa,5035,71
Out-of-State,335,2
Presque Isle,55,1
Roscommon,160,6
Saginaw,3690,150
Sanilac,201,6
Schoolcraft,75,0
Shiawassee,681,33
St Clair,1322,64
St Joseph,1089,19
Tuscola,596,35
Unknown,4,0
Van Buren,1027,17
Washtenaw,4942,119
Wayne,21998,1333
Wexford,161,4
Total,167545,7257
