county,type,x,y
Arenac,0,695,665
Allegan,0,466,885
Antrim,0,559,525
Branch,0,566,983
Barry,0,540,883
Bay,0,682,695
Berrien,0,433,955
Cheboygan,0,625,430
Calhoun,0,569,934
Cass,0,463,980
Charlevoix,0,577,482
Chippewa,0,577,310
Clare,0,590,677
Clinton,0,615,836
Crawford,0,614,576
Delta,0,359,389
Detroit City,0,808,935
Dickinson,0,268,384
Emmet,0,609,455
Eaton,0,591,883
Genesee,0,709,822
Gladwin,0,640,681
Gogebic,0,144,326
Grand Traverse,0,511,577
Gratiot,0,616,784
Hillsdale,0,620,992
Houghton,0,178,229
Huron,0,773,701
Ingham,0,642,887
Ionia,0,570,835
Iosco,0,718,629
Isabella,0,591,735
Jackson,0,632,934
Kalamazoo,0,535,930
Kalkaska,0,567,578
Kent,0,515,834
Lapeer,0,767,820
Leelanau,0,485,537
Lenawee,0,669,989
Livingston,0,690,882
Luce,0,508,313
Macomb,0,804,882
Mackinac,0,511,335
Manistee,0,468,606
Marquette,0,266,309
Mecosta,0,539,733
Midland,8,643,732
Missaukee,0,589,629
Monroe,0,732,986
Montcalm,0,566,781
Muskegon,0,450,760
Newaygo,0,488,755
Oakland,0,740,880
Oceana,0,437,731
Ogemaw,0,666,629
Osceola,0,539,676
Oscoda,0,666,577
Otsego,0,615,526
Ottawa,0,466,834
Presque Isle,0,682,452
Roscommon,0,641,629
Saginaw,0,668,780
Sanilac,0,814,778
Schoolcraft,0,444,358
Shiawassee,0,667,837
St Clair,0,840,842
St Joseph,0,517,984
Tuscola,0,739,767
Van Buren,0,466,936
Washtenaw,0,694,935
Wayne,0,750,903
Wexford,0,511,628
Other,0,25,85
Out of State,0,25,85
Unknown,0,466,885
Not Reported,0,753,933
