USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               ,ROTATE,NOTES
MI,26001,1622943,Alcona,1747349266,2890404970,674.655,1115.992,44.68,-83.6,0,0
MI,26003,1622944,Alger,2369925449,10703519680,915.033,4132.652,46.323269,-86.892214,0,0
MI,26005,1622945,Allegan,2137395807,2610802947,825.253,1008.037,42.52,-85.84,0,0
MI,26007,1622946,Alpena,1481127630,2908710755,571.867,1123.06,45.036728,-83.506574,0,0
MI,26009,1622947,Antrim,1232002671,326536776,475.679,126.077,45.005455,-85.175639,0,0
MI,26011,1622948,Arenac,940627657,822313309,363.178,317.497,44.060073,-83.906751,0,0
MI,26013,1622949,Baraga,2326914366,441619428,898.427,170.51,46.695859,-88.36181,0,0
MI,26015,1622950,Barry,1432508482,62024197,553.095,23.948,42.582811,-85.31455,0,0
MI,26017,1622951,Bay,1145399057,488149217,442.241,188.475,43.699711,-83.978701,0,0
MI,26019,1622952,Benzie,828014431,1398245684,319.698,539.866,44.61,-86.09,0,0
MI,26021,1622953,Berrien,1470543783,2625449730,567.78,1013.692,41.823351,-86.490104,0,0
MI,26023,1622954,Branch,1311605515,34420092,506.414,13.29,41.918455,-85.066885,0,0
MI,26025,1622955,Calhoun,1829206358,31260656,706.261,12.07,42.24299,-85.012385,0,0
MI,26027,1622956,Cass,1269366892,47148115,490.105,18.204,41.917243,-86.000142,0,0
MI,26029,1622957,Charlevoix,1078288786,2522931119,416.33,974.109,45.201476,-85.040685,-15,0
MI,26031,1622958,Cheboygan,1852551949,440619492,715.274,170.124,45.476022,-84.495431,45,0
MI,26033,1622959,Chippewa,4036515589,2952489038,1558.507,1139.962,46.321819,-84.52063,0,0
MI,26035,1622960,Clare,1461700232,28500461,564.366,11.004,43.991137,-84.838325,0,0
MI,26037,1622961,Clinton,1467017475,21098128,566.419,8.146,42.950455,-84.591695,0,0
MI,26039,1622962,Crawford,1441077804,17917861,556.403,6.918,44.680175,-84.611343,0,0
MI,26041,1622963,Delta,3033137838,2124389421,1171.101,820.231,45.855229,-86.901938,0,0
MI,,,Detroit,,,,,42.218799,-82.88702,,
MI,26043,1622964,Dickinson,1970845139,40505952,760.948,15.639,46.012825,-87.866123,0,0
MI,26045,1622965,Eaton,1489767393,10957924,575.202,4.231,42.58953,-84.84645,0,0
MI,26047,1622966,Emmet,1210872498,1073487484,467.521,414.476,45.590094,-84.986822,0,0
MI,26049,1622967,Genesee,1649653741,32768944,636.935,12.652,43.021077,-83.706372,0,0
MI,26051,1622968,Gladwin,1299620448,36677052,501.786,14.161,43.98975,-84.389816,0,0
