USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
MO,29001,765805,Adair,1469362058,5468507,567.3240000000001,2.1109999999999998,40.190666,-92.603592,0,0
MO,29003,758456,Andrew,1120509776,9678035,432.631,3.737,39.988863,-94.803551,0,0
MO,29005,758457,Atchison,1417462632,7359186,547.285,2.841,40.431846,-95.437555,0,0
MO,29007,758458,Audrain,1792905920,11855681,692.245,4.578,39.214481,-91.843418,0,0
MO,29009,758459,Barry,2015203933,32948669,778.075,12.722000000000001,36.699376,-93.834334,0,0
MO,29011,758460,Barton,1533351029,12152201,592.03,4.692,37.500799,-94.344089,0,0
MO,29013,758461,Bates,2167029202,38034974,836.695,14.685,38.257217,-94.339246,0,0
MO,29015,758462,Benton,1823462209,125581250,704.043,48.486999999999995,38.301035999999996,-93.287942,0,0
MO,29017,758463,Bollinger,1600364571,8530122,617.904,3.293,37.318427,-90.02464499999999,0,0
MO,29019,758464,Boone,1775568659,14233911,685.551,5.496,38.989861,-92.310202,0,0
MO,29021,758465,Buchanan,1057347849,17956298,408.244,6.933,39.660369,-94.808173,0,0
MO,29023,758466,Butler,1799187755,11192416,694.67,4.321000000000001,36.71518,-90.40313,0,0
MO,29025,758467,Caldwell,1104350538,8402195,426.392,3.2439999999999998,39.658998,-93.979179,0,0
MO,29027,758468,Callaway,2161518207,33189437,834.567,12.815,38.835547,-91.923446,0,0
MO,29029,758469,Camden,1699143493,136285342,656.043,52.62,38.026527,-92.765327,0,0
MO,29031,758470,Cape Girardeau,1498414364,20158773,578.5409999999999,7.7829999999999995,37.384141,-89.68565799999999,0,0
MO,29033,758471,Carroll,1799061892,17533392,694.622,6.77,39.427375,-93.500227,0,0
MO,29035,758472,Carter,1314052439,4304986,507.35900000000004,1.662,36.944858,-90.945705,0,0
MO,29037,758473,Cass,1804223305,14963263,696.615,5.777,38.646474,-94.354547,0,0
MO,29039,758474,Cedar,1228870880,62637821,474.47,24.185,37.733655,-93.850014,0,0
MO,29041,758475,Chariton,1945541996,40353306,751.178,15.58,39.517967999999996,-92.96162,0,0
MO,29043,758476,Christian,1457250993,3004960,562.648,1.16,36.969739000000004,-93.187614,0,0
MO,29045,758477,Clark,1306924729,18695976,504.606,7.218999999999999,40.407275,-91.729472,0,0
MO,29047,758478,Clay,1029948537,28501525,397.665,11.005,39.315551,-94.421502,0,0
MO,29049,758479,Clinton,1085094819,11719847,418.957,4.525,39.608723,-94.395803,0,0
MO,29051,758480,Cole,1014104083,19106873,391.548,7.377000000000001,38.503233,-92.280027,0,0
MO,29053,758481,Cooper,1462703861,11467296,564.753,4.428,38.845386,-92.81232299999999,0,0
MO,29055,758482,Crawford,1923005893,3306284,742.477,1.2770000000000001,37.96656,-91.31393299999999,0,0
MO,29057,758483,Dade,1269121007,42072595,490.01,16.244,37.43235,-93.854878,0,0
MO,29059,758484,Dallas,1401057571,4909181,540.951,1.895,37.683583,-93.033815,0,0
MO,29061,758485,Daviess,1458893649,14926594,563.2819999999999,5.763,39.962839,-93.97005300000001,0,0
MO,29063,758486,DeKalb,1091311297,11561837,421.358,4.4639999999999995,39.894665,-94.40719,0,0
MO,29065,758487,Dent,1949641178,4518782,752.7610000000001,1.745,37.603072,-91.489717,0,0
MO,29067,758488,Douglas,2107274105,2520175,813.623,0.973,36.946517,-92.51589200000001,0,0
MO,29069,758489,Dunklin,1401438398,15768936,541.0980000000001,6.087999999999999,36.306905,-90.065394,0,0
MO,29071,758490,Franklin,2389655153,20808982,922.6510000000001,8.033999999999999,38.413003,-91.07283199999999,0,0
MO,29073,758491,Gasconade,1344216320,18008168,519.005,6.952999999999999,38.441183,-91.50578,0,0
MO,29075,758492,Gentry,1272776755,762384,491.42199999999997,0.294,40.208127000000005,-94.405321,0,0
MO,29077,758493,Greene,1749088388,6612780,675.327,2.553,37.258196000000005,-93.340641,0,0
MO,29079,758494,Grundy,1127401335,7118004,435.292,2.748,40.112541,-93.565054,0,0
MO,29081,758495,Harrison,1871309893,10070644,722.5169999999999,3.888,40.345620000000004,-93.992582,0,0
MO,29083,758496,Henry,1805078265,91634021,696.945,35.38,38.386491,-93.79262800000001,0,0
MO,29085,758497,Hickory,1032908401,33454688,398.80800000000005,12.917,37.93691,-93.322988,0,0
MO,29087,758498,Holt,1198369593,19839053,462.69300000000004,7.66,40.095724,-95.219072,0,0
MO,29089,758499,Howard,1201237134,19848483,463.8,7.664,39.143365,-92.695926,0,0
MO,29091,758500,Howell,2401562319,2913503,927.248,1.125,36.774369,-91.88736800000001,0,0
MO,29093,758501,Iron,1425178293,4661906,550.264,1.8,37.594364,-90.98468199999999,0,0
MO,29095,758502,Jackson,1565689799,30629899,604.516,11.825999999999999,39.005336,-94.343165,0,0
MO,29097,758503,Jasper,1653723341,7163887,638.506,2.766,37.205197,-94.337259,0,0
