County,Cases,Deaths
Adams,310,18
Alcorn,68,2
Amite,89,2
Attala,359,23
Benton,34,0
Bolivar,334,14
Calhoun,129,4
Carroll,164,11
Chickasaw,276,18
Choctaw,74,4
Claiborne,270,10
Clarke,206,24
Clay,249,10
Coahoma,199,6
Copiah,602,16
Covington,347,5
Desoto,1572,16
Forrest,860,42
Franklin,45,2
George,86,3
Greene,105,8
Grenada,479,5
Hancock,126,13
Harrison,886,10
Hinds,2480,39
Holmes,551,41
Humphreys,147,9
Issaquena,9,1
Itawamba,135,8
Jackson,616,16
Jasper,261,6
Jefferson,107,3
Jefferson Davis,111,4
Jones,1120,49
Kemper,178,14
Lafayette,389,4
Lamar,456,7
Lauderdale,908,79
Lawrence,174,1
Leake,575,19
Lee,547,18
Leflore,486,51
Lincoln,454,34
Lowndes,483,12
Madison,1296,34
Marion,275,11
Marshall,226,3
Monroe,399,30
Montgomery,131,2
Neshoba,985,71
Newton,339,9
Noxubee,261,8
Oktibbeha,541,26
Panola,345,6
Pearl River,254,32
Perry,66,4
Pike,431,12
Pontotoc,283,6
Prentiss,108,3
Quitman,76,0
Rankin,916,12
Scott,770,15
Sharkey,35,0
Simpson,310,3
Smith,220,11
Stone,64,1
Sunflower,373,7
Tallahatchie,136,4
Tate,278,10
Tippah,130,11
Tishomingo,78,1
Tunica,100,3
Union,207,9
Walthall,200,4
Warren,511,18
Washington,578,9
Wayne,542,13
Webster,125,10
Wilkinson,94,9
Winston,259,6
Yalobusha,171,7
Yazoo,505,6
Total,30674,1107
