USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
MS,28001,695726,Adams,1197464266,65273639,462.344,25.202,31.486224,-91.351797,0,0
MS,28003,711755,Alcorn,1036110405,3408033,400.044,1.316,34.886569,-88.581109,0,0
MS,28005,695727,Amite,1890950865,3877823,730.1,1.497,31.203933,-90.795542,0,0
MS,28007,695728,Attala,1903529290,4425860,734.957,1.709,33.090468,-89.588622,0,0
MS,28009,695729,Benton,1053131421,5279183,406.616,2.038,34.810518,-89.200285,90,0
MS,28011,695730,Bolivar,2270541557,75515374,876.661,29.157,33.799139,-90.88412,0,0
MS,28013,695731,Calhoun,1519218284,3590388,586.573,1.386,33.936634,-89.337114,0,0
MS,28015,695732,Carroll,1627263542,16304134,628.29,6.295,33.440795,-89.918887,0,0
MS,28017,695733,Chickasaw,1299608407,6380767,501.782,2.464,33.933277,-88.947558,45,0
MS,28019,695734,Choctaw,1083122611,4297811,418.196,1.659,33.345964,-89.251332,0,0
MS,28021,695735,Claiborne,1262400022,35711134,487.415,13.788,31.97281,-90.915424,0,0
MS,28023,695736,Clarke,1791177229,5069761,691.577,1.957,32.045374,-88.687976,0,0
MS,28025,695737,Clay,1062066001,15393112,410.066,5.943,33.65967,-88.782468,0,0
MS,28027,695738,Coahoma,1430939226,79418658,552.489,30.664,34.22867,-90.603165,-45,0
MS,28029,695739,Copiah,2013158769,5644780,777.285,2.179,31.866915,-90.448758,0,0
MS,28031,695740,Covington,1071784947,2880713,413.818,1.112,31.633331,-89.548897,0,0
MS,28033,695741,DeSoto,1233644242,53536481,476.313,20.671,34.874266,-89.99324,0,0
MS,28035,695742,Forrest,1207042881,10872916,466.042,4.198,31.18858,-89.259447,90,0
MS,28037,695743,Franklin,1460658783,7250805,563.964,2.8,31.477773,-90.895457,0,0
MS,28039,695744,George,1239816907,12838126,478.696,4.957,30.855431,-88.642268,0,0
MS,28041,695745,Greene,1845983328,15431185,712.738,5.958,31.212845,-88.634811,0,0
MS,28043,695746,Grenada,1093291104,70659566,422.122,27.282,33.770031,-89.80274,0,0
MS,28045,711756,Hancock,1227561278,204095552,473.964,78.802,30.391641,-89.482791,0,0
MS,28047,695747,Harrison,1485725579,1064606460,573.642,411.047,30.416536,-89.083376,0,0
MS,28049,695748,Hinds,2252849338,19297834,869.83,7.451,32.267788,-90.466017,0,0
MS,28051,695749,Holmes,1959776826,20568825,756.674,7.942,33.125942,-90.091197,0,0
MS,28053,695750,Humphreys,1083947280,32942666,418.514,12.719,33.130996,-90.523421,0,0
MS,28055,695751,Issaquena,1069782879,73507456,413.045,28.381,32.755539,-91.003535,90,0
MS,28057,695752,Itawamba,1379933023,19825536,532.795,7.655,34.281075,-88.363127,45,0
MS,28059,695753,Jackson,1872035802,830366011,722.797,320.606,30.456005,-88.625101,0,0
MS,28061,695754,Jasper,1751454613,3178416,676.24,1.227,32.016989,-89.11943,0,0
MS,28063,695755,Jefferson,1346620554,18988092,519.933,7.331,31.733633,-91.043878,0,0
MS,28067,695757,Jones,1799554023,12681687,694.812,4.896,31.616601,-89.168532,0,0
MS,28069,695758,Kemper,1984403152,2182350,766.182,0.843,32.750136,-88.625631,0,0
MS,28071,695759,Lafayette,1636080566,123113358,631.694,47.534,34.353078,-89.485385,0,0
MS,28073,695760,Lamar,1286381289,8599922,496.675,3.32,31.197586,-89.506369,0,0
MS,28075,695761,Lauderdale,1822508252,29730521,703.674,11.479,32.403998,-88.660449,0,0
MS,28077,695762,Lawrence,1115254017,13188412,430.602,5.092,31.550009,-90.10753,0,0
MS,28079,695763,Leake,1509697184,6376466,582.897,2.462,32.76063,-89.52225,0,0
MS,28081,695764,Lee,1165404281,8314455,449.965,3.21,34.29237,-88.682439,0,0
MS,28083,695765,Leflore,1538645698,31868197,594.074,12.304,33.54979,-90.294934,0,0
MS,28085,695766,Lincoln,1518269800,5291052,586.207,2.043,31.535216,-90.453566,0,0
MS,28087,695767,Lowndes,1309092521,28545194,505.443,11.021,33.471424,-88.439723,0,0
MS,28089,695768,Madison,1850602740,71274123,714.522,27.519,32.63437,-90.03416,0,0
MS,28091,695769,Marion,1404769586,16149945,542.385,6.236,31.230167,-89.821712,0,0
MS,28093,695770,Marshall,1829011187,9173803,706.185,3.542,34.76619,-89.504231,0,0
