USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
MT,30001,1719627,Beaverhead,14355492109,78345289,5542.687,30.249000000000002,45.133863,-112.89286899999999,0,0
MT,30003,1716521,Big Horn,12944280225,47395454,4997.815,18.299,45.407869,-107.51816299999999,0,0
MT,30005,1722470,Blaine,10948196437,29079275,4227.122,11.228,48.428282,-108.967648,0,0
MT,30007,1719625,Broadwater,3088195834,118487318,1192.359,45.748000000000005,46.329848999999996,-111.497873,0,0
MT,30009,1720111,Carbon,5303530757,35410718,2047.705,13.672,45.224468,-109.028554,0,0
MT,30011,1688746,Carter,8651796239,19503322,3340.4770000000003,7.53,45.516825,-104.51532399999999,0,0
MT,30013,1719622,Cascade,6988237754,34396942,2698.1740000000004,13.280999999999999,47.316575,-111.35026200000001,0,0
MT,30015,1719619,Chouteau,10288824735,62565533,3972.538,24.156999999999996,47.886834,-110.4362,0,0
MT,30017,1720109,Custer,9798723675,25612454,3783.309,9.889,46.261414,-105.550352,0,0
MT,30019,1637566,Daniels,3693365371,1021697,1426.016,0.39399999999999996,48.794429,-105.54173899999999,0,0
MT,30021,1715632,Dawson,6143238450,29905888,2371.9179999999997,11.547,47.26613,-104.898271,0,0
MT,30023,1719617,Deer Lodge,1907999323,12199471,736.683,4.71,46.094671999999996,-113.141624,0,0
MT,30025,1688745,Fallon,4197320394,5915331,1620.595,2.2840000000000003,46.318184,-104.40571800000001,0,0
MT,30027,1719614,Fergus,11238811024,27700320,4339.329000000001,10.695,47.225221000000005,-109.23213799999999,0,0
MT,30029,1719611,Flathead,13175781006,437178481,5087.198,168.796,48.314678,-114.054295,0,0
MT,30031,1720053,Gallatin,6746958038,74488978,2605.015,28.76,45.518054,-111.163921,0,0
MT,30033,1716058,Garfield,12112233259,446864356,4676.56,172.535,47.267184,-106.99599099999999,0,0
MT,30035,1719607,Glacier,7756874927,106013590,2994.946,40.931999999999995,48.705671,-112.990502,0,0
MT,30037,1723078,Golden Valley,3041740578,2621792,1174.423,1.012,46.380624,-109.174586,0,0
MT,30039,1719605,Granite,4473328964,14546368,1727.162,5.6160000000000005,46.395955,-113.427356,0,0
MT,30041,1720048,Hill,7508815833,44701997,2899.17,17.26,48.631959,-110.106321,0,0
MT,30043,1720045,Jefferson,4291254981,6604351,1656.8629999999998,2.55,46.124232,-112.059428,0,0
MT,30045,1719602,Judith Basin,4842466678,2066739,1869.6870000000001,0.7979999999999999,47.032558,-110.30532,0,0
MT,30047,1796943,Lake,3860290983,423545840,1490.467,163.532,47.642901,-114.08368700000001,0,0
MT,30049,793926,Lewis and Clark,8957164719,101496098,3458.381,39.188,47.132013,-112.37336699999999,0,0
MT,30051,1720036,Liberty,3703639182,44411469,1429.983,17.147000000000002,48.559653999999995,-111.036924,0,0
MT,30053,1720038,Lincoln,9356423252,161590704,3612.535,62.391000000000005,48.552385,-115.46318500000001,0,0
MT,30057,1720033,Madison,9293284427,39846408,3588.157,15.385,45.32529,-111.91379099999999,0,0
MT,30055,1716270,McCone,6843332002,103024638,2642.225,39.778,47.629628000000004,-105.757222,0,0
MT,30059,1719600,Meagher,6194909925,7475979,2391.868,2.886,46.5857,-110.92173999999999,0,0
MT,30061,1720030,Mineral,3158799744,9897207,1219.619,3.821,47.151942,-115.065627,0,0
MT,30063,1719596,Missoula,6715862371,64586516,2593.009,24.936999999999998,47.027263,-113.89269099999999,0,0
MT,30065,1719593,Musselshell,4840577745,7118682,1868.9579999999999,2.7489999999999997,46.505281,-108.43976299999999,0,0
MT,30067,1720027,Park,7258365000,27885027,2802.4709999999995,10.765999999999998,45.421428999999996,-110.53276000000001,0,0
MT,30069,1719590,Petroleum,4288047862,48927318,1655.625,18.891,47.141917,-108.226575,0,0
MT,30071,1720023,Phillips,13313777226,185493125,5140.478,71.619,48.250143,-107.92889699999999,0,0
MT,30073,1719587,Pondera,4207608384,43980663,1624.567,16.980999999999998,48.228604,-112.22076100000001,0,0
MT,30075,1719584,Powder River,8542288888,1565958,3298.196,0.605,45.408926,-105.55534399999999,0,0
MT,30077,1720021,Powell,6024421096,16247901,2326.042,6.273,46.844225,-112.9311,0,0
MT,30079,1715847,Prairie,4497780202,15092932,1736.6029999999998,5.827000000000001,46.812384,-105.50399399999999,0,0
MT,30081,1719582,Ravalli,6192655807,24208380,2390.998,9.347000000000001,46.077744,-114.105795,0,0
MT,30083,1715338,Richland,5398974500,49002599,2084.556,18.92,47.785633000000004,-104.563408,0,0
MT,30085,1669428,Roosevelt,6098391680,38582234,2354.6020000000003,14.897,48.282747,-104.99517,0,0
MT,30087,1716795,Rosebud,12971010158,44234236,5008.135,17.079,46.173233,-106.66674599999999,0,0
MT,30089,1719578,Sanders,7149405173,76394142,2760.401,29.496,47.756496999999996,-115.180306,0,0
MT,30091,1677577,Sheridan,4340323253,75007243,1675.808,28.96,48.705523,-104.533913,0,0
MT,30093,1719575,Silver Bow,1859568275,1518176,717.9830000000001,0.586,45.896232,-112.660071,0,0
MT,30095,1719572,Stillwater,4653551002,23732517,1796.746,9.163,45.658545000000004,-109.381576,0,0
MT,30097,1719569,Sweet Grass,4805735230,17537143,1855.505,6.771,45.811292,-109.944796,0,0
MT,30099,1720018,Teton,5883425281,52657848,2271.603,20.331,47.819035,-112.281725,0,0
MT,30101,1719566,Toole,4959868815,78026225,1915.016,30.125999999999998,48.645125,-111.73347199999999,0,0
MT,30103,1719563,Treasure,2532492070,17149961,977.801,6.622000000000001,46.229440999999994,-107.285772,0,0
MT,30105,1678923,Valley,12758539633,351469571,4926.1,135.703,48.34985,-106.670424,0,0
MT,30107,1719560,Wheatland,3684208403,13010925,1422.481,5.024,46.497046999999995,-109.857147,0,0
MT,30109,1696629,Wibaux,2303979500,1756846,889.571,0.6779999999999999,46.962965999999994,-104.274518,0,0
