County,Cases,Deaths
Adams,69,0
Barnes,335,1
Benson,492,8
Billings,32,0
Bottineau,242,16
Bowman,114,2
Burke,61,1
Burleigh,6120,75
Cass,8359,83
Cavalier,69,1
Dickey,240,1
Divide,47,1
Dunn,197,5
Eddy,184,3
Emmons,275,8
Foster,164,2
Golden Valley,112,0
Grand Forks,3541,17
Grant,62,3
Griggs,78,1
Hettinger,125,2
Kidder,88,2
LaMoure,189,5
Logan,125,0
McHenry,168,12
McIntosh,167,4
McKenzie,485,4
McLean,520,9
Mercer,448,3
Morton,2093,50
Mountrail,477,6
Nelson,153,3
Oliver,72,1
Pembina,187,0
Pierce,77,0
Ramsey,462,4
Ransom,160,0
Renville,100,2
Richland,417,3
Rolette,314,8
Sargent,123,2
Sheridan,39,1
Sioux,236,4
Slope,13,0
Stark,2275,34
Steele,38,0
Stutsman,780,6
Towner,87,2
Traill,239,3
Unknown,0,0
Walsh,393,2
Ward,2296,28
Wells,95,0
Williams,1705,12
Total,35939,440
