USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
ND,38001,1034210,Adams,2557733901,2894336,987.547,1.1179999999999999,46.096815,-102.533198,0,0
ND,38003,1034225,Barnes,3863118055,56580900,1491.558,21.846,46.94255,-98.070195,0,0
ND,38005,1034216,Benson,3596341060,131678181,1388.555,50.841,48.071743,-99.351152,0,0
ND,38007,1035616,Billings,2974571254,11986483,1148.488,4.628,47.007044,-103.364016,0,0
ND,38009,1034227,Bottineau,4321075833,74935382,1668.3770000000002,28.933000000000003,48.794412,-100.831257,0,0
ND,38011,1035619,Bowman,3009070659,13583664,1161.809,5.245,46.110144,-103.505943,0,0
ND,38013,1034235,Burke,2858179013,65714655,1103.549,25.373,48.786453,-102.520087,0,0
ND,38015,1035614,Burleigh,4228659152,92691317,1632.694,35.788000000000004,46.978829,-100.469533,0,0
ND,38017,1034226,Cass,4571158976,7449683,1764.934,2.8760000000000003,46.927003000000006,-97.252375,0,0
ND,38019,1035304,Cavalier,3856631212,54090823,1489.0539999999999,20.885,48.768439,-98.46379,0,0
ND,38021,1035622,Dickey,2930554406,27619632,1131.493,10.664000000000001,46.107756,-98.49651800000001,0,0
ND,38023,1034234,Divide,3265658855,86686807,1260.878,33.47,48.814754,-103.509326,0,0
ND,38025,1035623,Dunn,5201969429,190528746,2008.4920000000002,73.564,47.354557,-102.61232199999999,0,0
ND,38027,1034222,Eddy,1632310788,36012934,630.239,13.905,47.723436,-98.900474,0,0
ND,38029,1035615,Emmons,3910888908,117348492,1510.003,45.309,46.284255,-100.237842,0,0
ND,38031,1034223,Foster,1642258774,33103934,634.08,12.782,47.471431,-98.872876,0,0
ND,38033,1035617,Golden Valley,2592280439,4148883,1000.885,1.6019999999999999,46.938924,-103.844612,0,0
ND,38035,1034218,Grand Forks,3719806629,8267350,1436.225,3.1919999999999997,47.926003,-97.450851,0,0
ND,38037,1035300,Grant,4297393836,17563450,1659.233,6.781000000000001,46.357827,-101.639049,0,0
ND,38039,1034219,Griggs,1835407690,20525248,708.655,7.925,47.456334000000005,-98.232286,0,0
ND,38041,1034209,Hettinger,2932485809,4008872,1132.239,1.548,46.435704,-102.454238,0,0
ND,38043,1034206,Kidder,3499233948,211737414,1351.0620000000001,81.752,46.938272999999995,-99.73119799999999,0,0
ND,38045,1035621,LaMoure,2968139583,12824671,1146.005,4.952,46.464195000000004,-98.526057,0,0
ND,38047,1035620,Logan,2570819041,47710154,992.5989999999999,18.421,46.469278,-99.50458499999999,0,0
ND,38049,1035305,McHenry,4853487956,97323497,1873.942,37.577,48.233841999999996,-100.633267,0,0
ND,38051,1034211,McIntosh,2524106808,51795568,974.563,19.998,46.108682,-99.416487,0,0
ND,38053,1035299,McKenzie,7148712746,260119355,2760.134,100.43299999999999,47.742475,-103.403215,0,0
ND,38055,1034232,McLean,5465546322,563843611,2110.259,217.701,47.530459,-101.353087,0,0
ND,38057,1034233,Mercer,2700790004,180823533,1042.781,69.816,47.307147,-101.83332800000001,0,0
ND,38059,1034207,Morton,4988026151,49931487,1925.888,19.279,46.710819,-101.298265,0,0
ND,38061,1035307,Mountrail,4727397872,301102221,1825.259,116.256,48.210073,-102.36489499999999,0,0
ND,38063,1034217,Nelson,2542889235,70073746,981.815,27.055999999999997,47.918667,-98.20442800000001,0,0
ND,38065,1034205,Oliver,1871017444,22475760,722.404,8.677999999999999,47.118078999999994,-101.33142,0,0
ND,38067,1034212,Pembina,2897362282,7010380,1118.678,2.707,48.766896,-97.545405,0,0
ND,38069,1034230,Pierce,2637345167,166227817,1018.285,64.181,48.238883,-99.966497,0,0
ND,38071,1034215,Ramsey,3070120687,299469855,1185.38,115.626,48.266163,-98.73903100000001,0,0
ND,38073,1035301,Ransom,2233792873,3582338,862.472,1.383,46.449276,-97.647554,0,0
ND,38075,1034229,Renville,2272103544,40658499,877.2639999999999,15.698,48.712781,-101.658152,0,0
ND,38077,1035302,Richland,3718378999,25035244,1435.674,9.666,46.265219,-96.93796,0,0
ND,38079,1034228,Rolette,2338477672,94404707,902.8910000000001,36.45,48.768271,-99.840463,0,0
ND,38081,1035303,Sargent,2223461624,21731922,858.4830000000001,8.391,46.108204,-97.630051,0,0
ND,38083,1034203,Sheridan,2518053323,86198840,972.2260000000001,33.282,47.581359,-100.330986,0,0
ND,38085,1034208,Sioux,2833580511,88449896,1094.052,34.150999999999996,46.110618,-101.061284,0,0
ND,38087,1035896,Slope,3147520228,10980609,1215.264,4.24,46.445834000000005,-103.462462,0,0
ND,38089,1035618,Stark,3457408930,14023939,1334.9129999999998,5.415,46.817031,-102.662026,0,0
ND,38091,1034220,Steele,1844441513,8435674,712.143,3.2569999999999997,47.451062,-97.71892,0,0
ND,38093,1034224,Stutsman,5754703479,197271625,2221.904,76.167,46.972223,-98.956123,0,0
ND,38095,1034213,Towner,2654501912,42795048,1024.9089999999999,16.523,48.682183,-99.24815799999999,0,0
ND,38097,1034221,Traill,2232235429,1462184,861.8710000000001,0.565,47.446215,-97.164754,0,0
ND,38099,1034214,Walsh,3319346396,32181391,1281.607,12.425,48.376979,-97.72223000000001,0,0
ND,38101,1034231,Ward,5213464365,111251907,2012.93,42.955,48.216685999999996,-101.540537,0,0
ND,38103,1034204,Wells,3290664846,51166900,1270.5330000000001,19.756,47.580851,-99.682213,0,0
ND,38105,1035306,Williams,5380949615,181846407,2077.596,70.211,48.355765000000005,-103.501333,0,0
