state,latitude,longitude,name,population,land
AL,32.318231,-86.902298,Alabama,4779736,50744
AK,63.588753,-154.493062,Alaska,710231,571951.26
AZ,34.048928,-111.093731,Arizona,6392017,113634.57
AR,35.20105,-91.831833,Arkansas,2915918,52068.17
CA,36.778261,-119.417932,California,37253956,155959.34
CO,39.550051,-105.782067,Colorado,5029196,103717.53
CT,41.603221,-73.087749,Connecticut,3574097,4844.8
DE,38.910832,-75.52767,Delaware,897934,1953.56
FL,27.664827,-81.515754,Florida,18801310,53926.82
GA,32.157435,-82.907123,Georgia,9687653,57906.14
HI,19.898682,-155.665857,Hawaii,1360301,6422.62
ID,44.068202,-114.742041,Idaho,1567582,82747.21
IL,40.633125,-89.398528,Illinois,12830632,55583.58
IN,40.551217,-85.602364,Indiana,6483802,35866.9
IA,41.878003,-93.097702,Iowa,3046355,55869.36
KS,39.011902,-98.484246,Kansas,2853118,81814.88
KY,37.839333,-84.270018,Kentucky,4339367,39728.18
LA,31.244823,-92.145024,Louisiana,4533372,43561.85
ME,45.253783,-69.445469,Maine,1328361,30861.55
MD,39.045755,-76.641271,Maryland,5773552,9773.82
MA,42.407211,-71.382437,Massachusetts,6547629,7840.02
MI,44.314844,-85.602364,Michigan,9883640,56803.82
MN,46.729553,-94.6859,Minnesota,5303925,79610.08
MS,32.354668,-89.398528,Mississippi,2967297,46906.96
MO,37.964253,-91.831833,Missouri,5988927,68885.93
MT,46.879682,-110.362566,Montana,989415,145552.43
NE,41.492537,-99.901813,Nebraska,1826341,76872.41
NV,38.80261,-116.419389,Nevada,2700551,109825.99
NH,43.193852,-71.572395,New Hampshire,1316470,8968.1
NJ,40.058324,-74.405661,New Jersey,8791894,7417.34
NM,34.97273,-105.032363,New Mexico,2059179,121355.53
NY,43.299428,-74.217933,New York,19378102,47213.79
NC,35.759573,-79.0193,North Carolina,9535483,48710.88
ND,47.551493,-101.002012,North Dakota,672591,68975.93
OH,40.417287,-82.907123,Ohio,11536504,40948.38
OK,35.007752,-97.092877,Oklahoma,3751351,68667.06
OR,43.804133,-120.554201,Oregon,3831074,95996.79
PA,41.203322,-77.194525,Pennsylvania,12702379,44816.61
PR,18.220833,-66.590149,Puerto Rico,0,0
RI,41.580095,-71.477429,Rhode Island,1052567,1044.93
SC,33.836081,-81.163725,South Carolina,4625364,30109.47
SD,43.969515,-99.901813,South Dakota,814180,75884.64
TN,35.517491,-86.580447,Tennessee,6346105,41217.12
TX,31.968599,-99.901813,Texas,25145561,261797.12
UT,39.32098,-111.093731,Utah,2763885,82143.65
VT,44.558803,-72.577841,Vermont,625741,9249.56
VA,37.431573,-78.656894,Virginia,8001024,39594.07
WA,47.751074,-120.740139,Washington,6724540,66544.06
DC,38.905985,-77.033418,"Washington, D. C.",601723,61.4
WV,38.597626,-80.454903,West Virginia,1852994,24077.73
WI,43.78444,-88.787868,Wisconsin,5686986,54310.1
WY,43.075968,-107.290284,Wyoming,563626,97100.4
Total,41.850033,-87.6500523,center of US,308745538,3537438.44
