County,Cases,Deaths
Rank,State,Land Area(square miles)
0,All United States,3537438.44
1,Alaska,571951.26
2,Texas,261797.12
3,California,155959.34
4,Montana,145552.43
5,New Mexico,121355.53
6,Arizona,113634.57
7,Nevada,109825.99
8,Colorado,103717.53
9,Wyoming,97100.40
10,Oregon,95996.79
11,Idaho,82747.21
12,Utah,82143.65
13,Kansas,81814.88
14,Minnesota,79610.08
15,Nebraska,76872.41
16,South Dakota,75884.64
17,North Dakota,68975.93
18,Missouri,68885.93
19,Oklahoma,68667.06
20,Washington,66544.06
21,Georgia,57906.14
22,Michigan,56803.82
23,Iowa,55869.36
24,Illinois,55583.58
25,Wisconsin,54310.10
26,Florida,53926.82
27,Arkansas,52068.17
28,Alabama,50744.00
29,North Carolina,48710.88
30,New York,47213.79
31,Mississippi,46906.96
32,Pennsylvania,44816.61
33,Louisiana,43561.85
34,Tennessee,41217.12
35,Ohio,40948.38
36,Kentucky,39728.18
37,Virginia,39594.07
38,Indiana,35866.90
39,Maine,30861.55
40,South Carolina,30109.47
41,West Virginia,24077.73
42,Maryland,9773.82
43,Vermont,9249.56
44,New Hampshire,8968.10
45,Massachusetts,7840.02
46,New Jersey,7417.34
47,Hawaii,6422.62
48,Connecticut,4844.80
49,Delaware,1953.56
50,Rhode Island,1044.93
51,"Washington, D. C.",61.4
