USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
NH,33001,873174,Belknap,1040771458,176549424,401.844,68.166,43.519109,-71.425366,0,0
NH,33003,873175,Carroll,2413511287,159624444,931.862,61.631,43.867774,-71.20156,0,0
NH,33005,873176,Cheshire,1830367250,57589034,706.709,22.235,42.92546,-72.248183,0,0
NH,33007,873177,Coos,4647923684,92553609,1794.5729999999999,35.735,44.652547999999996,-71.28943100000001,0,0
NH,33009,873178,Grafton,4425254602,106459251,1708.6,41.104,43.926439,-71.842424,0,0
NH,33011,873179,Hillsborough,2270197483,41314379,876.528,15.952,42.911532,-71.723055,0,0
NH,33013,873180,Merrimack,2416153059,57222878,932.882,22.094,43.299579,-71.680041,0,0
NH,33015,873181,Rockingham,1801042583,258639091,695.3860000000001,99.861,42.988664,-71.09908,0,0
NH,33017,873182,Strafford,951745163,39159595,367.471,15.12,43.293271999999995,-71.035589,0,0
NH,33019,873183,Sullivan,1392231686,37791729,537.544,14.591,43.361188,-72.222084,0,0
