" Atlantic","237","3393"
" Bergen","1785","20521"
" Burlington","430","5831"
" Camden","520","8357"
" Cape May","82","810"
" Cumberland","144","3240"
" Essex","1859","19526"
" Gloucester","202","3097"
" Hudson","1332","19511"
" Hunterdon","70","1137"
" Mercer","575","8042"
" Middlesex","1198","17713"
" Monmouth","758","10117"
" Morris","678","7156"
" Ocean","948","10459"
" Passaic","1091","17493"
" Salem","78","871"
" Somerset","482","5190"
" Sussex","158","1307"
" Union","1177","16575"
" Warren","157","1330"
"Total","13961","181676"
