"County","Cases","Deaths"
"Atlantic","237","3456"
"Bergen","1787","20751"
"Burlington","432","5977"
"Camden","522","8525"
"CapeMay","82","824"
"Cumberland","146","3332"
"Essex","1872","19715"
"Gloucester","205","3236"
"Hudson","1337","19641"
"Hunterdon","70","1148"
"Mercer","580","8115"
"Middlesex","1199","17884"
"Monmouth","759","10284"
"Morris","680","7235"
"Ocean","951","10585"
"Passaic","1091","17623"
"Salem","81","892"
"Somerset","486","5231"
"Sussex","161","1327"
"Union","1180","16663"
"Warren","158","1343"
"Total","14016","183787"
