<<<<<<< HEAD
"County","Cases","Deaths"
"Atlantic","238","3566"
"Bergen","1788","21120"
"Burlington","438","6128"
"Camden","527","8774"
"CapeMay","83","846"
"Cumberland","146","3420"
"Essex","1876","19911"
"Gloucester","208","3400"
"Hudson","1341","19866"
"Hunterdon","70","1158"
"Mercer","583","8182"
"Middlesex","1209","18070"
"Monmouth","761","10459"
"Morris","682","7332"
"Ocean","953","10740"
"Passaic","1097","17915"
"Salem","81","924"
"Somerset","490","5300"
"Sussex","161","1349"
"Union","1181","16847"
"Warren","158","1362"
"Total","14071","186669"
=======
"County","Cases","Deaths"
" Atlantic","238","3566"
" Bergen","1788","21120"
" Burlington","438","6128"
" Camden","527","8774"
" Cape May","83","846"
" Cumberland","146","3420"
" Essex","1876","19911"
" Gloucester","208","3400"
" Hudson","1341","19866"
" Hunterdon","70","1158"
" Mercer","583","8182"
" Middlesex","1209","18070"
" Monmouth","761","10459"
" Morris","682","7332"
" Ocean","953","10740"
" Passaic","1097","17915"
" Salem","81","924"
" Somerset","490","5300"
" Sussex","161","1349"
" Union","1181","16847"
" Warren","158","1362"
"Total","14071","186669"
>>>>>>> e975df9690bfe63c65fe0ff02bd83421dbcb2fcf
