USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
NJ,34001,882270,Atlantic,1438776649,301268696,555.515,116.32,39.469355,-74.633759,0,0
NJ,34003,882271,Bergen,602911111,35354979,232.785,13.651,40.959697999999996,-74.074727,0,0
NJ,34005,882272,Burlington,2070157741,54113400,799.2919999999999,20.893,39.875786,-74.66300600000001,0,0
NJ,34007,882273,Camden,573293905,15720557,221.35,6.07,39.802407,-74.961249,0,0
NJ,34009,882274,Cape May,651338862,955248161,251.483,368.82300000000004,39.085840999999995,-74.846354,0,0
NJ,34011,882275,Cumberland,1251898273,503713107,483.361,194.485,39.328434,-75.121628,0,0
NJ,34013,882276,Essex,326557454,8638174,126.085,3.335,40.7874,-74.24629200000001,0,0
NJ,34015,882277,Gloucester,833916105,38320616,321.97700000000003,14.796,39.722875,-75.145679,0,0
NJ,34017,882278,Hudson,119640830,41958705,46.193999999999996,16.2,40.731375,-74.078601,0,0
NJ,34019,882228,Hunterdon,1108076939,24770921,427.83099999999996,9.564,40.565283,-74.911969,0,0
NJ,34021,882229,Mercer,581297755,11434826,224.44,4.415,40.282503000000005,-74.703724,0,0
NJ,34023,882230,Middlesex,800864377,35466050,309.215,13.694,40.439621,-74.40743,0,0
NJ,34025,882910,Monmouth,1212585319,510987402,468.18199999999996,197.293,40.287048,-74.152446,0,0
NJ,34027,882231,Morris,1193878537,53263498,460.959,20.565,40.858896,-74.547292,0,0
NJ,34029,882279,Ocean,1627387052,742027591,628.3380000000001,286.498,39.865669,-74.258864,0,0
NJ,34031,882232,Passaic,481767296,32057602,186.011,12.378,41.037890000000004,-74.29828,0,0
NJ,34033,882233,Salem,859517464,105387382,331.86199999999997,40.69,39.573828000000006,-75.35735600000001,0,0
NJ,34035,882234,Somerset,781830431,7994903,301.866,3.0869999999999997,40.565527,-74.619938,0,0
NJ,34037,882236,Sussex,1343564828,43222888,518.753,16.688,41.137461,-74.691914,0,0
NJ,34039,882235,Union,266163527,7053423,102.766,2.7230000000000003,40.659871,-74.308696,0,0
NJ,34041,882237,Warren,923424386,15834476,356.536,6.114,40.853491,-75.009498,0,0
