County,Cases,Deaths
Albany,0,0
Albany,226,0
Allegany,7,0
Bronx,7766,0
Broome,38,0
Cattaraugus,6,0
Cayuga,3,0
Chautauqua,6,0
Chemung,20,0
Chenango,19,0
Clinton,21,0
Columbia,30,0
Cortland,8,0
Delaware,16,0
Dutchess,484,0
Erie,438,0
Essex,4,0
Franklin,9,0
Fulton,1,0
Genesee,10,0
Greene,16,0
Hamilton,2,0
Herkimer,12,0
Jefferson,12,0
Kings,11917,0
Lewis,2,0
Livingston,13,0
Madison,41,0
Monroe,292,0
Montgomery,7,0
Nassau,8544,0
New York,6876,0
Niagara,42,0
Oneida,40,0
Onondaga,194,0
Ontario,22,0
Orange,1556,0
Orleans,6,0
Oswego,15,0
Otsego,18,0
Putnam,186,0
Queens,13691,0
Rensselaer,41,0
Richmond,2889,0
Rockland,2863,0
Saratoga,108,0
Schenectady,85,0
Schoharie,6,0
Schuyler,2,0
Seneca,2,0
St. Lawrence,30,0
Steuben,24,0
Suffolk,6713,0
Sullivan,109,0
Tioga,7,0
Tompkins,66,0
Ulster,211,0
Warren,18,0
Washington,10,0
Wayne,19,0
Westchester,9967,0
Wyoming,9,0
Yates,0,0
Total,75795,0
