County,Cases,Deaths
Albany,0,0
Albany,1238,0
Allegany,35,0
Bronx,38450,0
Broome,305,0
Cattaraugus,50,0
Cayuga,51,0
Chautauqua,35,0
Chemung,124,0
Chenango,99,0
Clinton,62,0
Columbia,205,0
Cortland,28,0
Delaware,61,0
Dutchess,3049,0
Erie,3598,0
Essex,28,0
Franklin,15,0
Fulton,79,0
Genesee,155,0
Greene,142,0
Hamilton,3,0
Herkimer,61,0
Jefferson,62,0
Kings,46275,0
Lewis,9,0
Livingston,76,0
Madison,149,0
Monroe,1534,0
Montgomery,54,0
Nassau,36519,0
New York,22496,0
Niagara,457,0
Oneida,474,0
Onondaga,903,0
Ontario,92,0
Orange,8910,0
Orleans,93,0
Oswego,66,0
Otsego,67,0
Putnam,1003,0
Queens,53039,0
Rensselaer,311,0
Richmond,12094,0
Rockland,11945,0
Saratoga,361,0
Schenectady,521,0
Schoharie,43,0
Schuyler,7,0
Seneca,42,0
St. Lawrence,176,0
Steuben,217,0
Suffolk,34478,0
Sullivan,931,0
Tioga,90,0
Tompkins,128,0
Ulster,1327,0
Warren,185,0
Washington,184,0
Wayne,73,0
Westchester,29626,0
Wyoming,69,0
Yates,18,0
Total,312977,0
