USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
NY,36001,974099,Albany,1354120788,27124553,522.829,10.473,42.58824,-73.97401,0,0
NY,36003,974100,Allegany,2666029673,12999275,1029.36,5.019,42.247853,-78.026153,0,0
NY,36005,974101,Bronx,108909571,39687923,42.05,15.324,40.848711,-73.852939,0,0
NY,36007,974102,Broome,1828061552,25111002,705.819,9.695,42.161977,-75.830283,0,0
NY,36009,974103,Cattaraugus,3388424412,36817330,1308.278,14.215,42.239099,-78.662332,0,0
NY,36011,974104,Cayuga,1791190510,445708165,691.583,172.089,43.008546,-76.574587,90,0
NY,36013,974105,Chautauqua,2746047476,1139407865,1060.255,439.928,42.304216,-79.407595,0,0
NY,36015,974106,Chemung,1055038227,8874756,407.353,3.427,42.15528,-76.747179,0,0
NY,36017,974107,Chenango,2314393900,13046917,893.593,5.037,42.478024,-75.602241,0,0
NY,36019,974108,Clinton,2687779168,206603306,1037.757,79.77,44.752712,-73.705643,0,0
NY,36021,974109,Columbia,1643770776,35071400,634.663,13.541,42.247729,-73.626806,0,0
NY,36023,974110,Cortland,1291815777,7112822,498.773,2.746,42.594039,-76.07624,0,0
NY,36025,974111,Delaware,3735857754,64812298,1442.423,25.024,42.193986,-74.966728,0,0
NY,36027,974112,Dutchess,2060720815,76913736,795.649,29.697,41.75477,-73.740041,0,0
NY,36029,974113,Erie,2700648539,476891055,1042.726,184.129,42.752759,-78.778192,0,0
NY,36031,974114,Essex,4646744234,316359504,1794.118,122.147,44.109601,-73.778431,0,0
NY,36033,974115,Franklin,4219644200,176695862,1629.214,68.223,44.594376,-74.31067,0,0
NY,36035,974116,Fulton,1283234678,96916405,495.46,37.42,43.115609,-74.423678,0,0
NY,36037,974117,Genesee,1276705469,6137411,492.939,2.37,43.00091,-78.192778,0,0
NY,36039,974118,Greene,1676140495,28201061,647.161,10.888,42.279821,-74.142025,0,0
NY,36041,974119,Hamilton,4447989353,234204421,1717.378,90.427,43.657879,-74.502456,0,0
NY,36043,974120,Herkimer,3655873433,120354579,1411.541,46.469,43.407489,-75.011683,75,0
NY,36045,974121,Jefferson,3285923214,1524610949,1268.702,588.656,43.996389,-76.052968,0,0
NY,36047,974122,Kings,179671310,71098973,69.371,27.451,40.5,-74,0,0
