County,Cases,Deaths
Adams,1,0
Ashland,1,0
Ashtabula,1,0
Belmont,2,0
Butler,2,0
Clark,1,0
Clermont,3,0
Clinton,1,0
Columbiana,4,0
Crawford,1,0
Cuyahoga,38,1
Darke,5,1
Delaware,2,0
Fairfield,3,0
Fayette,1,0
Franklin,40,0
Geauga,2,0
Hamilton,23,0
Huron,1,0
Jefferson,2,0
Knox,1,0
Lake,6,1
Lawrence,2,0
Licking,4,0
Lorain,7,1
Lucas,19,0
Madison,2,0
Mahoning,20,4
Marion,3,0
Medina,7,0
Miami,2,0
Montgomery,8,0
Morrow,1,0
Ottawa,2,0
Perry,1,0
Pickaway,2,0
Portage,10,0
Richland,1,0
Ross,3,0
Seneca,2,0
Shelby,2,0
Stark,12,0
Summit,14,3
Trumbull,11,1
Tuscarawas,2,0
Warren,3,0
Washington,1,0
Wayne,2,0
Wood,3,0
Total,287,12
