County,Cases,Deaths
Adams,3,0
Allen,48,4
Ashland,5,0
Ashtabula,33,2
Athens,3,1
Auglaize,15,1
Belmont,58,3
Brown,8,1
Butler,131,2
Carroll,14,0
Champaign,6,1
Clark,20,0
Clermont,48,1
Clinton,23,0
Columbiana,121,7
Coshocton,16,0
Crawford,21,0
Cuyahoga,1232,32
Darke,50,9
Defiance,11,0
Delaware,106,3
Erie,15,1
Fairfield,89,1
Fayette,12,0
Franklin,1046,18
Fulton,8,0
Gallia,6,1
Geauga,73,2
Greene,31,1
Guernsey,10,0
Hamilton,579,25
Hancock,21,1
Hardin,10,0
Harrison,1,0
Henry,1,0
Highland,7,0
Hocking,3,0
Holmes,3,0
Huron,14,1
Jackson,3,0
Jefferson,24,0
Knox,10,1
Lake,123,6
Lawrence,17,0
Licking,87,3
Logan,8,0
Lorain,192,6
Lucas,550,24
Madison,23,3
Mahoning,465,37
Marion,160,0
Medina,120,9
Meigs,2,0
Mercer,13,1
Miami,123,17
Monroe,2,0
Montgomery,208,7
Morgan,2,0
Morrow,13,0
Muskingum,8,0
Noble,3,0
Ottawa,11,0
Paulding,5,0
Perry,8,0
Pickaway,144,0
Pike,1,0
Portage,149,21
Preble,20,1
Putnam,4,0
Richland,44,1
Ross,21,0
Sandusky,13,2
Scioto,4,0
Seneca,11,1
Shelby,27,0
Stark,171,17
Summit,274,15
Trumbull,191,12
Tuscarawas,28,0
Union,11,0
Van Wert,2,0
Warren,85,3
Washington,45,1
Wayne,54,8
Williams,6,0
Wood,61,4
Wyandot,13,2
Total,7460,320
