County,Cases,Deaths
Adams,4,0
Allen,102,13
Ashland,5,0
Ashtabula,104,6
Athens,3,1
Auglaize,31,3
Belmont,98,7
Brown,11,1
Butler,221,4
Carroll,19,1
Champaign,12,1
Clark,33,1
Clermont,76,2
Clinton,27,0
Columbiana,223,16
Coshocton,16,0
Crawford,39,0
Cuyahoga,1811,86
Darke,75,12
Defiance,18,1
Delaware,140,3
Erie,46,3
Fairfield,112,2
Fayette,13,0
Franklin,1814,48
Fulton,19,0
Gallia,6,1
Geauga,130,11
Greene,44,3
Guernsey,15,0
Hamilton,973,51
Hancock,34,1
Hardin,21,0
Harrison,3,0
Henry,4,0
Highland,8,0
Hocking,11,1
Holmes,5,1
Huron,27,1
Jackson,4,0
Jefferson,38,1
Knox,15,1
Lake,157,7
Lawrence,23,0
Licking,106,4
Logan,18,0
Lorain,381,20
Lucas,1038,61
Madison,49,3
Mahoning,721,64
Marion,2183,4
Medina,159,13
Meigs,2,0
Mercer,18,1
Miami,135,24
Monroe,2,0
Montgomery,259,8
Morgan,4,0
Morrow,25,0
Muskingum,11,0
Noble,4,0
Ottawa,37,0
Paulding,8,0
Perry,11,0
Pickaway,1687,5
Pike,2,0
Portage,217,33
Preble,25,1
Putnam,54,5
Richland,75,1
Ross,35,1
Sandusky,19,2
Scioto,6,0
Seneca,13,1
Shelby,30,0
Stark,304,33
Summit,472,34
Trumbull,292,24
Tuscarawas,50,0
Union,17,0
Van Wert,3,0
Warren,119,10
Washington,94,8
Wayne,105,18
Williams,29,1
Wood,124,14
Wyandot,24,2
Total,15557,685
