USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
OH,39001,1074014,Adams,1512208932,6165938,583.867,2.381,38.834468,-83.478082,0,0
OH,39003,1074015,Allen,1042479889,11259523,402.504,4.3469999999999995,40.771627,-84.106103,0,0
OH,39005,1074016,Ashland,1095464861,9966295,422.961,3.8480000000000003,40.843272999999996,-82.270127,0,0
OH,39007,1074017,Ashtabula,1818360017,1724498211,702.073,665.8330000000001,41.906636999999996,-80.745592,0,0
OH,39009,1074018,Athens,1304386904,12461326,503.62699999999995,4.811,39.332603999999996,-82.04584399999999,0,0
OH,39011,1074019,Auglaize,1039590266,1339586,401.38800000000003,0.517,40.561309,-84.224018,0,0
OH,39013,1065575,Belmont,1378199039,23695983,532.126,9.149,40.017682,-80.967727,0,0
OH,39015,1074020,Brown,1269138600,8895015,490.017,3.4339999999999997,38.931377000000005,-83.866772,0,0
OH,39017,1074021,Butler,1208303733,9058528,466.529,3.498,39.439747,-84.56573399999999,0,0
OH,39019,1074022,Carroll,1022031301,11192656,394.60900000000004,4.322,40.579884,-81.090787,0,0
OH,39021,1074023,Champaign,1111090195,2173112,428.994,0.8390000000000001,40.132775,-83.767604,0,0
OH,39023,1074024,Clark,1027907572,14611224,396.87699999999995,5.641,39.917032,-83.783676,0,0
OH,39025,1074025,Clermont,1170983309,19806060,452.119,7.647,39.052054,-84.149485,0,0
OH,39027,1074026,Clinton,1058489018,9349888,408.685,3.61,39.430225,-83.795682,0,0
OH,39029,1074027,Columbiana,1377658481,7277032,531.9169999999999,2.81,40.770073,-80.77845500000001,0,0
OH,39031,1074028,Coshocton,1460647672,9126264,563.9590000000001,3.5239999999999996,40.29671,-81.930109,0,0
OH,39033,1074029,Crawford,1040619651,2359514,401.786,0.9109999999999999,40.848524,-82.92478299999999,0,0
OH,39035,1074030,Cuyahoga,1184093716,2041810673,457.181,788.3480000000001,41.760391999999996,-81.72421700000001,0,0
OH,39037,1074031,Darke,1549072768,4244900,598.1,1.639,40.131541999999996,-84.621248,0,0
OH,39039,1074032,Defiance,1065649892,7073996,411.45,2.7310000000000003,41.321678999999996,-84.48643299999999,0,0
OH,39041,1074033,Delaware,1147778026,36698376,443.16,14.169,40.278940999999996,-83.007462,0,0
OH,39043,1074034,Erie,651069515,969942442,251.37900000000002,374.49699999999996,41.554006,-82.525897,0,0
OH,39045,1074035,Fairfield,1306415001,10754493,504.41,4.152,39.747694,-82.626685,0,0
OH,39047,1074036,Fayette,1052469899,1694038,406.361,0.654,39.555246000000004,-83.461893,0,0
OH,39049,1074037,Franklin,1378938272,29041546,532.411,11.213,39.969875,-83.009086,0,0
OH,39051,1074038,Fulton,1050103171,4586248,405.44699999999995,1.771,41.597264,-84.124267,0,0
OH,39053,1074039,Gallia,1208308871,12084300,466.531,4.666,38.817046000000005,-82.301746,0,0
OH,39055,1074040,Geauga,1036773424,20701751,400.3,7.992999999999999,41.499322,-81.173505,0,0
OH,39057,1074041,Greene,1071283002,6815334,413.625,2.6310000000000002,39.687478999999996,-83.894894,0,0
OH,39059,1074042,Guernsey,1352631181,15666081,522.254,6.0489999999999995,40.056665,-81.497875,0,0
OH,39061,1074043,Hamilton,1049999711,18744132,405.407,7.237,39.196927,-84.544187,0,0
OH,39063,1074044,Hancock,1376125660,6020647,531.325,2.325,41.000471000000005,-83.666034,0,0
OH,39065,1074045,Hardin,1218096651,629922,470.31,0.243,40.660415,-83.664077,0,0
OH,39067,1074046,Harrison,1042032640,21847163,402.33099999999996,8.435,40.292318,-81.091565,0,0
OH,39069,1074047,Henry,1077461471,9687647,416.01,3.74,41.331584,-84.0689,0,0
OH,39071,1074048,Highland,1432479990,12194983,553.0840000000001,4.709,39.184422,-83.601359,0,0
OH,39073,1074049,Hocking,1091235303,5955974,421.32800000000003,2.3,39.490342,-82.483447,0,0
OH,39075,1074050,Holmes,1094405864,3695230,422.55199999999996,1.4269999999999998,40.565597,-81.930001,0,0
OH,39077,1074051,Huron,1272964850,8616411,491.494,3.327,41.14508,-82.59464100000001,0,0
OH,39079,1074052,Jackson,1088598927,3167846,420.31,1.2229999999999999,39.013477,-82.614142,0,0
OH,39081,1074053,Jefferson,1057037023,7335056,408.124,2.832,40.399384000000005,-80.763527,0,0
OH,39083,1074054,Knox,1361052758,10720132,525.505,4.138999999999999,40.403620000000004,-82.422393,0,0
OH,39085,1074055,Lake,593807218,1942301625,229.27,749.927,41.924116,-81.392643,0,0
OH,39087,1074056,Lawrence,1174224668,10110059,453.371,3.904,38.603866,-82.517186,0,0
OH,39089,1074057,Licking,1767507224,12750817,682.438,4.923,40.091505,-82.483435,0,0
OH,39091,1074058,Logan,1187534495,21593254,458.51,8.337,40.387553000000004,-83.766343,0,0
OH,39093,1074059,Lorain,1272195542,1119495034,491.19699999999995,432.23900000000003,41.438805,-82.179722,0,0
OH,39095,1074060,Lucas,879702815,663509628,339.655,256.183,41.682321,-83.468903,0,0
OH,39097,1074061,Madison,1206445849,2119319,465.811,0.818,39.896607,-83.400885,0,0
OH,39099,1074062,Mahoning,1065773136,35456512,411.49699999999996,13.69,41.01088,-80.77039599999999,0,0
OH,39101,1074063,Marion,1045858048,908577,403.80800000000005,0.35100000000000003,40.588034,-83.168803,0,0
OH,39103,1074064,Medina,1091568894,4198457,421.457,1.621,41.116174,-81.899764,0,0
OH,39105,1074065,Meigs,1113957867,7519818,430.102,2.903,39.089807,-82.028397,0,0
OH,39107,1074066,Mercer,1197723422,28440771,462.444,10.981,40.535333,-84.632059,0,0
OH,39109,1074067,Miami,1052862600,7944952,406.51300000000003,3.068,40.053326,-84.228413,0,0
OH,39111,1074068,Monroe,1180317741,4495411,455.723,1.736,39.726253,-81.090983,0,0
OH,39113,1074069,Montgomery,1195326276,7511399,461.51800000000003,2.9,39.753735999999996,-84.290591,0,0
OH,39115,1074070,Morgan,1078538278,13868572,416.426,5.355,39.624946,-81.86169699999999,0,0
OH,39117,1074071,Morrow,1051881046,2819351,406.134,1.089,40.525265999999995,-82.797729,0,0
OH,39119,1074072,Muskingum,1721165860,20823924,664.546,8.04,39.966046,-81.943506,0,0
OH,39121,1074073,Noble,1030846459,16984489,398.01199999999994,6.558,39.767232,-81.452493,0,0
OH,39123,1074074,Ottawa,659705457,855637066,254.71400000000003,330.36300000000006,41.545495,-83.012613,0,0
OH,39125,1074075,Paulding,1078561236,6245396,416.435,2.411,41.118947999999996,-84.582125,0,0
OH,39127,1074076,Perry,1056544098,11790392,407.934,4.552,39.743187,-82.237952,0,0
OH,39129,1074077,Pickaway,1298175198,13790233,501.228,5.324,39.648947,-83.05282700000001,0,0
OH,39131,1074078,Pike,1140324465,9567611,440.282,3.694,39.071341,-83.052911,0,0
OH,39133,1074079,Portage,1262370046,43127727,487.404,16.652,41.16897,-81.196962,0,0
OH,39135,1074080,Preble,1098741224,6062615,424.226,2.3409999999999997,39.73881,-84.644758,0,0
OH,39137,1074081,Putnam,1249783588,4544874,482.54400000000004,1.755,41.024533,-84.129879,0,0
OH,39139,1074082,Richland,1282554028,12637716,495.19699999999995,4.879,40.774159000000004,-82.542781,0,0
OH,39141,1074083,Ross,1784986619,9938848,689.187,3.8369999999999997,39.323896999999995,-83.059536,0,0
OH,39143,1074084,Sandusky,1057350969,24514231,408.246,9.465,41.355319,-83.142776,0,0
OH,39145,1074085,Scioto,1580488534,15326840,610.23,5.917999999999999,38.814889,-82.998675,0,0
OH,39147,1074086,Seneca,1427151734,4576816,551.026,1.767,41.119991999999996,-83.12754699999999,0,0
OH,39149,1074087,Shelby,1055927003,7802978,407.69599999999997,3.013,40.33668,-84.204142,0,0
OH,39151,1065576,Stark,1490056765,13646455,575.314,5.269,40.814131,-81.365667,0,0
OH,39153,1074088,Summit,1069119180,19017971,412.789,7.343,41.121846999999995,-81.53492800000001,0,0
OH,39155,1074089,Trumbull,1600837668,47866857,618.087,18.480999999999998,41.306374,-80.7704,0,0
OH,39157,1074090,Tuscarawas,1469641510,10408848,567.432,4.019,40.44749,-81.47110500000001,0,0
OH,39159,1074091,Union,1118161949,13254689,431.725,5.118,40.295901,-83.367042,0,0
OH,39161,1074092,Van Wert,1059702138,3278633,409.153,1.266,40.85552,-84.585775,0,0
OH,39163,1074093,Vinton,1067997064,6792846,412.356,2.623,39.252041999999996,-82.485961,0,0
OH,39165,1074094,Warren,1039075224,15830492,401.189,6.112,39.425652,-84.16990600000001,0,0
OH,39167,1074095,Washington,1636805233,20784946,631.974,8.025,39.450676,-81.490636,0,0
OH,39169,1074096,Wayne,1436939444,5040384,554.805,1.946,40.829661,-81.887194,0,0
OH,39171,1074097,Williams,1089503873,6299797,420.66,2.432,41.564959,-84.584324,0,0
OH,39173,1074098,Wood,1598510313,8650452,617.188,3.34,41.360183,-83.622682,0,0
OH,39175,1074099,Wyandot,1053812243,1783532,406.879,0.6890000000000001,40.839782,-83.313681,0,0
