County,Cases,Deaths
Kiowa,62,2
Adair,559,10
Alfalfa,39,0
Atoka,246,1
Beaver,47,0
Beckham,221,1
Blaine,103,1
Bryan,784,4
Caddo,671,20
Canadian,1827,16
Carter,489,8
Cherokee,940,7
Choctaw,295,2
Cimarron,22,0
Cleveland,5290,68
Coal,67,0
Comanche,1427,12
Cotton,65,3
Craig,400,1
Creek,1017,29
Custer,450,0
Delaware,661,23
Dewey,54,1
Ellis,7,0
Garfield,1402,18
Garvin,323,4
Grady,783,8
Grant,37,0
Greer,101,8
Harmon,43,0
Harper,25,0
Haskell,242,4
Hughes,269,4
Jackson,684,10
Jefferson,39,0
Johnston,130,4
Kay,472,13
Kingfisher,310,2
Total,20603,284
