USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
OK,40001,1101788,Adair,1486277939,8874158,573.855,3.426,35.898043,-94.651026,0,0
OK,40003,1101789,Alfalfa,2244392665,38546676,866.565,14.883,36.729703,-98.32344499999999,0,0
OK,40005,1101790,Atoka,2526393964,37287777,975.446,14.397,34.392469,-96.036558,0,0
OK,40007,1101791,Beaver,4700407527,7347161,1814.838,2.8369999999999997,36.748334,-100.483056,0,0
OK,40009,1101792,Beckham,2335338428,5514684,901.679,2.129,35.270601,-99.690057,0,0
OK,40011,1101793,Blaine,2404772608,26854992,928.488,10.369000000000002,35.877782,-98.428934,0,0
OK,40013,1101794,Bryan,2341975631,102083435,904.242,39.415,33.964003999999996,-96.264137,0,0
OK,40015,1101795,Caddo,3309366436,32099077,1277.754,12.394,35.16792,-98.381045,0,0
OK,40017,1101796,Canadian,2322131002,23131671,896.58,8.931000000000001,35.543354,-97.979889,0,0
OK,40019,1101797,Carter,2129492350,29991371,822.202,11.58,34.251847999999995,-97.287927,0,0
OK,40021,1101798,Cherokee,1939904010,69990998,749.0010000000001,27.024,35.904367,-94.996796,0,0
OK,40023,1101799,Choctaw,1995090099,75667486,770.309,29.215,34.027645,-95.554208,0,0
OK,40025,1101800,Cimarron,4752131813,15923999,1834.808,6.148,36.74839,-102.517698,0,0
OK,40027,1101801,Cleveland,1395453713,49520727,538.788,19.12,35.206376,-97.323088,0,0
OK,40029,1101802,Coal,1338427185,12083335,516.77,4.665,34.582861,-96.288039,0,0
OK,40031,1101803,Comanche,2769653950,37538945,1069.369,14.494000000000002,34.66263,-98.476612,0,0
OK,40033,1101804,Cotton,1638512879,23996512,632.633,9.265,34.290676,-98.37343800000001,0,0
OK,40035,1101805,Craig,1971621943,3684477,761.248,1.423,36.76389,-95.201553,0,0
OK,40037,1101806,Creek,2460107102,50925023,949.8530000000001,19.662,35.907732,-96.379793,0,0
OK,40039,1101807,Custer,2560925953,34326632,988.779,13.254000000000001,35.645601,-98.99738599999999,0,0
OK,40041,1101808,Delaware,1911485747,140309019,738.029,54.174,36.393375,-94.808217,0,0
OK,40043,1101809,Dewey,2589042126,22668868,999.635,8.752,35.977959999999996,-99.014385,0,0
OK,40045,1101810,Ellis,3189510402,952235,1231.4769999999999,0.368,36.224258,-99.750139,0,0
OK,40047,1101811,Garfield,2741521308,4075930,1058.507,1.574,36.378054,-97.78845,0,0
OK,40049,1101812,Garvin,2077453378,30109357,802.1089999999999,11.625,34.70935,-97.31272299999999,0,0
OK,40051,1101813,Grady,2850386644,11374380,1100.54,4.3919999999999995,35.021058000000004,-97.88689000000001,0,0
OK,40053,1101814,Grant,2591904428,7042653,1000.74,2.719,36.788253999999995,-97.788151,0,0
OK,40055,1101815,Greer,1655732413,11156357,639.2819999999999,4.3069999999999995,34.933853000000006,-99.552968,0,0
OK,40057,1101816,Harmon,1391491968,3800411,537.258,1.4669999999999999,34.745971000000004,-99.84419399999999,0,0
OK,40059,1101817,Harper,2689919308,5259447,1038.5839999999998,2.031,36.80035,-99.662805,0,0
OK,40061,1101818,Haskell,1493706599,126248912,576.7230000000001,48.745,35.232295,-95.109576,0,0
OK,40063,1101819,Hughes,2083606775,26430453,804.485,10.205,35.052934,-96.251183,0,0
OK,40065,1101820,Jackson,2078860509,4114418,802.653,1.589,34.594006,-99.412235,0,0
OK,40067,1101821,Jefferson,1965685986,39417590,758.956,15.219000000000001,34.105082,-97.83889,0,0
OK,40069,1101822,Johnston,1665488649,39648868,643.049,15.309000000000001,34.313455,-96.65425400000001,0,0
OK,40071,1101823,Kay,2381740395,65583671,919.595,25.322,36.814885,-97.143862,0,0
OK,40073,1101824,Kingfisher,2326005907,20612229,898.076,7.957999999999999,35.949436,-97.934557,0,0
OK,40075,1101825,Kiowa,2629039881,40296743,1015.078,15.559000000000001,34.921489,-98.981617,0,0
OK,40077,1101826,Latimer,1870210358,18276407,722.092,7.057,34.875137,-95.272262,0,0
OK,40079,1101827,Le Flore,4115999004,50035433,1589.1960000000001,19.319000000000003,34.897356,-94.695074,0,0
OK,40081,1101828,Lincoln,2466630673,34722233,952.3710000000001,13.405999999999999,35.703117,-96.881392,0,0
OK,40083,1101829,Logan,1926542719,12929098,743.842,4.992,35.914151000000004,-97.450764,0,0
OK,40085,1101830,Love,1331024899,47506501,513.9119999999999,18.342,33.957803999999996,-97.24509300000001,0,0
OK,40093,1101831,Major,2473438538,7651007,955.0,2.9539999999999997,36.313119,-98.542015,0,0
OK,40095,1101832,Marshall,962443215,143430766,371.601,55.379,34.027007,-96.770533,0,0
OK,40097,1101833,Mayes,1697419131,72863521,655.377,28.133000000000003,36.303804,-95.235638,0,0
OK,40087,1101834,McClain,1478150205,24716284,570.717,9.543,35.016436,-97.449803,0,0
OK,40089,1101835,McCurtain,4793716602,133984721,1850.864,51.732,34.117073,-94.766086,0,0
OK,40091,1101836,McIntosh,1601359179,242867678,618.288,93.772,35.369108000000004,-95.671787,0,0
OK,40099,1101837,Murray,1078402382,22714095,416.374,8.77,34.485766,-97.071557,0,0
OK,40101,1101838,Muskogee,2099505908,76119907,810.6239999999999,29.39,35.617551,-95.383911,0,0
OK,40103,1101839,Noble,1895660471,27566422,731.919,10.642999999999999,36.384901,-97.236335,0,0
OK,40105,1101840,Nowata,1465460409,38903890,565.817,15.020999999999999,36.789615000000005,-95.613312,0,0
OK,40107,1101841,Okfuskee,1601767639,26681052,618.446,10.302,35.466803999999996,-96.32776199999999,0,0
OK,40109,1101842,Oklahoma,1835932121,24822783,708.857,9.584,35.554611,-97.409401,0,0
OK,40111,1101843,Okmulgee,1806373387,12958196,697.445,5.003,35.6435,-95.965947,0,0
OK,40113,1101844,Osage,5818679077,148729736,2246.605,57.425,36.624299,-96.408112,0,0
OK,40115,1101845,Ottawa,1219409732,35714886,470.81699999999995,13.79,36.835764000000005,-94.802681,0,0
OK,40117,1101846,Pawnee,1472023155,68854232,568.351,26.585,36.313704,-96.696669,0,0
OK,40119,1101847,Payne,1773885714,31992048,684.9010000000001,12.352,36.079225,-96.975255,0,0
OK,40121,1101848,Pittsburg,3381281071,187427366,1305.52,72.366,34.925540000000005,-95.74813,0,0
OK,40123,1101849,Pontotoc,1865835819,12595147,720.403,4.863,34.721446,-96.691971,0,0
OK,40125,1101850,Pottawatomie,2040370700,14850384,787.7919999999999,5.734,35.211393,-96.95700699999999,0,0
OK,40127,1101851,Pushmataha,3614424104,69997259,1395.537,27.026,34.377899,-95.408082,0,0
OK,40129,1101852,Roger Mills,2955503143,13688536,1141.126,5.285,35.708554,-99.74157199999999,0,0
OK,40131,1101853,Rogers,1749883768,92870077,675.6339999999999,35.857,36.377794,-95.601383,0,0
OK,40133,1101854,Seminole,1639027599,19925659,632.832,7.693,35.158366,-96.602857,0,0
OK,40135,1101855,Sequoyah,1744289208,105113803,673.4739999999999,40.585,35.502435,-94.750757,0,0
OK,40137,1101856,Stephens,2253798301,54865799,870.196,21.184,34.481361,-97.85560699999999,0,0
OK,40139,1101857,Texas,5286873577,19218939,2041.273,7.42,36.746317,-101.483855,0,0
OK,40141,1101858,Tillman,2256226938,20895054,871.1339999999999,8.068,34.371085,-98.931701,0,0
OK,40143,1101859,Tulsa,1476502056,43340940,570.081,16.734,36.120318,-95.941813,0,0
OK,40145,1101860,Wagoner,1454748498,75357245,561.682,29.096,35.963479,-95.514098,0,0
OK,40147,1101861,Washington,1076201559,22871164,415.524,8.831,36.70438,-95.906155,0,0
OK,40149,1101862,Washita,2597989594,14579003,1003.0889999999999,5.629,35.289497,-98.991436,0,0
OK,40151,1101863,Woods,3331924479,9128597,1286.463,3.525,36.726984,-98.863649,0,0
OK,40153,1101864,Woodward,3218800597,9693573,1242.786,3.7430000000000003,36.425619,-99.273661,0,0
